#   BLOCKS :		AVE :		 ERROR :
           1        0.503183               0
           2        0.503947       0.0007644
           3        0.502117      0.00188312
           4        0.502103      0.00133163
           5        0.502011      0.00103557
           6        0.502146     0.000856121
           7        0.501903     0.000763149
           8        0.501403     0.000828506
           9        0.501042     0.000815274
          10        0.500576     0.000865237
          11        0.500079     0.000927041
          12        0.499904     0.000864128
          13        0.500235     0.000860852
          14        0.500303      0.00079992
          15        0.500439      0.00075699
          16        0.500698      0.00075399
          17        0.500439     0.000754324
          18        0.500489      0.00071294
          19        0.500374     0.000684077
          20        0.500421     0.000650667
          21        0.500255     0.000640752
          22        0.500008     0.000659006
          23        0.500064      0.00063222
          24        0.499888     0.000630304
          25        0.499909      0.00060493
          26         0.49982     0.000588015
          27        0.499839     0.000566143
          28        0.499849     0.000545634
          29        0.499766     0.000532918
          30        0.499742      0.00051543
          31         0.49965     0.000506983
          32        0.499618     0.000491891
          33        0.499495     0.000492324
          34        0.499473     0.000478146
          35        0.499672     0.000505366
          36        0.499695     0.000491626
          37        0.499637     0.000481593
          38         0.49964     0.000468758
          39        0.499685     0.000458784
          40         0.49979     0.000459204
          41        0.499841     0.000450784
          42        0.499915     0.000446201
          43        0.499913      0.00043571
          44         0.49997     0.000429499
          45        0.499848     0.000437013
          46        0.499758      0.00043684
          47        0.499612     0.000451599
          48        0.499688     0.000448487
          49        0.499701     0.000439448
          50        0.499693      0.00043065
          51        0.499723     0.000423181
          52        0.499729      0.00041501
          53        0.499684     0.000409617
          54        0.499707     0.000402653
          55        0.499827     0.000412923
          56        0.499838     0.000405624
          57        0.499941     0.000411628
          58        0.499943     0.000404472
          59          0.4999     0.000399895
          60        0.499975      0.00040042
          61        0.499987     0.000393969
          62        0.499993     0.000387604
          63        0.499988     0.000381429
          64        0.500009     0.000376021
          65        0.500063     0.000374089
          66         0.50007     0.000368438
          67         0.50008     0.000363032
          68        0.500077     0.000357664
          69         0.50005     0.000353452
          70        0.500024     0.000349356
          71        0.500081     0.000349064
          72         0.50014     0.000349227
          73        0.500137     0.000344425
          74        0.500105     0.000341178
          75        0.500073     0.000338112
          76        0.500077     0.000333653
          77        0.500055     0.000330021
          78        0.500079     0.000326665
          79        0.500069     0.000322661
          80        0.500116     0.000321984
          81         0.50012     0.000318008
          82        0.500116     0.000314126
          83        0.500151     0.000312214
          84        0.500185     0.000310419
          85        0.500143     0.000309568
          86        0.500171     0.000307182
          87        0.500199     0.000304883
          88         0.50016     0.000303817
          89        0.500122     0.000302847
          90        0.500106     0.000299896
          91        0.500062     0.000299802
          92             0.5     0.000302826
          93        0.500019     0.000300116
          94         0.50009     0.000305407
          95        0.500107     0.000302645
          96        0.500066     0.000302339
          97        0.500046      0.00029986
          98        0.500071       0.0002978
          99         0.50011     0.000297345
         100        0.500097      0.00029461
