#   BLOCKS :		CHI2 :
           0         92.3974
           1         111.469
           2         106.288
           3         98.8118
           4         94.9068
           5         86.2878
           6         106.786
           7         84.3618
           8         110.116
           9         77.5626
          10         76.5656
          11         104.574
          12         112.737
          13          96.637
          14          115.27
          15         92.4392
          16         107.058
          17         86.1936
          18         77.7072
          19          84.561
          20         113.503
          21         101.297
          22         130.234
          23         104.794
          24         115.045
          25         84.0954
          26         102.031
          27          105.95
          28         89.0356
          29         96.8814
          30          119.12
          31         106.413
          32         108.958
          33         99.8436
          34         95.5026
          35         108.456
          36         92.1092
          37          79.318
          38         84.2236
          39         102.844
          40         106.326
          41         100.246
          42         99.0806
          43         105.591
          44         85.4118
          45          96.041
          46         110.688
          47         88.2452
          48         80.9926
          49         90.5714
          50         100.376
          51          100.33
          52         112.217
          53         88.4752
          54         105.581
          55         96.5002
          56         104.646
          57         82.3638
          58         89.7254
          59         80.8322
          60         99.2784
          61         69.1942
          62         99.8682
          63         83.8772
          64         105.663
          65         89.6256
          66         89.6526
          67         92.3026
          68         91.0878
          69          89.851
          70         96.6656
          71         108.101
          72         95.5638
          73         118.063
          74         101.073
          75         103.081
          76         98.1086
          77         94.6724
          78         91.0568
          79          93.557
          80         84.4792
          81         88.0492
          82         96.6572
          83         112.651
          84          80.446
          85         95.5544
          86         94.8038
          87         84.9094
          88         94.4108
          89         82.6262
          90         92.7066
          91          75.943
          92         114.737
          93         78.4892
          94         103.944
          95         112.031
          96         116.115
          97         104.154
          98         99.4976
          99         98.8774
