# iteration				N = 1 :			 N = 2 :		    N = 10 : 		 N = 100 :
           0        0.130849         0.65299        0.600558         1.03248
           1         2.70471         2.19451         1.34074         1.12904
           2        0.388876         1.10699         2.07862         1.01978
           3         2.44072         1.33138         1.03329        0.889203
           4        0.181394        0.547168        0.908212         1.03037
           5         0.50607        0.325698        0.657815         1.12047
           6        0.561556         1.57712         1.27323        0.851828
           7        0.151973        0.154413        0.801085         1.02271
           8         1.31565        0.987419          1.0424         1.11575
           9        0.183856        0.206159         1.10171         1.05087
          10        0.397352        0.507279        0.675805         1.02029
          11         0.15703        0.565472        0.779874        0.964724
          12         0.06729         1.92818         1.04575        0.974858
          13         1.76181        0.968219         1.78952         1.04669
          14         1.38802        0.945807        0.750669        0.936729
          15         1.92224         1.57102         1.22118         1.08995
          16         0.53352        0.514311         0.68577            1.09
          17        0.646913        0.828446        0.523208        0.906193
          18         1.83368         1.03273         1.47407         1.02606
          19         1.81006         1.98392        0.862089         1.03305
          20        0.433094        0.320827         1.16417          1.0078
          21       0.0356235        0.494376         1.43957         1.10181
          22       0.0802505        0.273701        0.536041        0.934428
          23         1.09678        0.851235         1.19848          1.0288
          24         2.85721         2.08726        0.928275         1.20571
          25        0.719058        0.511165         1.01252         1.01125
          26        0.277103        0.440493        0.679165         1.06456
          27         2.02014         1.38032        0.760822        0.932189
          28       0.0106407        0.449679         1.05879         1.05855
          29         0.45506        0.786977         1.24506         1.26253
          30        0.579212        0.492217        0.530995         1.11492
          31        0.435075         1.20012         1.40202         1.05621
          32        0.350156        0.307765        0.871823        0.986756
          33        0.934157         2.76552         1.70357         1.06883
          34         1.22021         1.23706         1.45437         1.22588
          35         1.36506        0.834449         1.24876        0.826594
          36         1.45026         1.03737         0.83509         1.05139
          37         1.69607         1.69922         1.41749        0.961421
          38        0.241812        0.388937        0.551372        0.755702
          39        0.655781         0.84322         1.23607        0.966539
          40         1.97193         1.20722        0.931801         1.00408
          41         1.17999        0.850814        0.627853         1.03616
          42        0.998048        0.896194        0.846949         1.05911
          43        0.109777        0.438408        0.693067        0.815698
          44         2.81514         1.44199         1.26076         1.21508
          45        0.358264        0.551756        0.853182        0.947985
          46        0.907459        0.539457        0.873384         1.05435
          47        0.992432        0.609091         1.46343        0.962922
          48         1.22166        0.791985        0.995102         1.05784
          49         1.09361        0.879057        0.690512        0.946359
          50         2.34013         1.40207         1.22693         1.15554
          51        0.502413        0.278926        0.560761         1.07951
          52         2.09312         1.88891         1.32787        0.949984
          53         1.87537         1.08249        0.806027         1.06415
          54         0.46337        0.755234        0.806875        0.913876
          55        0.338828        0.590302         1.05004         1.24602
          56         2.23496         1.66249         1.81731          1.0418
          57        0.184864         0.13951        0.597921         1.06566
          58         2.73681         1.47557         1.13639        0.790858
          59         1.36581        0.943426         0.84525          1.0296
          60         2.38905         1.73735        0.970256         1.01317
          61          1.2839         1.24088        0.969064        0.977409
          62          5.5813         2.83782          2.0464          1.0308
          63        0.569655         1.48771         1.11088          1.2476
          64         1.97118         1.66952        0.834631        0.944341
          65         1.69288        0.997135        0.767318         1.06458
          66        0.751324        0.525693        0.862053         1.04151
          67      0.00232208        0.608114        0.826378        0.924018
          68         2.16845         1.57958         1.25439        0.939579
          69          0.6916        0.579544          1.0542         1.01582
          70         4.37546         2.92539         1.32455        0.913337
          71         1.59532         1.20836        0.822064        0.966952
          72         1.87627         1.34952         1.10145         1.10845
          73         1.78862         1.06769        0.714568        0.926388
          74        0.766877        0.858084        0.861721          1.1147
          75         3.23821         1.76887        0.907414        0.972384
          76        0.299851        0.488053        0.465455        0.943764
          77       0.0312338        0.304227         1.01163        0.840491
          78        0.928493        0.777456        0.790062        0.895533
          79           1.558         1.24027         1.28708         1.04802
