# iteration				N = 1 :			 N = 2 :		    N = 10 : 		 N = 100 :
           0       -0.889738       0.0627491        -7.59254         0.65242
           1        0.248561        0.541797        0.255647        -4.50174
           2         1.27418        0.767669        0.169203         3.22922
           3        -2.08506       -0.779125         1.30221        0.227593
           4          1.6676          1.1173       -0.251825        0.670153
           5        0.839892        -13.0824        -3.49941        -3.96692
           6        -12.7704         -7.3606       -0.764403        -2.80825
           7        0.243103       -0.509185        0.206475        0.361694
           8         4.85046         1.77924         3.01376        -11.2421
           9        0.121088         1.20767     -0.00784121       -0.414911
          10       -0.402788         2.02447         1.45465      -0.0971834
          11         -0.3347       -0.990804         0.31706         1.08029
          12        -2.86139        -1.64876        0.279567        0.336873
          13        0.540096        0.179669        -1.07577        -0.06519
          14        0.815243        0.409296         3.32434       -0.128041
          15         4.37408         3.04303        0.862594       -0.741324
          16      -0.0461212         0.67009        0.101744        0.227716
          17      -0.0631972         1.00403       -0.377781        0.364075
          18        -1.56842        0.912939        -6.88973         8.24246
          19       -0.290061       0.0861992        0.141065         1.46999
          20         1.69483     -0.00557659        -12.6872        -1.25705
          21       -0.706893       0.0749996         0.70067       -0.413683
          22         2.19652         2.93979         5.30439      -0.0468397
          23        -0.83397         -3.6965        0.661267        0.215829
          24        -2.23959        -2.41659         2.73155        0.561379
          25         2.51648         2.21559       0.0200097        0.947279
          26         2.83853         1.29807        0.301844        -0.52023
          27       -0.221149       -0.114592        -1.87102       -0.544207
          28          22.197         11.7874          175.87         15.2953
          29        -2.22352       -0.217393       -0.282745       -0.456141
          30        -1.05182       -0.137178       -0.433085        -1.15749
          31      -0.0624714        -8.72485        -1.61865       -0.120133
          32       -0.597272        -0.54184        -0.33776         1.35077
          33       -0.550769         18.1073         1.72215      -0.0270284
          34         -1.3097       -0.467219         1.20638        0.180341
          35       0.0562385       0.0730173         1.56983         1.86678
          36        0.878372       -0.134143         0.00758         23.6667
          37       -0.109033        -1.25002        -0.96366         0.42716
          38         2.74759         1.10362        -1.61099         1.89994
          39       -0.394855       -0.534887       -0.406629         1.43466
          40         1.41434         1.15886         1.92817         1.29464
          41         27.8229         14.2794         3.01767         0.66196
          42        0.275453        -6.52844       -0.233596        0.431206
          43         4.83158         2.80214        -0.59058       -0.201235
          44          4.2942         2.72106     -0.00674223         -2.6233
          45         3.40702         8.38642         1.13094       -0.582916
          46      -0.0637574        0.272106        -2.13673        0.293259
          47       -0.353159       -0.077011         1.24316        -2.08049
          48         2.10031       -0.991406         14.1439         2.15743
          49        -1.11569       -0.600233       -0.923177        0.231171
          50      -0.0301138        0.371029       -0.682516        -5.01176
          51        -2.01366         -1.1658         1.42924         3.04556
          52       -0.253623         1.56966        0.495275       -0.719889
          53        0.620884        0.372566       -0.594825       -0.118545
          54        0.643732        0.611046       -0.642172        -2.07378
          55        -1.74894         1.54397        -2.48453         2.82992
          56         2.13127         1.20795      -0.0690171         3.03089
          57           2.141        0.603959        0.414902       -0.146248
          58        -2.76926        -1.81961      -0.0904222       -0.244354
          59       -0.267527        0.760883       -0.343706         0.14631
