# iteration				N = 1 :			 N = 2 :		    N = 10 : 		 N = 100 :
           0        0.761724        0.818404        0.566969        0.472846
           1        0.283584        0.488266        0.464549        0.497942
           2        0.682452         0.81562        0.755829        0.541451
           3        0.178162        0.208898        0.322803        0.495635
           4        0.555688        0.371347        0.523346        0.447524
           5        0.833646        0.681937        0.580146        0.534813
           6        0.258718         0.32329        0.313287        0.511416
           7       0.0383546        0.137757        0.355048        0.456268
           8        0.778012        0.437055        0.469293        0.440002
           9        0.480336        0.421363        0.529674        0.457755
          10        0.158952        0.351708        0.599326        0.458142
          11        0.679388        0.723308        0.595837        0.561254
          12       0.0184539        0.153508        0.402684        0.532978
          13        0.479134        0.459465        0.473097        0.486824
          14        0.852605        0.579148        0.523066        0.473378
          15        0.517796        0.392801        0.472992        0.464368
          16       0.0413505        0.127201        0.405954        0.543613
          17        0.109979       0.0551367        0.485755        0.478858
          18        0.309686        0.508791         0.52847        0.552016
          19        0.172949         0.36672        0.543194        0.503768
          20        0.449751        0.395867        0.634686        0.532144
          21        0.219551        0.566273        0.463778        0.521709
          22        0.340611        0.327806        0.549212        0.505638
          23       0.0161117        0.154044        0.413289        0.480454
          24        0.722469        0.414386        0.556734        0.502719
          25        0.267318        0.515212        0.416767        0.496777
          26        0.789446        0.625561        0.425023        0.437976
          27        0.641235        0.730843        0.534803        0.509731
          28        0.460001        0.485765        0.413757        0.495813
          29        0.586322        0.298461        0.469595        0.449236
          30        0.166484        0.392844        0.451384        0.491641
          31         0.71845          0.5741        0.393507        0.485034
          32        0.175239        0.559065        0.577041        0.531625
          33       0.0696123         0.21259        0.495222        0.555315
          34        0.806082        0.723959        0.334447        0.495517
          35        0.191188        0.222641        0.415941        0.503514
          36        0.464927        0.316143        0.469483        0.493807
          37        0.993283        0.968156        0.600385        0.566019
          38        0.135716        0.143581        0.323049        0.452176
          39        0.277863        0.537031        0.614748        0.522735
          40        0.897788        0.469087        0.425613         0.51291
          41        0.187038        0.363547        0.486049         0.49666
          42        0.142169        0.480244        0.389711        0.494699
          43        0.239058        0.330322        0.494705         0.51788
          44        0.455266        0.690218        0.461527        0.538926
          45        0.263233        0.290602        0.504482        0.481569
          46        0.620805        0.708328        0.732474        0.562283
          47        0.371157        0.541531        0.541316        0.498823
          48        0.860815        0.596542        0.426607        0.512295
          49        0.115325        0.243905        0.534848        0.523375
          50        0.293862        0.180438        0.469471        0.443992
          51        0.187344        0.123706        0.513862        0.546447
          52        0.633675        0.710511        0.608905        0.582757
          53        0.396669        0.505612        0.499164        0.506215
          54        0.383701        0.672025        0.598091        0.510043
          55        0.246928         0.31848        0.464752        0.507596
          56         0.20308        0.318987        0.366059        0.545408
          57        0.190595        0.177682        0.440527        0.502258
          58        0.726942        0.660148        0.490622        0.479998
          59        0.593918        0.488964         0.60708        0.528012
          60        0.918817        0.652266        0.553631        0.503369
          61        0.582714        0.733409        0.485469         0.53091
          62       0.0154428        0.258241        0.398239        0.477229
          63        0.265782         0.18287        0.452246        0.502654
          64        0.294093        0.305049        0.422718        0.486402
          65        0.346375        0.260108        0.512308        0.490083
          66        0.250038        0.228755        0.435224        0.489047
          67        0.833345        0.597733         0.53952        0.512761
          68        0.316637        0.321234         0.35874        0.484878
          69        0.452228        0.564836        0.447394        0.498899
          70        0.992985        0.995563        0.715278        0.531847
          71        0.432743        0.620108        0.479428        0.489041
          72        0.163977        0.364397        0.533254        0.508462
          73        0.612809        0.315032        0.411103        0.501206
          74        0.505055        0.577988        0.511811         0.49067
          75        0.250385        0.610613        0.532821        0.460352
          76         0.15883         0.39584        0.440686        0.508885
          77        0.573109        0.385938         0.43546        0.489274
          78        0.353205        0.368347        0.514083        0.512539
          79        0.921855          0.6067        0.547529        0.537264
          80        0.300535        0.282093        0.491847        0.526186
          81        0.358046        0.586686        0.475278        0.497059
          82         0.57477        0.674864        0.551067        0.482947
          83        0.805687        0.615027        0.474443        0.489864
          84        0.208489        0.253719        0.436113        0.507793
          85        0.187782        0.436921        0.534661        0.502397
          86        0.984105        0.951853        0.754912        0.504875
          87        0.592963        0.665299        0.484922        0.499186
          88        0.813488        0.637322        0.484144         0.47983
          89        0.271828        0.165835        0.430782         0.51751
          90        0.707629        0.639014         0.53588        0.539723
          91         0.21366        0.297466        0.411395        0.511636
          92        0.632947        0.782627        0.603006        0.499998
          93         0.19287        0.105492        0.616776        0.437199
          94        0.533195        0.531752        0.540639        0.539505
          95        0.500686        0.654137         0.53303        0.505797
          96        0.965911        0.606488        0.655594        0.531443
          97       0.0912543        0.150305        0.385652        0.484097
          98        0.159727        0.104368         0.36577        0.489713
          99        0.572546        0.350103        0.428339         0.46097
         100        0.843804        0.675733        0.656206        0.586952
         101        0.361064        0.454565        0.477073        0.460356
         102        0.933069        0.708006         0.69838        0.482198
         103        0.395576        0.290826        0.316618        0.476853
         104       0.0728564         0.25069         0.41416        0.532869
         105       0.0687407       0.0398698          0.4089        0.555146
         106        0.153973        0.565234        0.655693        0.567465
         107        0.486672        0.611785        0.610061        0.503707
         108         0.20414        0.211282        0.437318        0.512106
         109        0.805166        0.484347        0.555368        0.487339
         110        0.544167        0.483127        0.495479        0.515745
         111        0.217469        0.410541        0.398457          0.4424
         112        0.767157        0.787574        0.667403         0.50562
         113        0.182162        0.365534        0.393762        0.472754
         114        0.956447        0.706735        0.469221        0.526215
         115        0.680889        0.443402        0.488322        0.483694
         116        0.602915        0.516629        0.618975        0.551726
         117        0.684331        0.628798        0.341479        0.475336
         118        0.914719        0.834806        0.489873        0.503753
         119        0.581012        0.458568        0.418357        0.506163
         120        0.632426         0.34756        0.393941        0.482636
         121       0.0871837       0.0531722        0.405339        0.501651
         122       0.0699414        0.219633        0.386095          0.4526
         123        0.107199        0.337621        0.473088        0.502104
         124        0.896564        0.816655        0.543487         0.50758
         125         0.15249        0.486467        0.265037        0.468057
         126        0.157888        0.272921        0.414837        0.476295
         127        0.253395        0.217239        0.416586        0.500818
         128        0.203235        0.214439        0.449284        0.451906
         129        0.811783        0.521558        0.512595        0.479943
         130        0.544693        0.599521        0.604152        0.543264
         131        0.543576        0.763012        0.568124        0.538649
         132        0.217768        0.166556        0.495867        0.491506
         133        0.548966          0.2857        0.469689        0.472403
         134        0.946088        0.880923        0.598099        0.527448
         135        0.624251         0.76723        0.841654        0.515133
         136        0.332493         0.55035        0.406046        0.501976
         137        0.192951        0.514758        0.404745        0.461717
         138        0.406297        0.430391        0.375632        0.483322
         139        0.684967        0.742529        0.670976        0.494657
         140        0.151422        0.169004        0.511227        0.481852
         141        0.831271        0.584225        0.471657         0.52702
         142        0.122499        0.341585         0.41533        0.484703
