# BLOCK: 		 AVERAGE: 		 ERROR:
       0        0.989985               0
       1         1.00389       0.0139024
       2         1.00336      0.00804414
       3        0.999747      0.00673611
       4         1.00112      0.00539423
       5        0.998977      0.00489614
       6        0.996886      0.00463656
       7        0.995256      0.00433357
       8        0.995842       0.0038666
       9        0.995373      0.00349011
      10        0.994311      0.00333065
      11        0.994014      0.00305496
      12        0.994076      0.00281085
      13        0.995158      0.00281825
      14        0.994972      0.00263024
      15        0.993067       0.0031117
      16        0.991244       0.0034448
      17        0.992005      0.00333567
      18        0.992444      0.00318559
      19         0.99311      0.00309478
      20        0.993655      0.00299364
      21        0.993754      0.00285604
      22        0.993862      0.00273119
      23        0.994081      0.00262408
      24         0.99493      0.00265626
      25        0.994587      0.00257503
      26        0.994667       0.0024791
      27         0.99444      0.00239961
      28        0.995407      0.00250924
      29        0.996049       0.0025075
      30         0.99659        0.002485
      31        0.995742      0.00255131
      32        0.995638      0.00247496
      33        0.995557      0.00240242
      34        0.995242      0.00235397
      35        0.995328      0.00228928
      36        0.995573      0.00223997
      37        0.996127      0.00224944
      38        0.996472      0.00221801
      39        0.996361      0.00216469
      40        0.996674      0.00213427
      41        0.996508      0.00208944
      42        0.996148      0.00207176
      43        0.996373      0.00203659
      44        0.996101      0.00200935
      45        0.995787      0.00199012
      46        0.996122      0.00197593
      47        0.996368      0.00194995
      48        0.996059      0.00193452
      49        0.996433      0.00193198
      50        0.996722      0.00191555
      51        0.996334      0.00191791
      52        0.996727      0.00192189
      53        0.996215      0.00195418
      54        0.996592      0.00195501
      55        0.997202       0.0020145
      56        0.996889      0.00200346
      57        0.996864      0.00196877
      58        0.996617      0.00195079
      59        0.996102      0.00198614
      60        0.996136      0.00195361
      61        0.996041       0.0019242
      62        0.995859       0.0019021
      63        0.995614      0.00188809
      64        0.995596       0.0018589
      65        0.995997      0.00187396
      66        0.996249      0.00186281
      67        0.995953      0.00185891
      68        0.996214      0.00185027
      69        0.996507      0.00184706
      70        0.996686      0.00182963
      71        0.996705      0.00180414
      72        0.996857      0.00178578
      73        0.996999      0.00176713
      74        0.997166       0.0017514
      75        0.997503      0.00176074
      76         0.99769      0.00174777
      77        0.997811      0.00172947
      78          0.9979      0.00170976
      79        0.997248      0.00180975
      80        0.997432       0.0017967
      81        0.997551      0.00177867
      82        0.997764      0.00176992
      83        0.997914      0.00175512
      84        0.997825      0.00173661
      85        0.997875      0.00171703
      86        0.997881      0.00169719
      87        0.997854        0.001678
      88        0.997771      0.00166114
      89        0.997867      0.00164537
      90        0.997895      0.00162744
      91        0.998028      0.00161511
      92        0.998143      0.00160175
      93        0.998159       0.0015847
      94        0.998275      0.00157224
      95        0.998401      0.00156082
      96        0.998552        0.001552
      97        0.998664      0.00154016
      98        0.998595      0.00152606
      99        0.998566        0.001511
