# STEP 			 x 			 y 			 z
       0           1           0           0
       1           1           0          -1
       2           1           0           0
       3           1           1           0
       4           1           0           0
       5           1           0           1
       6           0           0           1
       7           0           0           2
       8           0          -1           2
       9           0          -1           3
      10           0          -1           4
      11           1          -1           4
      12           0          -1           4
      13           0           0           4
      14           0          -1           4
      15           1          -1           4
      16           1          -2           4
      17           1          -2           3
      18           1          -3           3
      19           1          -4           3
      20           0          -4           3
      21          -1          -4           3
      22          -1          -5           3
      23          -1          -5           2
      24          -1          -5           3
      25          -1          -6           3
      26          -1          -7           3
      27          -1          -7           2
      28          -1          -7           3
      29          -1          -7           4
      30          -1          -6           4
      31           0          -6           4
      32          -1          -6           4
      33          -1          -5           4
      34          -1          -5           3
      35          -1          -6           3
      36          -1          -6           4
      37           0          -6           4
      38           0          -7           4
      39           0          -7           5
      40           1          -7           5
      41           1          -7           6
      42           1          -6           6
      43           1          -7           6
      44           1          -7           5
      45           1          -7           6
      46           1          -8           6
      47           1          -9           6
      48           1          -9           5
      49           2          -9           5
      50           1          -9           5
      51           1          -8           5
      52           1          -8           6
      53           1          -7           6
      54           1          -7           7
      55           1          -8           7
      56           0          -8           7
      57           0          -9           7
      58           0          -8           7
      59           0          -8           6
      60           0          -7           6
      61           0          -6           6
      62           0          -7           6
      63          -1          -7           6
      64          -2          -7           6
      65          -2          -8           6
      66          -1          -8           6
      67           0          -8           6
      68           1          -8           6
      69           2          -8           6
      70           2          -8           7
      71           1          -8           7
      72           0          -8           7
      73           0          -8           6
      74           0          -8           7
      75           0          -7           7
      76           0          -7           6
      77           0          -7           7
      78           1          -7           7
      79           1          -8           7
      80           1          -9           7
      81           1          -9           6
      82           1          -9           7
      83           1          -9           6
      84           1          -9           7
      85           1          -9           6
      86           1          -9           7
      87           0          -9           7
      88           1          -9           7
      89           1          -9           6
      90           1          -8           6
      91           2          -8           6
      92           3          -8           6
      93           3          -8           5
      94           4          -8           5
      95           3          -8           5
      96           3          -9           5
      97           4          -9           5
      98           4         -10           5
      99           4         -10           6
     101           5         -10           6
     102           5         -11           6
     103           5         -11           5
     104           5         -10           5
     105           4         -10           5
     106           5         -10           5
     107           5          -9           5
     108           4          -9           5
     109           5          -9           5
     110           4          -9           5
     111           3          -9           5
     112           3         -10           5
     113           3         -11           5
     114           3         -10           5
     115           4         -10           5
     116           4         -10           4
     117           3         -10           4
     118           2         -10           4
     119           2          -9           4
     120           2          -9           5
     121           3          -9           5
     122           3          -9           4
     123           3          -9           3
     124           3         -10           3
     125           4         -10           3
     126           5         -10           3
     127           5         -10           2
     128           5         -10           3
     129           5         -10           4
     130           5         -10           3
     131           5         -10           2
     132           5         -11           2
     133           6         -11           2
     134           6         -12           2
     135           6         -13           2
     136           6         -12           2
     137           6         -13           2
     138           6         -14           2
     139           6         -15           2
     140           7         -15           2
     141           6         -15           2
     142           6         -15           3
