# STEP: 		 AVERAGE: 		 ERROR:
       1               1               0
       2         1.41134        0.003772
       3         1.73654      0.00562385
       4         2.00143      0.00688509
       5         2.23241      0.00803359
       6         2.43975      0.00931519
       7         2.63051       0.0106699
       8         2.81413       0.0107905
       9         2.97777        0.011575
      10         3.13564       0.0132511
      11         3.27833       0.0145361
      12         3.42458       0.0159329
      13         3.56059       0.0162533
      14         3.68812       0.0171249
      15         3.81769       0.0172403
      16         3.94084        0.017584
      17         4.06932       0.0181547
      18         4.18285       0.0189404
      19         4.29972       0.0202375
      20          4.4057       0.0209619
      21         4.51118       0.0202206
      22          4.6164       0.0211092
      23         4.72349       0.0217974
      24         4.82346       0.0221251
      25         4.93196       0.0232252
      26         5.03148       0.0241521
      27         5.12023       0.0237862
      28         5.22431       0.0241624
      29         5.32061        0.024799
      30         5.40496       0.0251924
      31         5.48475       0.0259443
      32         5.57662        0.026471
      33         5.66728       0.0268733
      34         5.75296       0.0274919
      35         5.83879       0.0282599
      36         5.92256       0.0281282
      37         6.00251       0.0275317
      38         6.09407       0.0268059
      39         6.17945       0.0267168
      40         6.26419       0.0278801
      41          6.3537        0.027907
      42          6.4326       0.0292342
      43         6.50246        0.030238
      44          6.5725       0.0308548
      45         6.64755       0.0311197
      46         6.73344       0.0307367
      47         6.80493       0.0305732
      48         6.87887       0.0308107
      49         6.94787        0.032421
      50         7.02129       0.0328954
      51         7.08734       0.0324429
      52         7.15359       0.0327808
      53         7.21957       0.0332281
      54         7.29534       0.0336757
      55         7.36144       0.0335845
      56         7.42372       0.0330002
      57         7.48676       0.0333304
      58         7.56331       0.0334859
      59         7.63187        0.034253
      60         7.69182       0.0343171
      61         7.75588       0.0341454
      62         7.82829        0.034301
      63         7.89393       0.0336894
      64         7.95202       0.0333135
      65         8.00262       0.0335087
      66         8.07227       0.0338323
      67         8.12828       0.0331911
      68         8.19121       0.0328129
      69         8.25536       0.0336368
      70         8.32927       0.0335739
      71         8.38168       0.0336207
      72         8.43935       0.0343378
      73         8.49207       0.0343591
      74         8.55608       0.0343927
      75          8.6242       0.0344862
      76         8.68201       0.0344415
      77         8.73624       0.0342829
      78          8.8008       0.0349007
      79         8.84589       0.0362539
      80         8.90703       0.0376102
      81         8.96248       0.0390976
      82         9.00936       0.0394032
      83         9.07027       0.0404476
      84         9.12743       0.0411899
      85          9.1751       0.0409821
      86         9.23948       0.0411417
      87         9.29726       0.0415136
      88         9.35296       0.0416652
      89         9.40998       0.0417743
      90         9.45613       0.0432316
      91          9.5191       0.0431114
      92         9.57583       0.0424297
      93         9.62477        0.043385
      94         9.68676       0.0438699
      95         9.73488       0.0428727
      96         9.78573       0.0420715
      97         9.83668       0.0428306
      98         9.87269       0.0429778
      99         9.92354        0.043381
     100         9.97469       0.0436099
