# BLOCK:		CALL AVERAGE:			ERROR:
       0         15.2119               0
       1         15.0094        0.202558
       2         14.9713        0.122982
       3         15.0156       0.0975572
       4         14.9994       0.0772841
       5          14.968       0.0704566
       6         15.0035       0.0693373
       7         15.0781        0.095745
       8         15.0382       0.0933764
       9         15.0413       0.0835749
      10         15.0422       0.0756012
      11         15.0391        0.069082
      12         15.0301       0.0641831
      13         15.0213       0.0600662
      14          15.027        0.056202
      15         15.0144        0.054054
      16           14.99       0.0563321
      17         14.9807       0.0539089
      18         14.9763       0.0511843
      19         14.9846       0.0492542
      20         14.9763       0.0475794
      21         14.9748       0.0453899
      22          14.968       0.0439052
      23         14.9624       0.0424048
      24         14.9787       0.0438237
      25         14.9689       0.0432165
      26         14.9753        0.042067
      27         14.9684       0.0411156
      28          14.972       0.0398353
      29         14.9759       0.0386832
      30         14.9776       0.0374513
      31          14.964       0.0387316
      32         14.9589       0.0378762
      33         14.9722       0.0390679
      34         14.9674       0.0382402
      35         14.9669       0.0371663
      36         14.9713       0.0364137
      37         14.9729       0.0354806
      38         14.9789       0.0350702
      39         14.9768       0.0342466
      40         14.9739       0.0335291
      41         14.9764       0.0328189
      42          14.977       0.0320524
      43         14.9846       0.0322171
      44         14.9828       0.0315422
      45         14.9805       0.0309352
      46         14.9846       0.0305492
      47         14.9854       0.0299154
      48         14.9819       0.0295049
      49         14.9827       0.0289211
      50         14.9867       0.0286292
      51         14.9864       0.0280756
      52         14.9807       0.0281222
      53         14.9823       0.0276456
      54         14.9798       0.0272537
      55         14.9802       0.0267657
      56         14.9818       0.0263401
      57         14.9866        0.026318
      58         14.9853       0.0259002
      59         14.9934       0.0267182
      60         14.9974       0.0265735
      61         14.9941        0.026345
      62         14.9906       0.0261606
      63         14.9848       0.0263966
      64         14.9785        0.026739
      65         14.9821       0.0265756
      66         14.9797       0.0262865
      67         14.9811         0.02594
      68         14.9837       0.0256838
      69         14.9833       0.0253172
      70         14.9888        0.025575
      71         14.9935       0.0256402
      72         14.9943       0.0253001
      73         14.9956       0.0249872
      74         14.9916       0.0249723
      75         14.9903        0.024676
      76         14.9877       0.0244842
      77         14.9837       0.0245023
      78         14.9853       0.0242452
      79          14.984       0.0239794
      80         14.9803       0.0239588
      81         14.9788       0.0237143
      82         14.9806       0.0234933
      83         14.9813       0.0232219
      84          14.985       0.0232525
      85         14.9835       0.0230328
      86         14.9854       0.0228483
      87         14.9846       0.0226015
      88         14.9854       0.0223608
      89         14.9826       0.0222819
      90         14.9799       0.0222105
      91         14.9785       0.0220108
      92         14.9774          0.0218
      93         14.9778         0.02157
      94         14.9763        0.021389
      95         14.9762       0.0211654
      96         14.9761       0.0209462
      97         14.9779       0.0208113
      98         14.9787        0.020613
      99         14.9777       0.0204282
