# BLOCK:		CALL AVERAGE:			ERROR:
       0         14.8204               0
       1         14.8937       0.0732677
       2         15.0332        0.145799
       3         14.9913        0.111302
       4         14.9978       0.0864626
       5         14.9924       0.0708021
       6         14.9483       0.0743428
       7         14.9681       0.0673455
       8         14.9763       0.0599629
       9          14.967       0.0544321
      10         14.9782       0.0504979
      11         14.9522       0.0529341
      12         14.9385       0.0505772
      13         14.9435       0.0470897
      14         14.9529       0.0448346
      15         14.9577       0.0422095
      16         14.9508       0.0402474
      17         14.9621       0.0395881
      18         14.9652       0.0375783
      19         14.9636       0.0356835
      20         14.9618       0.0339909
      21         14.9666       0.0327661
      22         14.9763        0.032769
      23         14.9777       0.0314053
      24         14.9775       0.0301237
      25         14.9853       0.0299713
      26         15.0007       0.0327005
      27         14.9893       0.0335069
      28         14.9956       0.0329349
      29         14.9942        0.031849
      30          14.997       0.0309347
      31         14.9971       0.0299525
      32         14.9979       0.0290423
      33         14.9936       0.0285103
      34         15.0024       0.0290661
      35         14.9946       0.0293052
      36         15.0044       0.0301428
      37         15.0043        0.029339
      38         15.0072       0.0287152
      39         15.0044       0.0281243
      40         15.0052       0.0274409
      41         15.0064       0.0268077
      42          15.011       0.0265767
      43         15.0005       0.0280254
      44         14.9991       0.0274271
      45         14.9998       0.0268326
      46         14.9947       0.0267548
      47         14.9965       0.0262539
      48         14.9983       0.0257741
      49         14.9965       0.0253149
      50         14.9962       0.0248147
      51         14.9917        0.024746
      52         14.9945       0.0244266
      53         14.9926         0.02404
      54         14.9952       0.0237368
      55         15.0006       0.0239334
      56         15.0029       0.0236192
      57         14.9968       0.0239829
      58          14.993       0.0238813
      59         14.9933       0.0234811
      60           14.99       0.0233284
      61         14.9903       0.0229523
      62         14.9838        0.023502
      63         14.9822       0.0231893
      64         14.9795       0.0229882
      65         14.9753       0.0230248
      66          14.974       0.0227151
      67         14.9715       0.0225205
      68         14.9684       0.0224004
      69         14.9625       0.0228636
      70         14.9612       0.0225751
      71         14.9578       0.0225163
      72         14.9593       0.0222525
      73         14.9574       0.0220275
      74         14.9577       0.0217331
      75         14.9623       0.0219485
      76         14.9643        0.021749
      77         14.9641       0.0214694
      78         14.9661       0.0212948
      79         14.9685       0.0211556
      80         14.9676       0.0209107
      81         14.9647       0.0208563
      82         14.9667       0.0207038
      83         14.9666        0.020456
      84         14.9672        0.020221
      85         14.9669       0.0199858
      86         14.9676        0.019765
      87         14.9675       0.0195394
      88          14.967       0.0193254
      89         14.9681       0.0191444
      90          14.965       0.0191944
      91          14.966       0.0190139
      92         14.9695       0.0191221
      93         14.9713       0.0190021
      94         14.9749       0.0191562
      95          14.974       0.0189774
      96         14.9735       0.0187884
      97         14.9767       0.0188725
      98         14.9751       0.0187522
      99         14.9782       0.0188239
