# BLOCK:		PUT AVERAGE:			ERROR:
       0         5.49269               0
       1         5.48747      0.00521577
       2         5.49954       0.0124396
       3         5.45198       0.0483714
       4         5.45159       0.0374703
       5          5.4579       0.0312394
       6         5.44373       0.0299667
       7         5.42316       0.0331158
       8         5.43075       0.0301767
       9         5.42651       0.0273216
      10         5.42671       0.0247141
      11         5.42569       0.0225842
      12         5.42343       0.0208961
      13         5.41666       0.0204964
      14         5.41748       0.0190984
      15         5.41807       0.0178749
      16         5.42406        0.017825
      17         5.43262       0.0188603
      18         5.42998       0.0180337
      19         5.43118       0.0171504
      20         5.43489       0.0167288
      21         5.43683       0.0160681
      22         5.43223       0.0160271
      23         5.43019       0.0154803
      24         5.43013       0.0148483
      25         5.43322       0.0145965
      26         5.43549       0.0142279
      27         5.43856       0.0140505
      28         5.44255       0.0141336
      29         5.43789         0.01443
      30         5.43941       0.0140396
      31          5.4412       0.0137113
      32         5.44754        0.014725
      33         5.44522       0.0144726
      34         5.44728       0.0142026
      35         5.45069       0.0142185
      36         5.44817       0.0140576
      37         5.44754       0.0136971
      38         5.45032       0.0136277
      39         5.45021       0.0132831
      40          5.4515       0.0130188
      41         5.45089       0.0127194
      42         5.44935       0.0125155
      43          5.4516       0.0124327
      44         5.45335       0.0122791
      45          5.4503       0.0123906
      46         5.45217       0.0122667
      47         5.45042        0.012134
      48          5.4541       0.0124394
      49         5.45382       0.0121912
      50         5.45169       0.0121389
      51         5.45428        0.012182
      52         5.45483       0.0119627
      53         5.45584       0.0117822
      54         5.45631       0.0115758
      55         5.45315       0.0117979
      56         5.45399       0.0116192
      57         5.45393       0.0114173
      58         5.45469       0.0112482
      59         5.45361       0.0111126
      60         5.45029        0.011422
      61         5.45306       0.0115736
      62         5.45329       0.0113906
      63         5.45645       0.0116506
      64         5.45677       0.0114743
      65         5.45698       0.0113011
      66         5.45547       0.0112328
      67          5.4552       0.0110697
      68         5.45411       0.0109621
      69          5.4552       0.0108592
      70         5.45263       0.0110106
      71         5.45045       0.0110735
      72         5.45034       0.0109212
      73          5.4487       0.0108979
      74         5.44928       0.0107674
      75         5.44907       0.0106268
      76         5.44993       0.0105232
      77         5.45063       0.0104105
      78         5.44847       0.0105008
      79         5.44787       0.0103865
      80         5.44847       0.0102753
      81         5.44723       0.0102245
      82          5.4465       0.0101274
      83          5.4465       0.0100061
      84         5.44565      0.00992371
      85          5.4468       0.0098747
      86         5.44527      0.00988023
      87         5.44528      0.00976731
      88         5.44414       0.0097236
      89         5.44454      0.00962295
      90         5.44382      0.00954349
      91         5.44461      0.00947216
      92         5.44743      0.00978369
      93         5.44813      0.00970468
      94         5.44888       0.0096314
      95         5.44836      0.00954479
      96         5.44867      0.00945092
      97         5.44952      0.00939207
      98          5.4495      0.00929672
      99         5.45071       0.0092825
