# BLOCK:		PUT AVERAGE:			ERROR:
       0         5.63132               0
       1         5.58452       0.0468035
       2         5.57102       0.0302042
       3         5.54592       0.0329607
       4         5.53753       0.0268726
       5          5.5501       0.0252844
       6         5.52388       0.0338205
       7         5.50243       0.0363054
       8         5.50462       0.0320933
       9         5.49225       0.0312596
      10         5.49762       0.0287815
      11         5.49833       0.0262833
      12         5.49587       0.0243022
      13         5.49826       0.0226267
      14         5.50252       0.0214904
      15         5.49774       0.0206632
      16         5.49661       0.0194426
      17         5.48995       0.0195009
      18         5.48265       0.0198389
      19          5.4842       0.0188842
      20         5.48499         0.01798
      21         5.48054       0.0177117
      22          5.4722        0.018869
      23         5.47243       0.0180673
      24         5.47136       0.0173627
      25         5.46698       0.0172474
      26          5.4613       0.0175427
      27         5.46517       0.0173428
      28         5.46299       0.0168751
      29         5.46366       0.0163165
      30         5.46489       0.0158288
      31         5.46415       0.0153437
      32         5.46911       0.0156746
      33         5.46433       0.0159373
      34         5.45877        0.016445
      35         5.46136       0.0161905
      36          5.4605       0.0157708
      37         5.46031       0.0153513
      38         5.45854       0.0150566
      39          5.4612       0.0149148
      40         5.46026       0.0145771
      41         5.46105       0.0142475
      42         5.46209       0.0139511
      43         5.46789       0.0148128
      44         5.46571        0.014642
      45         5.46383       0.0144437
      46          5.4657       0.0142563
      47         5.46581       0.0139566
      48         5.46647       0.0136849
      49         5.46647       0.0134084
      50         5.46563       0.0131699
      51         5.46602       0.0129201
      52         5.46234       0.0131986
      53         5.46152       0.0129778
      54         5.46398       0.0129746
      55         5.46401       0.0127408
      56         5.46301        0.012555
      57         5.46243       0.0123505
      58         5.46158       0.0121686
      59         5.46138       0.0119658
      60         5.46245       0.0118166
      61         5.46296       0.0116354
      62         5.46347       0.0114609
      63          5.4628       0.0113007
      64         5.46319       0.0111324
      65          5.4647       0.0110662
      66         5.46407        0.010918
      67         5.46476       0.0107785
      68         5.46387       0.0106586
      69         5.46476       0.0105433
      70         5.46576       0.0104416
      71         5.46749         0.01044
      72         5.46667       0.0103284
      73         5.46825       0.0103089
      74         5.46704        0.010242
      75          5.4668       0.0101093
      76          5.4655       0.0100607
      77          5.4655      0.00993084
      78         5.46473      0.00983387
      79         5.46293      0.00987701
      80         5.46369      0.00978424
      81         5.46385      0.00966549
      82         5.46399      0.00954942
      83         5.46339      0.00945419
      84         5.46442      0.00939803
      85         5.46505      0.00930966
      86         5.46411      0.00924971
      87         5.46287      0.00922741
      88         5.46221      0.00914687
      89         5.46254       0.0090505
      90           5.464       0.0090685
      91         5.46423      0.00897246
      92         5.46187      0.00918448
      93         5.45947      0.00939722
      94         5.45928      0.00929978
      95         5.46058      0.00929444
      96         5.46161      0.00925507
      97         5.46093      0.00918519
      98         5.46053      0.00910071
      99         5.46023      0.00901429
