#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1    0.946543    0.946543           0
           2     1.01652    0.981531   0.0247402
           3     1.08926     1.01744   0.0336414
           4       1.119     1.04283   0.0334669
           5     1.15922     1.06611    0.033916
           6     1.17381     1.08406     0.03267
           7     1.16659     1.09585   0.0300553
           8     1.16175     1.10409   0.0274042
           9     1.15229     1.10944   0.0248771
          10     1.13503       1.112   0.0225207
          11     1.15789     1.11617   0.0208561
          12     1.15565     1.11946   0.0193758
          13     1.18785     1.12472   0.0185859
          14     1.18128     1.12876   0.0176918
          15     1.24689     1.13664   0.0181809
          16     1.22102     1.14191   0.0177931
          17     1.18704     1.14457   0.0169433
          18     1.17836     1.14644   0.0161056
          19     1.18255     1.14834   0.0153697
          20     1.19774     1.15081   0.0147983
          21     1.22165     1.15419    0.014473
          22     1.21441     1.15693   0.0140716
          23      1.2233     1.15981   0.0137526
          24     1.21904     1.16228   0.0133991
          25     1.22519      1.1648   0.0130973
          26     1.22192     1.16699   0.0127766
          27     1.23175     1.16939   0.0125264
          28     1.19936     1.17046   0.0121247
          29     1.20935      1.1718   0.0117805
          30     1.23574     1.17393   0.0115791
          31     1.22954     1.17573   0.0113436
          32     1.17126     1.17559     0.01099
          33     1.16537     1.17528   0.0106613
          34      1.1821     1.17548   0.0103497
          35     1.18397     1.17572   0.0100568
          36     1.16531     1.17543   0.0097816
          37     1.15974     1.17501  0.00952642
          38     1.15697     1.17453  0.00928755
          39        1.18     1.17467  0.00905046
          40     1.18706     1.17498   0.0088295
          41     1.20213     1.17565  0.00863894
          42     1.21411     1.17656  0.00848164
          43     1.21237     1.17739  0.00832518
          44     1.21157     1.17817  0.00817214
          45     1.18802     1.17839  0.00799347
          46     1.19414     1.17873  0.00782703
          47     1.20475     1.17929  0.00768004
          48     1.18627     1.17943  0.00752142
          49     1.21469     1.18015  0.00740227
          50     1.19485     1.18045  0.00726006
          51     1.18926     1.18062  0.00711976
          52     1.17569     1.18052  0.00698348
          53     1.19047     1.18071  0.00685423
          54     1.19224     1.18092  0.00673063
          55     1.20936     1.18144  0.00662808
          56     1.19958     1.18177  0.00651763
          57     1.19948     1.18208   0.0064107
          58     1.18532     1.18213  0.00630041
          59      1.1992     1.18242  0.00620026
          60     1.22932      1.1832    0.006146
          61     1.20237     1.18352  0.00605327
          62     1.20752      1.1839    0.005968
          63     1.19621      1.1841  0.00587646
          64     1.20032     1.18435  0.00579011
          65     1.16844     1.18411  0.00570621
          66     1.18079     1.18406  0.00561997
          67     1.16902     1.18383  0.00554057
          68     1.19315     1.18397  0.00546079
          69     1.18473     1.18398  0.00538166
          70     1.19792     1.18418  0.00530846
          71     1.19328     1.18431  0.00523524
          72      1.1788     1.18423  0.00516308
          73     1.17609     1.18412  0.00509356
          74     1.17246     1.18396  0.00502716
          75     1.15655      1.1836  0.00497341
          76     1.13979     1.18302  0.00494125
          77     1.15843      1.1827  0.00488739
          78     1.14196     1.18218  0.00485256
          79     1.17811     1.18213  0.00479141
          80      1.2167     1.18256  0.00475097
          81     1.23461      1.1832  0.00473557
          82     1.21673     1.18361  0.00469543
          83     1.23145     1.18419   0.0046741
          84     1.23681     1.18481  0.00466024
          85     1.17856     1.18474  0.00460599
          86     1.19746     1.18489  0.00455481
          87     1.18234     1.18486  0.00450255
          88     1.17443     1.18474  0.00445294
          89     1.17999     1.18469  0.00440323
          90     1.15352     1.18434   0.0043679
          91      1.1535       1.184  0.00433303
          92     1.19085     1.18408  0.00428657
          93     1.17562     1.18399  0.00424144
          94     1.14645     1.18359  0.00421507
          95     1.16759     1.18342  0.00417407
          96     1.16601     1.18324  0.00413452
          97      1.1731     1.18313  0.00409322
          98     1.17849     1.18309  0.00405173
          99     1.16397     1.18289   0.0040154
         100     1.15829     1.18265  0.00398277
         101       1.156     1.18238  0.00395207
         102     1.16202     1.18218  0.00391837
         103     1.15317      1.1819  0.00389043
         104     1.17887     1.18187  0.00385313
         105     1.21194     1.18216  0.00382706
         106     1.19134     1.18224  0.00379194
         107     1.20596     1.18247  0.00376298
         108     1.20315     1.18266    0.003733
         109     1.19422     1.18276  0.00370026
         110     1.20629     1.18298   0.0036728
         111     1.16758     1.18284  0.00364233
         112     1.15129     1.18256  0.00362069
         113     1.16133     1.18237  0.00359351
         114      1.1428     1.18202  0.00357871
         115     1.15276     1.18177  0.00355662
         116     1.15962     1.18158  0.00353108
         117     1.19304     1.18168  0.00350226
         118     1.20221     1.18185   0.0034769
         119       1.205     1.18204  0.00345312
         120     1.18632     1.18208  0.00342453
         121     1.20815     1.18229    0.003403
         122     1.19126     1.18237   0.0033759
         123     1.19649     1.18248   0.0033504
         124     1.22416     1.18282   0.0033402
         125     1.21031     1.18304  0.00332071
         126     1.21734     1.18331   0.0033055
         127     1.24469     1.18379  0.00331461
         128      1.2961     1.18467  0.00340286
         129     1.29719     1.18554  0.00348648
         130     1.25553     1.18608  0.00350099
         131      1.2592     1.18664  0.00351847
         132     1.25134     1.18713   0.0035258
         133     1.20658     1.18728  0.00350232
         134     1.20892     1.18744   0.0034799
         135     1.22528     1.18772   0.0034654
         136      1.2493     1.18817  0.00346938
         137     1.22251     1.18842  0.00345309
         138     1.21359      1.1886  0.00343288
         139     1.22212     1.18885  0.00341664
         140     1.18618     1.18883  0.00339229
         141     1.17297     1.18871   0.0033701
         142     1.19269     1.18874  0.00334648
         143     1.19096     1.18876  0.00332311
         144     1.20532     1.18887  0.00330202
         145     1.17844      1.1888  0.00328004
         146     1.17023     1.18867  0.00326004
         147     1.14124     1.18835  0.00325379
         148      1.1505      1.1881  0.00324184
         149     1.16172     1.18792  0.00322491
         150     1.18901     1.18793  0.00320342
         151     1.17144     1.18782  0.00318407
         152     1.16664     1.18768  0.00316617
         153     1.17373     1.18759  0.00314679
         154     1.18431     1.18756  0.00312642
         155     1.17045     1.18745   0.0031082
         156     1.16266      1.1873  0.00309234
         157     1.14917     1.18705  0.00308216
         158     1.14981     1.18682  0.00307165
         159     1.16411     1.18667  0.00305565
         160     1.17588     1.18661   0.0030373
         161     1.17566     1.18654   0.0030192
         162     1.17807     1.18649  0.00300101
         163     1.18719     1.18649   0.0029826
         164     1.18212     1.18646  0.00296454
         165     1.14497     1.18621  0.00295722
         166      1.1576     1.18604  0.00294442
         167     1.19237     1.18608  0.00292704
         168     1.16047     1.18593  0.00291358
         169     1.17782     1.18588  0.00289673
         170     1.19011      1.1859   0.0028798
         171     1.16178     1.18576  0.00286641
         172     1.14718     1.18554  0.00285851
         173     1.16158      1.1854  0.00284534
         174     1.18578      1.1854  0.00282899
         175     1.20721     1.18553  0.00281557
         176     1.19982     1.18561  0.00280074
         177     1.19528     1.18566  0.00278545
         178     1.17711     1.18561  0.00277021
         179     1.16356     1.18549  0.00275748
         180     1.18289     1.18548   0.0027422
         181      1.1603     1.18534  0.00273057
         182     1.17112     1.18526  0.00271669
         183     1.17688     1.18521  0.00270223
         184     1.17795     1.18517  0.00268783
         185     1.18907     1.18519  0.00267338
         186     1.20333     1.18529  0.00266079
         187     1.20398     1.18539  0.00264843
         188     1.19866     1.18546  0.00263529
         189      1.1621     1.18534  0.00262424
         190     1.20007     1.18542  0.00261157
         191     1.17634     1.18537  0.00259833
