#		 BLOCK:	 ACTUAL_KE:		KE_AVE:			ERROR:
           1      1.7787      1.7787           0
           2     1.80678     1.79274  0.00992651
           3     1.76975     1.78508  0.00910707
           4     1.78216     1.78435  0.00685936
           5     1.79089     1.78566  0.00561105
           6     1.73765     1.77766  0.00867212
           7     1.75828     1.77489  0.00786271
           8     1.79832     1.77782   0.0074052
           9     1.80089     1.78038  0.00701224
          10     1.74726     1.77707  0.00705009
          11     1.77197     1.77661  0.00642439
          12     1.88422     1.78557   0.0104119
          13     1.84214     1.78993    0.010481
          14     1.80537     1.79103  0.00979021
          15     1.77677     1.79008  0.00918358
          16     1.79009     1.79008  0.00860961
          17     1.79092     1.79013   0.0081033
          18     1.80226      1.7908  0.00768112
          19     1.80472     1.79153  0.00731168
          20     1.77299     1.79061  0.00700467
          21     1.77718     1.78997  0.00670024
          22     1.80113     1.79047  0.00641487
          23     1.77564     1.78983  0.00616831
          24     1.75968     1.78857  0.00603783
          25     1.78353     1.78837  0.00579968
          26     1.80589     1.78905  0.00561564
          27      1.8157     1.79003  0.00549376
          28     1.81119     1.79079  0.00534924
          29     1.86083      1.7932  0.00568395
          30     1.85591     1.79529  0.00586628
          31     1.80025     1.79545  0.00567922
          32     1.80178     1.79565  0.00550518
          33     1.81377      1.7962  0.00536566
          34     1.81694     1.79681  0.00524239
          35     1.84878      1.7983  0.00529871
          36     1.80302     1.79843  0.00515315
          37     1.82256     1.79908  0.00505499
          38     1.78195     1.79863  0.00494202
          39     1.76138     1.79767   0.0049067
          40     1.74662      1.7964  0.00494726
          41     1.77452     1.79586  0.00485529
          42     1.78621     1.79563  0.00474513
          43     1.79171     1.79554  0.00463565
          44     1.80704      1.7958  0.00453765
          45     1.81638     1.79626  0.00445979
          46     1.77347     1.79577  0.00439027
          47     1.76613     1.79513  0.00434191
          48     1.83314     1.79593  0.00432303
          49     1.80161     1.79604  0.00423636
          50     1.79635     1.79605  0.00415164
          51     1.82235     1.79656  0.00410214
          52      1.7982      1.7966  0.00402338
          53     1.82474     1.79713  0.00398235
          54     1.79055       1.797  0.00391046
          55     1.74586     1.79607  0.00394839
          56     1.79242     1.79601  0.00387843
          57     1.79471     1.79599  0.00381045
          58      1.7767     1.79565  0.00375923
          59     1.76547     1.79514  0.00373017
          60     1.76777     1.79469  0.00369579
          61     1.81281     1.79498  0.00364713
          62     1.82947     1.79554  0.00363047
          63     1.83114      1.7961  0.00361655
          64     1.81242     1.79636  0.00356902
          65     1.80132     1.79644  0.00351493
          66      1.7649     1.79596  0.00349401
          67     1.78341     1.79577  0.00344688
          68     1.77475     1.79546  0.00341003
          69     1.78129     1.79526  0.00336678
          70     1.76603     1.79484  0.00334448
          71     1.77341     1.79454  0.00331096
          72     1.78939     1.79447  0.00326574
          73     1.77109     1.79415  0.00323667
          74     1.78222     1.79398  0.00319694
          75     1.79573     1.79401   0.0031544
          76     1.84115     1.79463  0.00317329
          77     1.78051     1.79444  0.00313737
          78     1.74501     1.79381  0.00316051
          79      1.7769      1.7936  0.00312775
          80      1.7873     1.79352  0.00308965
          81     1.72939     1.79273  0.00315129
          82     1.76732     1.79242  0.00312805
          83     1.80229     1.79254  0.00309262
          84     1.78573     1.79245  0.00305686
          85     1.73596     1.79179  0.00309232
          86     1.73836     1.79117  0.00311814
          87      1.7814     1.79106  0.00308432
          88     1.84258     1.79164  0.00310436
          89     1.79163     1.79164  0.00306948
          90     1.77534     1.79146  0.00304071
          91     1.75446     1.79105  0.00303436
          92     1.80608     1.79122  0.00300576
          93     1.78008      1.7911  0.00297583
          94     1.73383     1.79049   0.0030059
          95     1.74861     1.79005   0.0030064
          96      1.7914     1.79006  0.00297511
          97     1.77325     1.78989  0.00294949
          98     1.75746     1.78956   0.0029379
          99     1.77277     1.78939  0.00291311
         100     1.79869     1.78948  0.00288547
