#		 BLOCK:	ACTUAL_PE:		 PE_AVE:			ERROR:
           1   -0.386626   -0.386626           0
           2   -0.414696   -0.400661  0.00992444
           3   -0.377589    -0.39297   0.0091217
           4   -0.390039   -0.392238  0.00687066
           5   -0.398617   -0.393513  0.00561374
           6   -0.345393   -0.385493  0.00868827
           7   -0.366082    -0.38272  0.00787722
           8   -0.406126   -0.385646  0.00741603
           9   -0.408531   -0.388189  0.00701442
          10   -0.355076   -0.384877  0.00705135
          11   -0.379875   -0.384423  0.00642497
          12   -0.491995   -0.393387   0.0104091
          13   -0.449826   -0.397728   0.0104747
          14   -0.413085   -0.398825  0.00978381
          15   -0.384428   -0.397866  0.00917852
          16   -0.397883   -0.397867  0.00860486
          17   -0.398706   -0.397916  0.00809884
          18   -0.410083   -0.398592  0.00767706
          19   -0.412605   -0.399329  0.00730835
          20   -0.380725   -0.398399  0.00700188
          21   -0.385061   -0.397764   0.0066972
          22   -0.408848   -0.398268  0.00641171
          23   -0.383449   -0.397624  0.00616523
          24   -0.367506   -0.396369  0.00603471
          25   -0.391471   -0.396173   0.0057965
          26   -0.413878   -0.396854  0.00561341
          27   -0.423702   -0.397848  0.00549288
          28   -0.419238   -0.398612  0.00534956
          29   -0.468919   -0.401036  0.00568797
          30   -0.463957   -0.403134  0.00587234
          31   -0.408288     -0.4033  0.00568526
          32   -0.409872   -0.403505  0.00551131
          33   -0.421919   -0.404063  0.00537247
          34   -0.424968   -0.404678  0.00524952
          35    -0.45671   -0.406165  0.00530586
          36   -0.410862   -0.406295  0.00516008
          37   -0.430415   -0.406947  0.00506163
          38   -0.389687   -0.406493  0.00494876
          39   -0.369214   -0.405537  0.00491332
          40   -0.354382   -0.404258  0.00495413
          41   -0.382354   -0.403724  0.00486202
          42    -0.39401   -0.403493  0.00475175
          43   -0.399502     -0.4034  0.00464216
          44   -0.414846    -0.40366  0.00454393
          45   -0.424101   -0.404114   0.0044656
          46   -0.381232   -0.403617  0.00439614
          47   -0.374129   -0.402989  0.00434715
          48   -0.441173   -0.403785  0.00432876
          49   -0.409634   -0.403904  0.00424206
          50   -0.404373   -0.403914  0.00415723
          51   -0.430369   -0.404432  0.00410795
          52    -0.40619   -0.404466  0.00402909
          53   -0.432705   -0.404999  0.00398814
          54   -0.398415   -0.404877  0.00391615
          55   -0.353644   -0.403946  0.00395418
          56   -0.400306   -0.403881  0.00388411
          57    -0.40255   -0.403857  0.00381603
          58   -0.384563   -0.403525  0.00376471
          59   -0.373317   -0.403013  0.00373556
          60   -0.375627   -0.402556  0.00370108
          61   -0.420835   -0.402856  0.00365251
          62   -0.437318   -0.403412  0.00363565
          63   -0.438879   -0.403975  0.00362126
          64   -0.420253   -0.404229   0.0035736
          65   -0.409183   -0.404305  0.00351944
          66   -0.372705   -0.403826  0.00349853
          67   -0.391365    -0.40364  0.00345125
          68   -0.382561    -0.40333  0.00341439
          69   -0.389151   -0.403125  0.00337109
          70   -0.373928   -0.402708  0.00334863
          71    -0.38137   -0.402407  0.00331493
          72   -0.397348   -0.402337  0.00326963
          73   -0.379116   -0.402019  0.00324028
          74   -0.390184   -0.401859  0.00320043
          75   -0.403832   -0.401885  0.00315787
          76   -0.449114   -0.402507  0.00317687
          77   -0.388317   -0.402322  0.00314096
          78   -0.352848   -0.401688  0.00316408
          79   -0.384829   -0.401475  0.00313122
          80   -0.395157   -0.401396  0.00309308
          81   -0.337254   -0.400604  0.00315463
          82   -0.375306   -0.400295   0.0031312
          83   -0.410186   -0.400415  0.00309575
          84   -0.393593   -0.400333  0.00305996
          85   -0.343819   -0.399668  0.00309535
          86   -0.346266   -0.399048  0.00312102
          87   -0.389358   -0.398936  0.00308713
          88    -0.45045   -0.399522  0.00310706
          89   -0.399534   -0.399522  0.00307214
          90   -0.383153    -0.39934  0.00304339
          91   -0.362305   -0.398933  0.00303703
          92    -0.41402   -0.399097  0.00300845
          93   -0.387846   -0.398976  0.00297853
          94   -0.341795   -0.398368  0.00300832
          95   -0.356631   -0.397928  0.00300856
          96   -0.399383   -0.397943  0.00297726
          97   -0.381253   -0.397771  0.00295153
          98    -0.36544   -0.397441   0.0029398
          99   -0.380784   -0.397273  0.00291491
         100    -0.40653   -0.397366  0.00288723
