#		 BLOCK:	 ACTUAL_P:		 P_AVE:			 ERROR:
           1   0.0591554   0.0591554           0
           2   0.0601613   0.0596583 0.000355642
           3   0.0589056   0.0594074 0.000313342
           4   0.0593135   0.0593839 0.000235885
           5   0.0595986   0.0594269 0.000192574
           6   0.0578064   0.0591568 0.000294178
           7   0.0585341   0.0590678  0.00026526
           8   0.0599145   0.0591737 0.000252333
           9   0.0599644   0.0592615 0.000239104
          10    0.058125   0.0591479 0.000240695
          11   0.0589588   0.0591307 0.000219427
          12   0.0627457   0.0594319 0.000351637
          13   0.0612504   0.0595718 0.000351312
          14   0.0600938   0.0596091 0.000328191
          15   0.0590589   0.0595724 0.000308354
          16   0.0595576   0.0595715 0.000289083
          17   0.0595634    0.059571 0.000272079
          18    0.059984    0.059594 0.000257929
          19   0.0600396   0.0596174 0.000245417
          20   0.0589983   0.0595865 0.000235091
          21   0.0591394   0.0595652 0.000224858
          22   0.0599699   0.0595836 0.000215388
          23   0.0591048   0.0595628 0.000207027
          24   0.0585287   0.0595197 0.000202835
          25   0.0593735   0.0595138 0.000194806
          26   0.0600933   0.0595361 0.000188584
          27   0.0604249    0.059569  0.00018445
          28    0.060263   0.0595938  0.00017952
          29   0.0619182    0.059674 0.000190384
          30   0.0617576   0.0597434 0.000196298
          31   0.0598738   0.0597476 0.000190011
          32   0.0599717   0.0597546 0.000184202
          33   0.0603524   0.0597727 0.000179509
          34   0.0604529   0.0597927  0.00017534
          35   0.0615687   0.0598435  0.00017752
          36   0.0599496   0.0598464 0.000172614
          37   0.0606914   0.0598693 0.000169453
          38    0.059314   0.0598547 0.000165622
          39   0.0586232   0.0598231 0.000164358
          40   0.0581103   0.0597803 0.000165733
          41   0.0590811   0.0597632 0.000162565
          42   0.0594457   0.0597556  0.00015887
          43   0.0596226   0.0597526 0.000155206
          44   0.0601267   0.0597611 0.000151911
          45   0.0604915   0.0597773   0.0001494
          46   0.0590063   0.0597605 0.000147089
          47   0.0587356   0.0597387 0.000145567
          48   0.0610066   0.0597651 0.000144911
          49   0.0599275   0.0597685 0.000141992
          50    0.059775   0.0597686 0.000139152
          51   0.0606945   0.0597867 0.000137603
          52   0.0597901   0.0597868 0.000134956
          53   0.0607451   0.0598049 0.000133616
          54    0.059571   0.0598006 0.000131212
          55   0.0580691   0.0597691 0.000132549
          56   0.0596454   0.0597669   0.0001302
          57   0.0597883   0.0597672 0.000127916
          58   0.0591367   0.0597564 0.000126172
          59   0.0587868   0.0597399 0.000125099
          60   0.0588209   0.0597246 0.000123948
          61     0.06034   0.0597347 0.000122326
          62   0.0608211   0.0597522 0.000121602
          63   0.0609411   0.0597711 0.000121127
          64    0.060314   0.0597796 0.000119531
          65   0.0599187   0.0597817 0.000117712
          66   0.0587538   0.0597662 0.000116954
          67   0.0593767   0.0597603 0.000115353
          68   0.0590778   0.0597503 0.000114092
          69   0.0593137    0.059744 0.000112614
          70   0.0588091   0.0597306 0.000111794
          71   0.0590533   0.0597211 0.000110626
          72   0.0595564   0.0597188 0.000109113
          73   0.0589113   0.0597077 0.000108178
          74   0.0593305   0.0597026 0.000106836
          75   0.0597756   0.0597036 0.000105416
          76   0.0613084   0.0597247 0.000106123
          77   0.0592298   0.0597183 0.000104939
          78   0.0580843   0.0596973 0.000105664
          79   0.0590982   0.0596898 0.000104598
          80   0.0595039   0.0596874 0.000103316
          81   0.0574952   0.0596604 0.000105526
          82   0.0588152   0.0596501 0.000104742
          83   0.0599753    0.059654 0.000103553
          84   0.0595068   0.0596522 0.000102335
          85   0.0577621     0.05963 0.000103519
          86   0.0579016   0.0596099 0.000104248
          87   0.0592768   0.0596061  0.00010312
          88   0.0613172   0.0596255 0.000103765
          89   0.0596145   0.0596254 0.000102599
          90   0.0590678   0.0596192 0.000101646
          91    0.058407   0.0596059 0.000101398
          92   0.0601316   0.0596116 0.000100457
          93   0.0592609   0.0596078 9.94474e-05
          94   0.0577145   0.0595877 0.000100408
          95   0.0582069   0.0595731 0.000100398
          96   0.0596317   0.0595738  9.9354e-05
          97   0.0589781   0.0595676 9.85193e-05
          98   0.0584671   0.0595564 9.81519e-05
          99   0.0589935   0.0595507  9.7325e-05
         100    0.059851   0.0595537 9.63981e-05
