#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1      1.1858      1.1858           0
           2     1.20452     1.19516  0.00661767
           3     1.17983     1.19005  0.00607138
           4     1.18811     1.18957  0.00457291
           5     1.19393     1.19044   0.0037407
           6     1.15844      1.1851  0.00578141
           7     1.17219     1.18326   0.0052418
           8     1.19888     1.18521   0.0049368
           9      1.2006     1.18692  0.00467483
          10     1.16484     1.18471  0.00470006
          11     1.18131      1.1844  0.00428293
          12     1.25615     1.19038  0.00694125
          13      1.2281     1.19328  0.00698731
          14     1.20358     1.19402   0.0065268
          15     1.18451     1.19338  0.00612239
          16     1.19339     1.19339  0.00573974
          17     1.19395     1.19342   0.0054022
          18     1.20151     1.19387  0.00512075
          19     1.20314     1.19436  0.00487446
          20     1.18199     1.19374  0.00466978
          21     1.18478     1.19331  0.00446683
          22     1.20075     1.19365  0.00427658
          23     1.18376     1.19322  0.00411221
          24     1.17312     1.19238  0.00402522
          25     1.18902     1.19225  0.00386645
          26     1.20393      1.1927  0.00374376
          27     1.21047     1.19336  0.00366251
          28     1.20746     1.19386  0.00356616
          29     1.24055     1.19547   0.0037893
          30     1.23728     1.19686  0.00391085
          31     1.20017     1.19697  0.00378615
          32     1.20118      1.1971  0.00367012
          33     1.20918     1.19747   0.0035771
          34     1.21129     1.19787  0.00349492
          35     1.23252     1.19886  0.00353247
          36     1.20202     1.19895  0.00343543
          37     1.21504     1.19939  0.00336999
          38     1.18797     1.19909  0.00329468
          39     1.17426     1.19845  0.00327114
          40     1.16441      1.1976  0.00329818
          41     1.18301     1.19724  0.00323686
          42      1.1908     1.19709  0.00316342
          43     1.19447     1.19703  0.00309044
          44     1.20469      1.1972   0.0030251
          45     1.21092     1.19751  0.00297319
          46     1.18232     1.19718  0.00292684
          47     1.17742     1.19676   0.0028946
          48     1.22209     1.19728  0.00288202
          49     1.20108     1.19736  0.00282424
          50     1.19757     1.19737  0.00276776
          51      1.2149     1.19771  0.00273476
          52      1.1988     1.19773  0.00268225
          53     1.21649     1.19808   0.0026549
          54      1.1937       1.198  0.00260698
          55      1.1639     1.19738  0.00263226
          56     1.19495     1.19734  0.00258562
          57     1.19647     1.19732   0.0025403
          58     1.18447      1.1971  0.00250616
          59     1.17698     1.19676  0.00248678
          60     1.17851     1.19646  0.00246386
          61     1.20854     1.19666  0.00243142
          62     1.21964     1.19703  0.00242031
          63     1.22076      1.1974  0.00241103
          64     1.20828     1.19757  0.00237935
          65     1.20088     1.19762  0.00234329
          66      1.1766     1.19731  0.00232934
          67     1.18894     1.19718  0.00229792
          68     1.18317     1.19697  0.00227335
          69     1.18753     1.19684  0.00224452
          70     1.17735     1.19656  0.00222965
          71     1.18227     1.19636   0.0022073
          72     1.19293     1.19631  0.00217716
          73     1.18073      1.1961  0.00215778
          74     1.18814     1.19599   0.0021313
          75     1.19716     1.19601  0.00210293
          76     1.22743     1.19642  0.00211553
          77     1.18701      1.1963  0.00209158
          78     1.16334     1.19587  0.00210701
          79      1.1846     1.19573  0.00208517
          80     1.19153     1.19568  0.00205976
          81     1.15293     1.19515  0.00210086
          82     1.17822     1.19494  0.00208537
          83     1.20152     1.19502  0.00206175
          84     1.19049     1.19497  0.00203791
          85      1.1573     1.19453  0.00206155
          86     1.15891     1.19411  0.00207876
          87      1.1876     1.19404  0.00205622
          88     1.22839     1.19443  0.00206957
          89     1.19442     1.19443  0.00204632
          90     1.18356     1.19431  0.00202714
          91     1.16964     1.19404   0.0020229
          92     1.20405     1.19414  0.00200384
          93     1.18672     1.19406  0.00198389
          94     1.15588     1.19366  0.00200393
          95     1.16574     1.19336  0.00200427
          96     1.19427     1.19337  0.00198341
          97     1.18217     1.19326  0.00196633
          98     1.17164     1.19304   0.0019586
          99     1.18184     1.19293  0.00194207
         100     1.19913     1.19299  0.00192364
