#		 BLOCK:	 ACTUAL_TE:		TE_AVE:			ERROR:
           1     1.39208     1.39208           0
           2     1.39208     1.39208 2.07207e-06
           3     1.39216     1.39211 2.27773e-05
           4     1.39212     1.39211 1.75434e-05
           5     1.39228     1.39214 3.30327e-05
           6     1.39226     1.39216 3.27502e-05
           7      1.3922     1.39217 2.84097e-05
           8     1.39219     1.39217 2.49976e-05
           9     1.39236     1.39219  2.9891e-05
          10     1.39218     1.39219 2.69251e-05
          11      1.3921     1.39218 2.58557e-05
          12     1.39223     1.39219  2.3985e-05
          13     1.39232      1.3922 2.42067e-05
          14     1.39228      1.3922 2.32758e-05
          15     1.39234     1.39221 2.34057e-05
          16     1.39221     1.39221 2.19465e-05
          17     1.39221     1.39221 2.06561e-05
          18     1.39218     1.39221 1.95786e-05
          19     1.39211      1.3922 1.92154e-05
          20     1.39226     1.39221 1.84634e-05
          21     1.39212      1.3922    1.81e-05
          22     1.39228     1.39221 1.76183e-05
          23     1.39219     1.39221 1.68701e-05
          24     1.39218      1.3922 1.62042e-05
          25     1.39206      1.3922 1.65754e-05
          26     1.39202     1.39219 1.73668e-05
          27       1.392     1.39218 1.81059e-05
          28     1.39195     1.39218 1.93415e-05
          29     1.39191     1.39217 2.07094e-05
          30     1.39196     1.39216 2.11761e-05
          31     1.39196     1.39215  2.1434e-05
          32      1.3919     1.39215 2.21404e-05
          33     1.39185     1.39214 2.32324e-05
          34     1.39197     1.39213 2.30789e-05
          35     1.39207     1.39213 2.24892e-05
          36     1.39216     1.39213 2.18823e-05
          37     1.39215     1.39213 2.12945e-05
          38     1.39226     1.39214 2.10083e-05
          39     1.39217     1.39214 2.04899e-05
          40     1.39224     1.39214 2.01285e-05
          41     1.39217     1.39214 1.96483e-05
          42      1.3922     1.39214 1.92269e-05
          43     1.39221     1.39214 1.88401e-05
          44     1.39219     1.39214 1.84446e-05
          45     1.39228     1.39215 1.82729e-05
          46     1.39224     1.39215  1.7992e-05
          47       1.392     1.39214 1.78879e-05
          48     1.39196     1.39214 1.79146e-05
          49     1.39198     1.39214  1.7847e-05
          50     1.39197     1.39213 1.77865e-05
          51     1.39198     1.39213 1.76853e-05
          52     1.39201     1.39213 1.75029e-05
          53     1.39203     1.39213  1.7264e-05
          54     1.39214     1.39213  1.6945e-05
          55     1.39221     1.39213 1.67079e-05
          56     1.39211     1.39213 1.64121e-05
          57     1.39216     1.39213 1.61332e-05
          58     1.39214     1.39213 1.58555e-05
          59     1.39215     1.39213 1.55917e-05
          60     1.39214     1.39213 1.53333e-05
          61     1.39198     1.39213 1.52819e-05
          62     1.39215     1.39213 1.50393e-05
          63     1.39226     1.39213 1.49485e-05
          64     1.39217     1.39213 1.47289e-05
          65     1.39214     1.39213 1.45031e-05
          66     1.39219     1.39213 1.43113e-05
          67     1.39204     1.39213   1.416e-05
          68     1.39219     1.39213 1.39763e-05
          69     1.39214     1.39213 1.37743e-05
          70      1.3921     1.39213 1.35843e-05
          71     1.39204     1.39213 1.34503e-05
          72     1.39204     1.39213 1.33155e-05
          73     1.39197     1.39213 1.33037e-05
          74     1.39203     1.39213 1.31864e-05
          75      1.3919     1.39212 1.33455e-05
          76     1.39203     1.39212 1.32228e-05
          77      1.3922     1.39212 1.30859e-05
          78     1.39216     1.39212 1.29276e-05
          79     1.39207     1.39212  1.2783e-05
          80     1.39214     1.39212 1.26253e-05
          81     1.39214     1.39212 1.24715e-05
          82     1.39202     1.39212 1.23836e-05
          83      1.3921     1.39212 1.22367e-05
          84     1.39214     1.39212 1.20928e-05
          85     1.39214     1.39212 1.19519e-05
          86      1.3921     1.39212 1.18161e-05
          87     1.39204     1.39212 1.17192e-05
          88     1.39213     1.39212  1.1587e-05
          89     1.39209     1.39212 1.14613e-05
          90     1.39219     1.39212 1.13588e-05
          91     1.39216     1.39212 1.12414e-05
          92     1.39206     1.39212 1.11407e-05
          93     1.39224     1.39212 1.10929e-05
          94     1.39203     1.39212 1.10174e-05
          95     1.39198     1.39212 1.09967e-05
          96     1.39202     1.39212 1.09301e-05
          97     1.39199     1.39212 1.08918e-05
          98     1.39202     1.39212 1.08258e-05
          99     1.39198     1.39211 1.08009e-05
         100     1.39216     1.39211 1.07023e-05
