#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1      1.1843      1.1843           0
           2      1.0973      1.1408   0.0307568
           3     1.08152     1.12104   0.0260903
           4     1.08859     1.11293   0.0207909
           5     1.09983     1.11031    0.016797
           6     1.09797     1.10825   0.0141228
           7     1.10304     1.10751   0.0121248
           8     1.06816     1.10259   0.0115636
           9     1.07557     1.09959   0.0106614
          10     1.07981     1.09761  0.00977705
          11     1.07558     1.09561  0.00909093
          12     1.09378     1.09545  0.00833462
          13     1.07776     1.09409  0.00780383
          14     1.12678     1.09643  0.00758766
          15     1.11044     1.09736  0.00713912
          16     1.08072     1.09632  0.00676829
          17     1.06798     1.09465  0.00657233
          18      1.0797     1.09382  0.00625952
          19     1.06004     1.09205  0.00617745
          20      1.0911       1.092  0.00586875
          21     1.09293     1.09204  0.00558946
          22     1.08671      1.0918  0.00534064
          23     1.11279     1.09271   0.0051858
          24     1.09133     1.09266  0.00497005
          25     1.08484     1.09234  0.00478108
          26     1.07525     1.09169  0.00464216
          27     1.09247     1.09171  0.00447032
          28     1.09805     1.09194  0.00431638
          29      1.0935     1.09199  0.00416787
          30     1.10135     1.09231   0.0040406
          31     1.09192     1.09229  0.00391028
          32      1.0694     1.09158  0.00385296
          33     1.08801     1.09147  0.00373772
          34     1.09641     1.09162  0.00363062
          35     1.08858     1.09153  0.00352792
          36     1.10917     1.09202  0.00346378
          37      1.0773     1.09162  0.00339293
          38     1.12869      1.0926  0.00344105
          39     1.08578     1.09242  0.00335726
          40     1.12039     1.09312  0.00334532
          41     1.09791     1.09324  0.00326576
          42     1.09721     1.09333  0.00318938
          43     1.06939     1.09278  0.00316342
          44     1.10383     1.09303  0.00310147
          45     1.08046     1.09275   0.0030451
          46     1.04711     1.09176  0.00313639
          47     1.09565     1.09184  0.00307075
          48     1.10238     1.09206  0.00301462
          49     1.09034     1.09202   0.0029533
          50     1.07898     1.09176  0.00290573
          51     1.09204     1.09177  0.00284876
          52     1.08126     1.09157  0.00280113
          53     1.07765      1.0913  0.00276056
          54     1.05846     1.09069  0.00277562
          55     1.10484     1.09095  0.00273704
          56     1.07754     1.09071  0.00269862
          57     1.04556     1.08992  0.00276511
          58     1.11027     1.09027   0.0027396
          59      1.0925     1.09031  0.00269342
          60     1.06577      1.0899  0.00267941
          61     1.09042     1.08991   0.0026355
          62     1.08661     1.08985  0.00259353
          63     1.05845     1.08936  0.00259984
          64     1.07034     1.08906  0.00257615
          65     1.06585      1.0887  0.00256115
          66     1.09063     1.08873  0.00252251
          67     1.05914     1.08829  0.00252322
          68     1.08989     1.08831  0.00248623
          69     1.07998     1.08819  0.00245312
          70     1.09431     1.08828  0.00241963
          71     1.07866     1.08814  0.00238934
          72     1.05823     1.08773  0.00239202
          73     1.09251     1.08779  0.00236014
          74     1.09898     1.08795  0.00233309
          75     1.07543     1.08778  0.00230795
          76     1.05615     1.08736   0.0023148
          77      1.0933     1.08744  0.00228602
          78      1.0524     1.08699  0.00230044
          79     1.06182     1.08667  0.00229327
          80      1.1035     1.08688  0.00227423
          81     1.07835     1.08678  0.00224859
          82     1.07444     1.08663   0.0022262
          83     1.09147     1.08668  0.00220014
          84     1.08853     1.08671  0.00217406
          85     1.08338     1.08667  0.00214883
          86      1.0908     1.08672  0.00212439
          87     1.10579     1.08693  0.00211125
          88     1.11301     1.08723  0.00210794
          89     1.04021      1.0867  0.00214946
          90     1.06417     1.08645  0.00214011
          91     1.07148     1.08629   0.0021229
          92     1.07408     1.08616  0.00210397
          93     1.12597     1.08658  0.00212447
          94     1.06941      1.0864  0.00210971
          95     1.06558     1.08618  0.00209886
          96     1.07359     1.08605  0.00208109
          97     1.09041      1.0861  0.00206012
          98     1.08202     1.08605  0.00203951
          99     1.09895     1.08618  0.00202307
         100     1.09471     1.08627  0.00200463
         101     1.10591     1.08646   0.0019942
         102     1.10108     1.08661  0.00197979
         103     1.07838     1.08653  0.00196218
         104     1.06289      1.0863  0.00195642
         105     1.08306     1.08627  0.00193803
         106     1.09558     1.08636  0.00192174
         107     1.12457     1.08671  0.00193668
         108     1.07924     1.08664  0.00191998
         109     1.10142     1.08678  0.00190714
         110     1.10067     1.08691  0.00189398
         111     1.09498     1.08698  0.00187832
         112     1.08979       1.087  0.00186171
         113     1.08863     1.08702  0.00184529
         114     1.09512     1.08709  0.00183047
         115     1.09754     1.08718  0.00181681
         116     1.10475     1.08733  0.00180745
         117     1.06933     1.08718  0.00179854
         118     1.12632     1.08751  0.00181363
         119     1.11453     1.08774  0.00181254
         120     1.10792     1.08791  0.00180522
         121     1.08226     1.08786   0.0017909
         122     1.08649     1.08785  0.00177626
         123     1.09556     1.08791  0.00176292
         124     1.10015     1.08801  0.00175147
         125     1.06841     1.08785  0.00174446
         126     1.09325     1.08789  0.00173115
         127     1.09862     1.08798  0.00171957
         128     1.08624     1.08797  0.00170619
         129     1.08671     1.08796  0.00169299
         130     1.11852     1.08819  0.00169622
         131      1.0901     1.08821  0.00168333
         132     1.09825     1.08828   0.0016723
         133     1.09179     1.08831  0.00165993
         134     1.07798     1.08823  0.00164933
         135     1.08924     1.08824  0.00163713
         136     1.11551     1.08844  0.00163732
         137     1.04144      1.0881  0.00166093
         138     1.10142     1.08819  0.00165169
         139     1.08731     1.08819  0.00163982
         140     1.09688     1.08825  0.00162929
         141     1.09374     1.08829   0.0016182
         142     1.09296     1.08832  0.00160714
         143     1.08599      1.0883  0.00159598
         144     1.11083     1.08846  0.00159254
         145     1.10261     1.08856  0.00158455
         146     1.09784     1.08862  0.00157497
         147     1.06666     1.08847  0.00157132
         148     1.08878     1.08847   0.0015607
         149     1.08974     1.08848  0.00155025
         150     1.05368     1.08825  0.00155719
         151     1.09385     1.08829  0.00154732
         152     1.07768     1.08822  0.00153871
         153      1.1049     1.08833  0.00153251
         154     1.09391     1.08836  0.00152299
         155     1.09684     1.08842  0.00151415
         156     1.07229     1.08831  0.00150797
         157     1.09018     1.08833  0.00149841
         158     1.06399     1.08817  0.00149682
         159     1.07953     1.08812  0.00148839
         160     1.09726     1.08817  0.00148019
         161     1.10174     1.08826  0.00147339
         162     1.09569      1.0883  0.00146501
         163     1.08535     1.08829  0.00145613
         164     1.06408     1.08814  0.00145472
         165     1.06344     1.08799  0.00145358
         166     1.08419     1.08797  0.00144501
         167      1.1012     1.08805  0.00143852
         168     1.10673     1.08816  0.00143425
         169     1.09539      1.0882   0.0014264
         170     1.06492     1.08806  0.00142457
         171      1.0626     1.08791    0.001424
