#		 BLOCK:	 ACTUAL_KE:		KE_AVE:			ERROR:
           1     1.65043     1.65043           0
           2     1.63886     1.64465   0.0040917
           3     1.67906     1.65612  0.00975374
           4     1.68264     1.66275  0.00929972
           5     1.60076     1.65035   0.0133537
           6     1.67574     1.65458   0.0117797
           7      1.6444     1.65313   0.0101864
           8     1.64502     1.65211   0.0089634
           9     1.60943     1.64737  0.00913625
          10     1.64699     1.64733   0.0082227
          11     1.67758     1.65008  0.00792178
          12     1.65126     1.65018  0.00726223
          13     1.59783     1.64615  0.00773982
          14     1.60551     1.64325  0.00771215
          15     1.58532     1.63939  0.00810756
          16       1.632     1.63893  0.00761396
          17     1.62529     1.63813  0.00720821
          18     1.64288     1.63839   0.0068126
          19     1.64614      1.6388  0.00646623
          20     1.66154     1.63993   0.0062421
          21     1.68767     1.64221  0.00634524
          22     1.64766     1.64246  0.00606165
          23     1.64509     1.64257  0.00579918
          24     1.66822     1.64364  0.00565514
          25     1.63146     1.64315  0.00544988
          26     1.66911     1.64415  0.00533093
          27     1.62561     1.64346  0.00517754
          28     1.63919     1.64331  0.00499488
          29     1.66918      1.6442  0.00490164
          30     1.63722     1.64397  0.00474377
          31     1.60751     1.64279   0.0047343
          32     1.64589     1.64289  0.00458734
          33     1.66193     1.64347  0.00448445
          34     1.67956     1.64453  0.00447643
          35     1.63508     1.64426  0.00435667
          36     1.66228     1.64476  0.00426433
          37     1.62344     1.64418  0.00418781
          38     1.67979     1.64512  0.00418112
          39     1.65136     1.64528  0.00407698
          40     1.65649     1.64556  0.00398467
          41     1.63772     1.64537  0.00389207
          42     1.66164     1.64576  0.00381863
          43     1.64352      1.6457  0.00373018
          44     1.61697     1.64505  0.00370211
          45     1.66723     1.64554  0.00365251
          46     1.64566     1.64555   0.0035731
          47      1.6877     1.64644  0.00360787
          48      1.6384     1.64628   0.0035366
          49     1.65342     1.64642  0.00346742
          50     1.62224     1.64594  0.00343164
          51     1.61499     1.64533  0.00341757
          52     1.66799     1.64577  0.00337951
          53     1.64479     1.64575   0.0033158
          54     1.66877     1.64618  0.00328169
          55     1.61622     1.64563  0.00326692
          56     1.66567     1.64599  0.00322813
          57     1.63661     1.64582  0.00317569
          58     1.68357     1.64647  0.00318692
          59     1.63323     1.64625   0.0031408
          60     1.64401     1.64621  0.00308868
          61     1.65787      1.6464  0.00304395
          62     1.68677     1.64705  0.00306368
          63     1.65535     1.64719  0.00301788
          64     1.61291     1.64665  0.00301786
          65     1.64145     1.64657  0.00297249
          66     1.60051     1.64587  0.00300827
          67       1.683     1.64643  0.00301397
          68      1.6509     1.64649  0.00297036
          69       1.657     1.64665  0.00293122
          70     1.63644      1.6465  0.00289297
          71     1.65061     1.64656   0.0028528
          72      1.6105     1.64606   0.0028568
          73      1.6458     1.64605  0.00281767
          74     1.69169     1.64667   0.0028463
          75     1.64849     1.64669  0.00280845
          76     1.65481      1.6468  0.00277353
          77     1.58697     1.64602  0.00284426
          78     1.72288     1.64701  0.00297358
          79     1.64217     1.64695  0.00293657
          80     1.66487     1.64717   0.0029084
          81     1.66773     1.64743  0.00288355
          82      1.6524     1.64749  0.00284902
          83     1.65313     1.64755  0.00281551
          84     1.64135     1.64748  0.00278296
          85     1.66215     1.64765  0.00275556
          86     1.61341     1.64725  0.00275213
          87     1.67545     1.64758  0.00273951
          88     1.67586      1.6479  0.00272717
          89     1.62385     1.64763  0.00270989
          90     1.67701     1.64796  0.00269937
          91     1.66853     1.64818  0.00267916
          92     1.58455     1.64749  0.00273785
          93     1.58117     1.64678  0.00279976
          94     1.64257     1.64673  0.00277033
          95     1.60628     1.64631   0.0027737
          96     1.64902     1.64634  0.00274496
          97     1.64693     1.64634  0.00271666
          98     1.66172      1.6465  0.00269347
          99     1.69726     1.64701  0.00271463
         100     1.64435     1.64698  0.00268761
