#		 BLOCK:	ACTUAL_PE:		 PE_AVE:			ERROR:
           1    -5.02715    -5.02715           0
           2    -5.01386    -5.02051  0.00469976
           3    -5.05712    -5.03271   0.0104472
           4    -5.06545     -5.0409   0.0105653
           5    -4.98065    -5.02885   0.0136958
           6    -5.05448    -5.03312   0.0120613
           7    -5.02548    -5.03203   0.0103875
           8    -5.02558    -5.03122  0.00912027
           9    -4.99012    -5.02666  0.00917967
          10    -5.02608     -5.0266  0.00826189
          11    -5.05709    -5.02937  0.00796229
          12    -5.03088     -5.0295  0.00729977
          13    -4.97702    -5.02546   0.0077745
          14     -4.9834    -5.02246  0.00777788
          15    -4.96238    -5.01845  0.00822628
          16    -5.00815    -5.01781  0.00773729
          17    -5.00315    -5.01694  0.00733003
          18    -5.01964    -5.01709  0.00692434
          19    -5.02462    -5.01749  0.00657122
          20    -5.03953    -5.01859  0.00633436
          21    -5.06916      -5.021  0.00647434
          22    -5.02542     -5.0212  0.00618317
          23    -5.02475    -5.02136  0.00591626
          24    -5.04623    -5.02239  0.00575981
          25    -5.00868    -5.02184  0.00555549
          26    -5.04842    -5.02287  0.00543502
          27    -5.00423    -5.02218  0.00527735
          28    -5.01907    -5.02206  0.00509004
          29    -5.04754    -5.02294  0.00498975
          30    -5.01337    -5.02262  0.00483362
          31    -4.98568    -5.02143  0.00482236
          32    -5.02387    -5.02151  0.00467226
          33    -5.04119     -5.0221  0.00456859
          34    -5.06006    -5.02322  0.00456857
          35    -5.01596    -5.02301  0.00444274
          36    -5.04481    -5.02362  0.00436041
          37    -5.00048    -5.02299  0.00428717
          38    -5.05655    -5.02388  0.00426432
          39    -5.02979    -5.02403  0.00415767
          40    -5.03188    -5.02422  0.00405835
          41    -5.01418    -5.02398  0.00396675
          42    -5.04191    -5.02441   0.0038952
          43    -5.02203    -5.02435  0.00380501
          44    -4.99708    -5.02373  0.00376868
          45    -5.04425    -5.02419  0.00371241
          46    -5.02385    -5.02418  0.00363171
          47    -5.06755     -5.0251  0.00366979
          48    -5.01762    -5.02495  0.00359665
          49    -5.03383    -5.02513  0.00352781
          50    -5.00027    -5.02463  0.00349212
          51    -4.99174    -5.02399   0.0034827
          52    -5.04826    -5.02445  0.00344686
          53    -5.02376    -5.02444  0.00338185
          54    -5.04763    -5.02487  0.00334639
          55    -4.99378     -5.0243  0.00333294
          56    -5.04278    -5.02463  0.00328971
          57    -5.01422    -5.02445  0.00323706
          58    -5.06013    -5.02507  0.00323918
          59    -5.00964    -5.02481  0.00319481
          60    -5.02205    -5.02476   0.0031419
          61    -5.03652    -5.02495   0.0030963
          62    -5.06703    -5.02563  0.00311984
          63    -5.03644     -5.0258  0.00307503
          64    -4.99063    -5.02525  0.00307569
          65    -5.02055    -5.02518  0.00302923
          66    -4.97876    -5.02448  0.00306388
          67    -5.06371    -5.02506   0.0030736
          68    -5.02709    -5.02509  0.00302855
          69    -5.03634    -5.02526  0.00298904
          70    -5.01574    -5.02512  0.00294943
          71    -5.02861    -5.02517   0.0029083
          72    -4.98965    -5.02468  0.00290944
          73    -5.02229    -5.02464  0.00286977
          74    -5.06586     -5.0252  0.00288452
          75    -5.02529     -5.0252  0.00284606
          76    -5.03269     -5.0253  0.00281032
          77     -4.9631    -5.02449  0.00288757
          78     -5.1036    -5.02551  0.00302344
          79    -5.02104    -5.02545   0.0029857
          80     -5.0425    -5.02566  0.00295597
          81    -5.04665    -5.02592  0.00293082
          82      -5.032      -5.026  0.00289601
          83    -5.03179    -5.02607  0.00286196
          84    -5.01967    -5.02599   0.0028289
          85    -5.04041    -5.02616  0.00280071
          86    -4.99049    -5.02574  0.00279868
          87    -5.05428    -5.02607  0.00278567
          88    -5.05365    -5.02639  0.00277158
          89     -5.0045    -5.02614  0.00275132
          90    -5.05593    -5.02647   0.0027406
          91    -5.04886    -5.02672   0.0027215
          92    -4.96277    -5.02602  0.00277925
          93    -4.95709    -5.02528  0.00284649
          94    -5.02078    -5.02523  0.00281661
          95    -4.98218    -5.02478  0.00282318
          96    -5.02774    -5.02481  0.00279394
          97    -5.02434    -5.02481  0.00276514
          98    -5.04299    -5.02499  0.00274315
          99    -5.07499     -5.0255  0.00276153
         100    -5.02277    -5.02547  0.00273405
