#		 BLOCK:	 ACTUAL_P:		 P_AVE:			 ERROR:
           1    0.891742    0.891742           0
           2    0.886878     0.88931  0.00171979
           3    0.906162    0.894927  0.00472753
           4    0.907062    0.897961   0.0044129
           5    0.866984    0.891766  0.00657035
           6    0.904415    0.893874  0.00580366
           7    0.887885    0.893018  0.00503722
           8    0.887868    0.892374  0.00444853
           9      0.8705    0.889944  0.00457021
          10    0.889543    0.889904  0.00411337
          11    0.905914    0.891359  0.00398863
          12    0.892794    0.891479  0.00365804
          13     0.86644    0.889553  0.00385048
          14    0.868731    0.888066  0.00385198
          15     0.86169    0.886307  0.00397631
          16    0.882491    0.886069  0.00373494
          17    0.879588    0.885688  0.00353464
          18    0.888465    0.885842  0.00334163
          19    0.889845    0.886053  0.00317239
          20    0.896725    0.886586  0.00305833
          21    0.908817    0.887645  0.00309048
          22    0.890733    0.887785  0.00295319
          23    0.889358    0.887854  0.00282558
          24    0.900218    0.888369  0.00275441
          25    0.882735    0.888143  0.00265344
          26     0.89958    0.888583  0.00258758
          27     0.87856    0.888212  0.00251823
          28     0.88555    0.888117  0.00243009
          29    0.899785    0.888519  0.00237937
          30    0.885297    0.888412  0.00230248
          31    0.871003     0.88785  0.00229567
          32    0.889463    0.887901  0.00222448
          33     0.89744     0.88819  0.00217578
          34    0.905128    0.888688  0.00216807
          35    0.883957    0.888553  0.00211033
          36    0.897711    0.888807  0.00206699
          37     0.87997    0.888568  0.00202488
          38    0.905877    0.889024  0.00202217
          39    0.891117    0.889077  0.00197104
          40    0.894565    0.889215  0.00192653
          41    0.886013    0.889137  0.00188112
          42    0.897153    0.889327  0.00184599
          43    0.888829    0.889316   0.0018031
          44    0.874181    0.888972  0.00179463
          45     0.90037    0.889225  0.00177253
          46    0.888827    0.889216  0.00173402
          47    0.908898    0.889635  0.00174696
          48    0.885352    0.889546  0.00171284
          49    0.893463    0.889626  0.00167975
          50    0.877059    0.889375  0.00166485
          51    0.874177    0.889077  0.00165866
          52    0.900317    0.889293  0.00164079
          53    0.888754    0.889283  0.00160986
          54    0.900487     0.88949  0.00159337
          55    0.874955    0.889226  0.00158616
          56    0.898784    0.889397  0.00156699
          57    0.884581    0.889312  0.00154178
          58    0.908674    0.889646  0.00155091
          59     0.88321    0.889537  0.00152846
          60    0.889204    0.889531    0.001503
          61    0.896199    0.889641  0.00148233
          62    0.909339    0.889958  0.00149208
          63     0.89353    0.890015  0.00146947
          64    0.872888    0.889747  0.00147068
          65    0.887591    0.889714  0.00144842
          66    0.867027     0.88937   0.0014667
          67    0.907002    0.889634  0.00146823
          68    0.891974    0.889668  0.00144704
          69    0.895339     0.88975   0.0014284
          70    0.883871    0.889666  0.00141046
          71    0.891117    0.889687  0.00139074
          72    0.871227     0.88943  0.00139486
          73    0.890679    0.889447  0.00137586
          74    0.911929    0.889751   0.0013904
          75      0.8915    0.889775  0.00137206
          76    0.894679    0.889839  0.00135552
          77    0.860804    0.889462  0.00138938
          78     0.92754     0.88995   0.0014548
          79    0.886135    0.889902  0.00143719
          80    0.898091    0.890004  0.00142286
          81    0.899402     0.89012  0.00141002
          82    0.892314    0.890147  0.00139308
          83    0.891556    0.890164   0.0013764
          84    0.886518    0.890121   0.0013607
          85    0.898092    0.890214  0.00134792
          86    0.872981    0.890014  0.00134706
          87     0.90405    0.890175   0.0013412
          88    0.903828     0.89033   0.0013349
          89    0.877288    0.890184  0.00132792
          90    0.904799    0.890346  0.00132306
          91    0.900291    0.890456  0.00131302
          92     0.85898    0.890113  0.00134258
          93    0.858338    0.889772  0.00137094
          94    0.888685     0.88976   0.0013564
          95    0.870395    0.889556  0.00135735
          96    0.891791     0.88958  0.00134341
          97    0.891771    0.889602  0.00132975
          98    0.896753    0.889675  0.00131819
          99    0.914224    0.889923  0.00132799
         100    0.887656      0.8899   0.0013149
