#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1     1.10029     1.10029           0
           2     1.09257     1.09643   0.0027278
           3     1.11937     1.10408  0.00650249
           4     1.12176      1.1085  0.00619981
           5     1.06717     1.10023  0.00890245
           6     1.11716     1.10305  0.00785316
           7     1.09626     1.10208  0.00679093
           8     1.09668     1.10141   0.0059756
           9     1.07295     1.09825  0.00609083
          10     1.09799     1.09822   0.0054818
          11     1.11839     1.10006  0.00528118
          12     1.10084     1.10012  0.00484149
          13     1.06522     1.09744  0.00515988
          14     1.07034      1.0955  0.00514143
          15     1.05688     1.09293  0.00540504
          16       1.088     1.09262  0.00507597
          17     1.08353     1.09208  0.00480548
          18     1.09525     1.09226  0.00454173
          19     1.09742     1.09253  0.00431082
          20     1.10769     1.09329   0.0041614
          21     1.12511      1.0948  0.00423016
          22     1.09844     1.09497   0.0040411
          23     1.09673     1.09505  0.00386612
          24     1.11214     1.09576   0.0037701
          25     1.08764     1.09543  0.00363326
          26     1.11274      1.0961  0.00355396
          27     1.08374     1.09564   0.0034517
          28     1.09279     1.09554  0.00332992
          29     1.11278     1.09613  0.00326776
          30     1.09148     1.09598  0.00316251
          31     1.07167      1.0952   0.0031562
          32     1.09726     1.09526  0.00305823
          33     1.10795     1.09564  0.00298963
          34     1.11971     1.09635  0.00298429
          35     1.09005     1.09617  0.00290445
          36     1.10819     1.09651  0.00284289
          37      1.0823     1.09612  0.00279187
          38     1.11986     1.09675  0.00278741
          39     1.10091     1.09685  0.00271798
          40     1.10433     1.09704  0.00265645
          41     1.09181     1.09691  0.00259471
          42     1.10776     1.09717  0.00254575
          43     1.09568     1.09714  0.00248679
          44     1.07798      1.0967  0.00246808
          45     1.11149     1.09703    0.002435
          46     1.09711     1.09703  0.00238207
          47     1.12513     1.09763  0.00240525
          48     1.09227     1.09752  0.00235773
          49     1.10228     1.09761  0.00231161
          50     1.08149     1.09729  0.00228776
          51     1.07666     1.09689  0.00227838
          52     1.11199     1.09718  0.00225301
          53     1.09652     1.09717  0.00221053
          54     1.11251     1.09745  0.00218779
          55     1.07748     1.09709  0.00217795
          56     1.11045     1.09733  0.00215209
          57     1.09107     1.09722  0.00211713
          58     1.12238     1.09765  0.00212461
          59     1.08882      1.0975  0.00209387
          60     1.09601     1.09748  0.00205912
          61     1.10525      1.0976   0.0020293
          62     1.12451     1.09804  0.00204245
          63     1.10357     1.09812  0.00201192
          64     1.07527     1.09777  0.00201191
          65      1.0943     1.09771  0.00198166
          66     1.06701     1.09725  0.00200552
          67       1.122     1.09762  0.00200931
          68      1.1006     1.09766  0.00198024
          69     1.10467     1.09776  0.00195414
          70     1.09096     1.09767  0.00192865
          71     1.10041      1.0977  0.00190187
          72     1.07367     1.09737  0.00190453
          73      1.0972     1.09737  0.00187845
          74      1.1278     1.09778  0.00189753
          75     1.09899      1.0978   0.0018723
          76     1.10321     1.09787  0.00184902
          77     1.05798     1.09735  0.00189617
          78     1.14859     1.09801  0.00198239
          79     1.09478     1.09797  0.00195771
          80     1.10991     1.09811  0.00193893
          81     1.11182     1.09828  0.00192236
          82      1.1016     1.09832  0.00189935
          83     1.10209     1.09837    0.001877
          84     1.09424     1.09832   0.0018553
          85      1.1081     1.09844  0.00183704
          86     1.07561     1.09817  0.00183476
          87     1.11696     1.09839  0.00182634
          88     1.11724      1.0986  0.00181811
          89     1.08256     1.09842  0.00180659
          90     1.11801     1.09864  0.00179958
          91     1.11235     1.09879  0.00178611
          92     1.05637     1.09833  0.00182524
          93     1.05411     1.09785   0.0018665
          94     1.09505     1.09782  0.00184689
          95     1.07085     1.09754  0.00184914
          96     1.09935     1.09756  0.00182997
          97     1.09795     1.09756  0.00181111
          98     1.10781     1.09767  0.00179565
          99     1.13151     1.09801  0.00180975
         100     1.09623     1.09799  0.00179174
