#		 BLOCK:	 ACTUAL_TE:		TE_AVE:			ERROR:
           1    -3.37672    -3.37672           0
           2      -3.375    -3.37586 0.000608059
           3    -3.37807     -3.3766 0.000725591
           4    -3.38281    -3.37815  0.00145125
           5     -3.3799     -3.3785  0.00120235
           6    -3.37874    -3.37854  0.00100263
           7    -3.38109     -3.3789 0.000923033
           8    -3.38057    -3.37911 0.000830809
           9    -3.38068    -3.37929 0.000756653
          10    -3.37909    -3.37927 0.000681249
          11    -3.37951    -3.37929 0.000619668
          12    -3.37963    -3.37932 0.000568667
          13    -3.37919    -3.37931 0.000525007
          14    -3.37789     -3.3792 0.000497141
          15    -3.37706    -3.37906 0.000484211
          16    -3.37615    -3.37888 0.000487027
          17    -3.37786    -3.37882 0.000462061
          18    -3.37676    -3.37871 0.000450294
          19    -3.37848    -3.37869 0.000426747
          20    -3.37799    -3.37866 0.000406869
          21     -3.3815    -3.37879 0.000409335
          22    -3.37776    -3.37875 0.000393389
          23    -3.37966    -3.37879 0.000378268
          24    -3.37801    -3.37875 0.000363871
          25    -3.37722    -3.37869 0.000354468
          26    -3.37931    -3.37872 0.000341626
          27    -3.37863    -3.37871 0.000328988
          28    -3.37988    -3.37875 0.000319852
          29    -3.37836    -3.37874 0.000309106
          30    -3.37615    -3.37865 0.000310645
          31    -3.37817    -3.37864 0.000301014
          32    -3.37798    -3.37862 0.000292309
          33    -3.37927    -3.37864 0.000284109
          34     -3.3805    -3.37869 0.000280984
          35    -3.38089    -3.37876  0.00027985
          36    -3.38253    -3.37886 0.000291043
          37    -3.37704    -3.37881 0.000287321
          38    -3.37676    -3.37876 0.000284788
          39    -3.37842    -3.37875 0.000277613
          40    -3.37538    -3.37866 0.000283123
          41    -3.37646    -3.37861 0.000281266
          42    -3.38027    -3.37865 0.000277325
          43    -3.37851    -3.37865 0.000270896
          44     -3.3801    -3.37868 0.000266755
          45    -3.37702    -3.37864  0.00026338
          46    -3.37819    -3.37863 0.000257837
          47    -3.37985    -3.37866 0.000253653
          48    -3.37922    -3.37867 0.000248636
          49    -3.38041    -3.37871 0.000246083
          50    -3.37803    -3.37869 0.000241533
          51    -3.37674    -3.37865 0.000239801
          52    -3.38027    -3.37869 0.000237191
          53    -3.37898    -3.37869 0.000232779
          54    -3.37886    -3.37869  0.00022849
          55    -3.37756    -3.37867 0.000225257
          56     -3.3771    -3.37865 0.000222976
          57    -3.37762    -3.37863 0.000219792
          58    -3.37657    -3.37859 0.000218857
          59    -3.37642    -3.37856 0.000218236
          60    -3.37804    -3.37855 0.000214766
          61    -3.37866    -3.37855 0.000211253
          62    -3.38026    -3.37858 0.000209636
          63    -3.38109    -3.37862 0.000210072
          64    -3.37772     -3.3786 0.000207255
          65     -3.3791    -3.37861 0.000204207
          66    -3.37826     -3.3786 0.000201183
          67    -3.38072    -3.37864 0.000200636
          68    -3.37619     -3.3786 0.000200883
          69    -3.37934    -3.37861 0.000198258
          70     -3.3793    -3.37862  0.00019567
          71      -3.378    -3.37861 0.000193112
          72    -3.37916    -3.37862 0.000190577
          73    -3.37649    -3.37859 0.000190182
          74    -3.37416    -3.37853 0.000196805
          75    -3.37681    -3.37851 0.000195517
          76    -3.37787     -3.3785 0.000193122
          77    -3.37613    -3.37847  0.00019305
          78    -3.38072     -3.3785  0.00019273
          79    -3.37887     -3.3785 0.000190348
          80    -3.37762    -3.37849 0.000188284
          81    -3.37892     -3.3785 0.000186035
          82     -3.3796    -3.37851  0.00018425
          83    -3.37866    -3.37851 0.000182038
          84    -3.37832    -3.37851 0.000179886
          85    -3.37826    -3.37851 0.000177793
          86    -3.37708    -3.37849   0.0001765
          87    -3.37883    -3.37849 0.000174516
          88    -3.37778    -3.37849  0.00017272
          89    -3.38065    -3.37851 0.000172491
          90    -3.37892    -3.37851 0.000170635
          91    -3.38032    -3.37853 0.000169915
          92    -3.37822    -3.37853 0.000168103
          93    -3.37592     -3.3785 0.000168616
          94    -3.37821     -3.3785  0.00016685
          95     -3.3759    -3.37847 0.000167317
          96    -3.37871    -3.37847 0.000165593
          97    -3.37741    -3.37846 0.000164246
          98    -3.38127    -3.37849 0.000165051
          99    -3.37773    -3.37848 0.000163564
         100    -3.37842    -3.37848  0.00016193
