#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1    0.807973    0.807973           0
           2    0.814928     0.81145  0.00245886
           3    0.815656    0.812852  0.00199932
           4    0.816301    0.813715  0.00167515
           5    0.822005    0.815373  0.00199885
           6    0.810493    0.814559  0.00182366
           7    0.815201    0.814651  0.00156544
           8    0.808047    0.813826  0.00157245
           9    0.822138    0.814749  0.00164678
          10    0.815312    0.814806  0.00148307
          11    0.812915    0.814634  0.00135817
          12    0.814581    0.814629  0.00124499
          13    0.821708    0.815174  0.00126271
          14    0.811178    0.814888  0.00120434
          15    0.815855    0.814953  0.00112577
          16    0.822876    0.815448  0.00115922
          17    0.809145    0.815077   0.0011488
          18    0.814376    0.815038  0.00108563
          19    0.818224    0.815206  0.00104136
          20    0.820038    0.815448  0.00101694
          21    0.814908    0.815422 0.000968837
          22    0.814587    0.815384 0.000925542
          23    0.815294     0.81538 0.000885309
          24    0.815028    0.815365 0.000848542
          25    0.815933    0.815388 0.000814905
          26    0.813947    0.815333 0.000785446
          27    0.816197    0.815365 0.000757007
          28    0.814813    0.815345 0.000730228
          29    0.822496    0.815592 0.000745525
          30    0.798765    0.815031 0.000907465
          31    0.817461    0.815109 0.000881573
          32    0.813607    0.815062 0.000855272
          33     0.81259    0.814987 0.000832631
          34    0.812744    0.814921 0.000810752
          35    0.810613    0.814798 0.000796879
          36    0.812074    0.814723 0.000778328
          37    0.813805    0.814698 0.000757687
          38    0.808418    0.814532 0.000755555
          39    0.814703    0.814537 0.000736195
          40    0.817832    0.814619 0.000722385
          41    0.819448    0.814737 0.000714302
          42    0.810757    0.814642 0.000703552
          43    0.810756    0.814552 0.000692971
          44    0.818632    0.814645 0.000683397
          45    0.805204    0.814435 0.000699672
          46    0.823067    0.814622 0.000709182
          47    0.810264     0.81453 0.000700131
          48    0.817758    0.814597 0.000688767
          49    0.815067    0.814607 0.000674777
          50    0.818245    0.814679 0.000665194
          51    0.813512    0.814656 0.000652545
          52     0.81864    0.814733 0.000644477
          53    0.800836    0.814471 0.000683579
          54    0.818926    0.814553 0.000675881
          55    0.817937    0.814615 0.000666387
          56    0.809101    0.814516 0.000661721
          57    0.814858    0.814522 0.000650139
          58    0.813405    0.814503 0.000639215
          59    0.828433    0.814739 0.000670569
          60     0.81375    0.814723 0.000659596
          61    0.811084    0.814663 0.000651475
          62    0.821269     0.81477 0.000649623
          63    0.814507    0.814765 0.000639325
          64    0.813082    0.814739 0.000629876
          65    0.808471    0.814643 0.000627524
          66    0.808856    0.814555 0.000624111
          67    0.823102    0.814683 0.000627699
          68     0.81396    0.814672 0.000618558
          69    0.813592    0.814656 0.000609791
          70    0.811269    0.814608 0.000602996
          71     0.81141    0.814563 0.000596183
          72    0.815879    0.814581 0.000588182
          73    0.815015    0.814587 0.000580155
          74    0.817571    0.814627 0.000573715
          75    0.814342    0.814624 0.000566078
          76    0.814054    0.814616 0.000558679
          77    0.822226    0.814715 0.000560097
          78    0.810345    0.814659 0.000555712
          79     0.82364    0.814773 0.000560184
          80    0.810017    0.814713 0.000556328
          81    0.820448    0.814784 0.000553947
          82    0.819837    0.814846 0.000550608
          83    0.808232    0.814766  0.00054971
          84    0.820489    0.814834 0.000547372
          85    0.814842    0.814834 0.000540932
          86    0.819297    0.814886 0.000537126
          87    0.814431    0.814881 0.000530977
          88    0.812078    0.814849 0.000525898
          89    0.822309    0.814933 0.000526627
          90    0.810575    0.814884 0.000522997
          91     0.81894    0.814929 0.000519145
          92    0.815339    0.814933 0.000513522
          93    0.818932    0.814976 0.000509796
          94    0.807249    0.814894 0.000510959
          95    0.819661    0.814944 0.000508038
          96    0.811001    0.814903 0.000504404
          97    0.815341    0.814908 0.000499224
          98    0.816139     0.81492 0.000494288
          99    0.810109    0.814872 0.000491678
         100     0.82128    0.814936  0.00049092
         101    0.821689    0.815003 0.000490592
         102    0.804524      0.8149 0.000496423
         103    0.819663    0.814946 0.000493752
         104    0.813112    0.814929 0.000489319
         105    0.816193    0.814941 0.000484807
         106    0.822655    0.815013 0.000485665
         107    0.813535       0.815 0.000481322
         108    0.817955    0.815027 0.000477643
         109    0.812672    0.815005 0.000473749
         110    0.814755    0.815003 0.000469448
         111    0.812353    0.814979 0.000465825
         112    0.818932    0.815014 0.000463001
         113    0.809684    0.814967 0.000461301
         114    0.823929    0.815046 0.000463903
         115    0.814139    0.815038 0.000459936
         116    0.815467    0.815042 0.000455986
         117    0.816766    0.815056 0.000452327
         118    0.810457    0.815017  0.00045017
         119    0.824773    0.815099  0.00045379
         120      0.8096    0.815054 0.000452317
         121    0.815025    0.815053 0.000448578
         122     0.81781    0.815076  0.00044547
         123    0.809077    0.815027 0.000444511
         124    0.820496    0.815071 0.000443108
         125    0.814381    0.815066 0.000439598
         126    0.814245    0.815059 0.000436157
         127     0.81279    0.815041 0.000433089
         128    0.820194    0.815082 0.000431572
         129    0.817094    0.815097 0.000428509
         130    0.812109    0.815074 0.000425828
         131    0.821051     0.81512 0.000425015
         132    0.811563    0.815093 0.000422648
         133    0.823113    0.815153  0.00042375
         134    0.818399    0.815177  0.00042128
         135    0.809827    0.815138  0.00042002
         136    0.805619    0.815068 0.000422723
         137    0.821324    0.815114 0.000422097
         138    0.816118    0.815121 0.000419101
         139    0.818423    0.815145 0.000416758
         140    0.814586    0.815141 0.000413801
         141    0.806308    0.815078  0.00041558
         142    0.822279    0.815129 0.000415736
         143    0.809462    0.815089 0.000414713
         144    0.811997    0.815068 0.000412388
         145    0.821125    0.815109 0.000411655
         146    0.812113    0.815089 0.000409346
         147    0.811987    0.815068 0.000407105
         148     0.82509    0.815135 0.000409948
         149    0.813879    0.815127 0.000407283
         150    0.813661    0.815117 0.000404685
         151    0.812721    0.815101 0.000402316
         152    0.812602    0.815085 0.000400005
         153    0.814709    0.815082 0.000397398
         154    0.808714    0.815041 0.000396964
         155    0.817132    0.815055 0.000394632
         156    0.822905    0.815105 0.000395298
         157    0.815981     0.81511 0.000392819
         158    0.811868     0.81509 0.000390869
         159    0.817012    0.815102 0.000388597
         160    0.813642    0.815093 0.000386276
         161     0.81491    0.815092 0.000383878
         162    0.817571    0.815107 0.000381813
         163    0.812869    0.815093 0.000379718
         164    0.815837    0.815098 0.000377429
         165    0.811946    0.815079 0.000375625
         166    0.818807    0.815101 0.000374033
         167    0.814352    0.815097  0.00037182
         168    0.815551    0.815099 0.000369617
         169    0.811674    0.815079 0.000367985
         170    0.822324    0.815122  0.00036828
         171    0.810959    0.815097  0.00036693
         172    0.815763    0.815101 0.000364818
         173    0.819538    0.815127 0.000363609
         174    0.817732    0.815142 0.000361827
         175    0.813745    0.815134 0.000359848
         176    0.823566    0.815182 0.000360978
         177    0.806192    0.815131 0.000362494
         178    0.820764    0.815163 0.000361836
         179    0.818198     0.81518 0.000360212
         180    0.807292    0.815136 0.000360867
         181    0.819238    0.815159 0.000359584
         182     0.82303    0.815202 0.000360199
         183    0.810307    0.815175 0.000359223
         184    0.816239    0.815181 0.000357317
         185    0.809679    0.815151 0.000356621
         186    0.818236    0.815168  0.00035509
         187    0.809809    0.815139 0.000354345
         188    0.818339    0.815156 0.000352869
         189    0.816564    0.815163 0.000351081
         190    0.814918    0.815162 0.000349235
         191    0.808738    0.815129 0.000349023
         192    0.815523    0.815131 0.000347211
         193    0.817063    0.815141 0.000345556
         194    0.816747    0.815149 0.000343874
         195    0.817187    0.815159  0.00034227
         196    0.818693    0.815177 0.000340998
