#		 BLOCK:	 ACTUAL_KE:		KE_AVE:			ERROR:
           1     1.21185     1.21185           0
           2     1.20305     1.20745  0.00311048
           3     1.19167     1.20219  0.00476983
           4     1.20809     1.20366  0.00379898
           5      1.1859     1.20011  0.00439675
           6      1.2066     1.20119  0.00379473
           7     1.20157     1.20125  0.00325301
           8     1.19381     1.20032  0.00297611
           9     1.19805     1.20007  0.00265607
          10     1.19644      1.1997  0.00241514
          11     1.21169     1.20079  0.00242883
          12     1.19711     1.20049  0.00224574
          13     1.19974     1.20043  0.00207372
          14     1.18886      1.1996  0.00208364
          15     1.21134     1.20038  0.00208656
          16      1.1969     1.20017  0.00196748
          17     1.19295     1.19974  0.00189702
          18     1.20484     1.20003  0.00181265
          19     1.19827     1.19993  0.00171959
          20     1.19724      1.1998  0.00163889
          21     1.20402         1.2  0.00157311
          22     1.19454     1.19975  0.00152106
          23     1.19812     1.19968  0.00145659
          24     1.19388     1.19944  0.00141577
          25     1.20679     1.19973  0.00138933
          26     1.19303     1.19947  0.00135961
          27      1.1976     1.19941  0.00131102
          28     1.18796       1.199   0.0013264
          29     1.20909     1.19934  0.00132556
          30     1.17946     1.19868   0.0014375
          31     1.20372     1.19884  0.00140029
          32     1.20214     1.19895  0.00136031
          33     1.19277     1.19876  0.00133189
          34      1.1973     1.19872  0.00129341
          35     1.19584     1.19864  0.00125906
          36     1.19467     1.19853  0.00122889
          37      1.1968     1.19848  0.00119656
          38     1.20043     1.19853  0.00116617
          39     1.20733     1.19876  0.00115787
          40     1.18913     1.19851  0.00115366
          41     1.19811      1.1985  0.00112557
          42     1.19908     1.19852  0.00109885
          43     1.19877     1.19852  0.00107331
          44     1.19936     1.19854  0.00104908
          45      1.1883     1.19832  0.00105019
          46     1.20885     1.19854  0.00105205
          47     1.20391     1.19866  0.00103585
          48     1.19709     1.19863  0.00101478
          49       1.187     1.19839  0.00102145
          50     1.19112     1.19824   0.0010113
          51     1.21207     1.19851  0.00102719
          52     1.19192     1.19839  0.00101523
          53     1.19396      1.1983 0.000999497
          54     1.20109     1.19836 0.000982319
          55     1.19854     1.19836 0.000964464
          56     1.19844     1.19836 0.000947243
          57      1.2081     1.19853 0.000945895
          58     1.19381     1.19845 0.000933084
          59     1.19964     1.19847 0.000917489
          60     1.19214     1.19837 0.000908239
          61     1.20804     1.19852 0.000907081
          62     1.19442     1.19846 0.000894858
          63     1.20462     1.19856 0.000885976
          64     1.19368     1.19848 0.000875396
          65     1.20314     1.19855 0.000864864
          66     1.19544      1.1985 0.000853046
          67     1.20141     1.19855 0.000841414
          68     1.19774     1.19854 0.000829123
          69     1.20385     1.19861 0.000820674
          70     1.18975     1.19849 0.000818652
          71     1.20177     1.19853  0.00080843
          72     1.19959     1.19855 0.000797336
          73      1.2063     1.19865 0.000793453
          74     1.19053     1.19854 0.000790281
          75     1.21212     1.19872 0.000800211
          76     1.18424     1.19853 0.000812054
          77      1.2046     1.19861 0.000805324
          78     1.18617     1.19845  0.00081064
          79     1.20927     1.19859  0.00081186
          80     1.18731     1.19845 0.000813858
          81     1.20092     1.19848 0.000804382
          82     1.19652     1.19846 0.000794927
          83       1.212     1.19862 0.000801916
          84     1.19002     1.19852 0.000798872
          85     1.20917     1.19864 0.000799251
          86     1.20827     1.19875 0.000797754
          87     1.19249     1.19868 0.000791822
          88     1.19975     1.19869 0.000782918
          89     1.19273     1.19863 0.000776982
          90     1.20583     1.19871 0.000772465
          91     1.19448     1.19866 0.000765372
          92     1.20393     1.19872 0.000759197
          93     1.20085     1.19874 0.000751379
          94      1.1911     1.19866 0.000747775
          95     1.20353     1.19871 0.000741662
          96     1.18008     1.19852 0.000758904
          97      1.2035     1.19857 0.000752817
          98     1.19665     1.19855 0.000745389
          99     1.18367      1.1984 0.000752858
         100     1.19289     1.19834 0.000747343
