#		 BLOCK:	ACTUAL_PE:		 PE_AVE:			ERROR:
           1    -6.67596    -6.67596           0
           2    -6.66522    -6.67059  0.00379625
           3     -6.6557    -6.66563  0.00477711
           4    -6.67035    -6.66681  0.00372596
           5    -6.64691    -6.66283  0.00464246
           6    -6.66912    -6.66388  0.00398522
           7    -6.66292    -6.66374  0.00341825
           8    -6.65703     -6.6629  0.00309203
           9    -6.66085    -6.66267  0.00275688
          10    -6.65875    -6.66228  0.00250901
          11    -6.67482    -6.66342  0.00252682
          12    -6.66043    -6.66317  0.00232853
          13    -6.66224     -6.6631   0.0021505
          14    -6.65193     -6.6623   0.0021399
          15    -6.67514    -6.66316  0.00216162
          16     -6.6601    -6.66297  0.00203494
          17    -6.65657    -6.66259  0.00194976
          18    -6.66688    -6.66283  0.00185598
          19    -6.65949    -6.66265  0.00176662
          20     -6.6598    -6.66251  0.00168402
          21    -6.66644     -6.6627  0.00161417
          22    -6.65814    -6.66249  0.00155405
          23    -6.66197    -6.66247  0.00148664
          24    -6.65798    -6.66228  0.00143641
          25    -6.66962    -6.66257  0.00140866
          26    -6.65635    -6.66233  0.00137471
          27    -6.66097    -6.66228  0.00132472
          28    -6.64859    -6.66179  0.00136477
          29    -6.67219    -6.66215  0.00136395
          30    -6.64217    -6.66149  0.00147211
          31    -6.66737    -6.66168   0.0014368
          32    -6.66419    -6.66176  0.00139405
          33    -6.65587    -6.66158  0.00136316
          34    -6.66135    -6.66157  0.00132308
          35    -6.65872    -6.66149  0.00128778
          36    -6.65767    -6.66138  0.00125638
          37    -6.65958    -6.66133  0.00122337
          38    -6.66286    -6.66137  0.00119184
          39    -6.67055    -6.66161  0.00118427
          40    -6.65148    -6.66136  0.00118145
          41    -6.65941    -6.66131  0.00115358
          42    -6.66174    -6.66132  0.00112616
          43    -6.66241    -6.66134  0.00110026
          44    -6.66205    -6.66136  0.00107537
          45    -6.65223    -6.66116  0.00107044
          46    -6.67125    -6.66138   0.0010694
          47    -6.66822    -6.66152  0.00105652
          48    -6.66074    -6.66151  0.00103463
          49    -6.64803    -6.66123  0.00104946
          50    -6.65352    -6.66108  0.00103974
          51    -6.67542    -6.66136  0.00105671
          52    -6.65514    -6.66124  0.00104312
          53    -6.65704    -6.66116  0.00102645
          54    -6.66374    -6.66121  0.00100854
          55    -6.66203    -6.66122 0.000990319
          56    -6.66212    -6.66124 0.000972763
          57    -6.67027     -6.6614 0.000968525
          58     -6.6567    -6.66132 0.000955212
          59    -6.66206    -6.66133 0.000939106
          60    -6.65468    -6.66122 0.000929962
          61    -6.67033    -6.66137 0.000926631
          62    -6.65727     -6.6613 0.000914038
          63    -6.66781     -6.6614 0.000905356
          64    -6.65631    -6.66132 0.000894701
          65    -6.66472    -6.66138 0.000882464
          66    -6.65795    -6.66133 0.000870622
          67    -6.66464    -6.66137 0.000859035
          68    -6.66086    -6.66137 0.000846436
          69     -6.6669    -6.66145 0.000837961
          70    -6.65196    -6.66131 0.000836872
          71    -6.66669    -6.66139 0.000828505
          72    -6.66315    -6.66141 0.000817359
          73    -6.66867    -6.66151 0.000812191
          74    -6.65386    -6.66141 0.000807776
          75    -6.67304    -6.66156 0.000811762
          76    -6.64648    -6.66136  0.00082498
          77    -6.66617    -6.66143 0.000816626
          78    -6.64901    -6.66127 0.000821529
          79     -6.6718     -6.6614 0.000821875
          80    -6.64991    -6.66126 0.000824058
          81    -6.66311    -6.66128   0.0008142
          82    -6.66015    -6.66127 0.000804388
          83    -6.67524    -6.66144 0.000812134
          84    -6.65328    -6.66134 0.000808252
          85     -6.6722    -6.66147 0.000808782
          86    -6.67166    -6.66158 0.000808016
          87    -6.65485    -6.66151 0.000802429
          88    -6.66277    -6.66152 0.000793439
          89    -6.65566    -6.66146 0.000787256
          90    -6.66876    -6.66154 0.000782675
          91    -6.65675    -6.66148 0.000775838
          92    -6.66692    -6.66154 0.000769648
          93    -6.66411    -6.66157 0.000761866
          94    -6.65343    -6.66148 0.000758661
          95    -6.66467    -6.66152 0.000751418
          96    -6.64095     -6.6613 0.000773527
          97    -6.66695    -6.66136 0.000767743
          98    -6.65902    -6.66134 0.000760281
          99    -6.64669    -6.66119  0.00076686
         100    -6.65614    -6.66114 0.000760852
