#		 BLOCK:	 ACTUAL_P:		 P_AVE:			 ERROR:
           1    0.968873    0.968873           0
           2    0.962665    0.965769   0.0021948
           3    0.954956    0.962164  0.00328648
           4    0.966285    0.963194  0.00262131
           5    0.951359    0.960827  0.00297995
           6    0.965377    0.961586  0.00257798
           7    0.961852    0.961624  0.00220998
           8    0.956334    0.960963  0.00203023
           9    0.959304    0.960778  0.00181299
          10    0.958354    0.960536  0.00164783
          11    0.968642    0.961273  0.00165461
          12    0.958759    0.961063  0.00152993
          13    0.960442    0.961015  0.00141299
          14    0.953107    0.960451  0.00142051
          15    0.968471    0.960985  0.00142289
          16    0.958663     0.96084  0.00134134
          17    0.955972    0.960554  0.00129264
          18    0.964063    0.960749  0.00123544
          19    0.959476    0.960682  0.00117223
          20    0.958779    0.960587  0.00111748
          21    0.963409    0.960721  0.00107231
          22    0.956835    0.960544  0.00103802
          23    0.959414    0.960495 0.000994051
          24    0.956627    0.960334 0.000965613
          25    0.965396    0.960537 0.000947977
          26    0.956139    0.960367 0.000926483
          27    0.959145    0.960322 0.000893274
          28    0.952371    0.960038 0.000905389
          29    0.966989    0.960278 0.000905335
          30    0.946735    0.959826 0.000981273
          31    0.963315    0.959939 0.000956049
          32    0.962419    0.960016 0.000929309
          33    0.955802    0.959889 0.000909883
          34    0.958819    0.959857 0.000883666
          35    0.957754    0.959797 0.000860459
          36     0.95709    0.959722 0.000839838
          37    0.958601    0.959692 0.000817686
          38    0.961073    0.959728 0.000796975
          39     0.96562    0.959879 0.000790728
          40    0.953125     0.95971 0.000788781
          41    0.959604    0.959708 0.000769547
          42    0.960061    0.959716  0.00075127
          43    0.959768    0.959717   0.0007338
          44    0.960082    0.959726 0.000717169
          45    0.952525    0.959566 0.000718861
          46    0.966897    0.959725 0.000720686
          47    0.963142    0.959798  0.00070901
          48    0.958792    0.959777 0.000694548
          49    0.951939    0.959617 0.000698547
          50    0.954399    0.959512 0.000692327
          51    0.968862    0.959696 0.000702607
          52    0.955448    0.959614 0.000693828
          53    0.956746     0.95956 0.000682843
          54    0.961569    0.959597 0.000671211
          55    0.959747      0.9596 0.000659012
          56    0.959602      0.9596 0.000647244
          57    0.966337    0.959718 0.000646592
          58    0.956392    0.959661 0.000637981
          59    0.960599    0.959677 0.000627366
          60    0.955428    0.959606 0.000620894
          61    0.966296    0.959715 0.000620327
          62    0.957033    0.959672 0.000611828
          63    0.964004    0.959741 0.000605967
          64    0.956328    0.959688 0.000598841
          65    0.962834    0.959736 0.000591581
          66    0.957754    0.959706 0.000583379
          67    0.961541    0.959733 0.000575315
          68    0.958909    0.959721 0.000566982
          69    0.963381    0.959774  0.00056124
          70    0.953675    0.959687 0.000559946
          71    0.962016     0.95972 0.000553019
          72    0.960439     0.95973 0.000545429
          73    0.964984    0.959802 0.000542686
          74     0.95427    0.959727 0.000540477
          75    0.969221    0.959854 0.000547893
          76    0.950147    0.959726 0.000555371
          77    0.963781    0.959779 0.000550649
          78    0.951315     0.95967 0.000554177
          79    0.966967    0.959763 0.000554805
          80    0.952194    0.959668 0.000555877
          81    0.961335    0.959689 0.000549395
          82    0.958371    0.959672  0.00054293
          83    0.969134    0.959786 0.000548224
          84    0.953985    0.959717  0.00054603
          85    0.966756      0.9598 0.000545849
          86    0.966257    0.959875 0.000544641
          87    0.955595    0.959826 0.000540598
          88    0.960529    0.959834 0.000534514
          89    0.955645    0.959787 0.000530577
          90    0.964705    0.959842 0.000527488
          91    0.956907    0.959809 0.000522676
          92    0.963619    0.959851 0.000518633
          93    0.961114    0.959864 0.000513234
          94      0.9548    0.959811 0.000510594
          95    0.963121    0.959845 0.000506407
          96    0.947102    0.959713 0.000518237
          97    0.962903    0.959745 0.000513937
          98    0.958276     0.95973 0.000508911
          99    0.949594    0.959628 0.000513968
         100    0.955812     0.95959 0.000510243
