#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1    0.807898    0.807898           0
           2    0.802033    0.804965  0.00207365
           3    0.794444    0.801458  0.00317989
           4    0.805395    0.802442  0.00253266
           5    0.790602    0.800074  0.00293117
           6    0.804402    0.800796  0.00252982
           7    0.801047    0.800831  0.00216867
           8    0.795876    0.800212  0.00198408
           9    0.798701    0.800044  0.00177071
          10    0.797624    0.799802  0.00161009
          11     0.80779    0.800528  0.00161922
          12    0.798073    0.800324  0.00149716
          13    0.799826    0.800285  0.00138248
          14    0.792576    0.799735  0.00138909
          15    0.807562    0.800257  0.00139104
          16    0.797934    0.800111  0.00131165
          17    0.795298    0.799828  0.00126468
          18    0.803227    0.800017  0.00120843
          19    0.798848    0.799956   0.0011464
          20    0.798158    0.799866   0.0010926
          21    0.802677         0.8  0.00104874
          22    0.796359    0.799834  0.00101404
          23    0.798745    0.799787 0.000971059
          24    0.795923    0.799626 0.000943847
          25    0.804526    0.799822 0.000926219
          26    0.795352     0.79965 0.000906408
          27    0.798401    0.799604 0.000874016
          28    0.791973    0.799331 0.000884267
          29    0.806062    0.799563 0.000883708
          30     0.78631    0.799121 0.000958333
          31     0.80248     0.79923 0.000933525
          32    0.801427    0.799298 0.000906874
          33    0.795182    0.799174  0.00088793
          34    0.798201    0.799145 0.000862274
          35    0.797229     0.79909 0.000839373
          36    0.796449    0.799017 0.000819258
          37    0.797865    0.798986 0.000797708
          38    0.800284     0.79902 0.000777447
          39    0.804884     0.79917 0.000771914
          40    0.792753     0.79901 0.000769108
          41    0.798742    0.799003 0.000750377
          42    0.799386    0.799012 0.000732566
          43    0.799182    0.799016  0.00071554
          44    0.799571    0.799029 0.000699389
          45    0.792198    0.798877 0.000700128
          46    0.805902     0.79903 0.000701367
          47    0.802608    0.799106 0.000690564
          48    0.798062    0.799084  0.00067652
          49    0.791331    0.798926 0.000680967
          50    0.794083    0.798829 0.000674203
          51    0.808049     0.79901 0.000684791
          52    0.794615    0.798925 0.000676817
          53    0.795976     0.79887 0.000666331
          54    0.800727    0.798904 0.000654879
          55    0.799025    0.798906 0.000642976
          56    0.798962    0.798907 0.000631495
          57    0.805397    0.799021 0.000630597
          58    0.795873    0.798967 0.000622056
          59    0.799763     0.79898 0.000611659
          60    0.794762     0.79891 0.000605493
          61    0.805357    0.799016  0.00060472
          62    0.796282    0.798972 0.000596572
          63    0.803077    0.799037 0.000590651
          64    0.795789    0.798986 0.000583597
          65    0.802095    0.799034 0.000576576
          66    0.796958    0.799003 0.000568698
          67    0.800938    0.799031 0.000560943
          68    0.798496    0.799024 0.000552749
          69    0.802566    0.799075 0.000547116
          70    0.793168     0.79899 0.000545768
          71    0.801182    0.799021 0.000538953
          72    0.799729    0.799031 0.000531557
          73    0.804199    0.799102 0.000528969
          74    0.793689    0.799029 0.000526854
          75     0.80808     0.79915 0.000533474
          76    0.789495    0.799022 0.000541369
          77    0.803068    0.799075 0.000536882
          78    0.790781    0.798969 0.000540427
          79     0.80618     0.79906  0.00054124
          80    0.791542    0.798966 0.000542572
          81    0.800614    0.798986 0.000536255
          82    0.797681     0.79897 0.000529952
          83    0.807998    0.799079 0.000534611
          84    0.793348    0.799011 0.000532581
          85    0.806115    0.799095 0.000532834
          86    0.805511    0.799169 0.000531836
          87    0.794996    0.799121 0.000527881
          88    0.799836    0.799129 0.000521945
          89    0.795154    0.799085 0.000517988
          90     0.80389    0.799138 0.000514977
          91    0.796319    0.799107 0.000510248
          92    0.802623    0.799145 0.000506131
          93    0.800566    0.799161 0.000500919
          94    0.794063    0.799106 0.000498517
          95    0.802356    0.799141 0.000494441
          96     0.78672    0.799011 0.000505936
          97    0.802333    0.799045 0.000501878
          98    0.797769    0.799032 0.000496926
          99    0.789113    0.798932 0.000501905
         100    0.795259    0.798895 0.000498229
