#		 BLOCK:	 ACTUAL_TE:		TE_AVE:			ERROR:
           1    -5.46411    -5.46411           0
           2    -5.46217    -5.46314 0.000685775
           3    -5.46404    -5.46344 0.000518157
           4    -5.46226    -5.46314 0.000465239
           5    -5.46101    -5.46272 0.000533278
           6    -5.46251    -5.46268 0.000445482
           7    -5.46135    -5.46249  0.00042067
           8    -5.46322    -5.46258 0.000377784
           9     -5.4628    -5.46261 0.000336543
          10    -5.46231    -5.46258 0.000304197
          11    -5.46314    -5.46263 0.000280802
          12    -5.46332    -5.46269 0.000263224
          13    -5.46251    -5.46267 0.000243342
          14    -5.46306     -5.4627 0.000227552
          15     -5.4638    -5.46277 0.000223834
          16     -5.4632     -5.4628 0.000211431
          17    -5.46362    -5.46285 0.000204405
          18    -5.46205     -5.4628 0.000197857
          19    -5.46121    -5.46272 0.000204353
          20    -5.46257    -5.46271 0.000194278
          21    -5.46242     -5.4627 0.000185526
          22     -5.4636    -5.46274 0.000181564
          23    -5.46385    -5.46279 0.000179992
          24     -5.4641    -5.46284 0.000180556
          25    -5.46284    -5.46284 0.000173334
          26    -5.46332    -5.46286 0.000167629
          27    -5.46337    -5.46288 0.000162473
          28    -5.46063     -5.4628 0.000175472
          29     -5.4631    -5.46281  0.00016972
          30    -5.46271    -5.46281 0.000164095
          31    -5.46365    -5.46283 0.000161033
          32    -5.46205    -5.46281 0.000157837
          33     -5.4631    -5.46282 0.000153298
          34    -5.46405    -5.46285 0.000153031
          35    -5.46288    -5.46285 0.000148661
          36    -5.46299    -5.46286 0.000144581
          37    -5.46279    -5.46286 0.000140687
          38    -5.46244    -5.46284 0.000137413
          39    -5.46323    -5.46285 0.000134236
          40    -5.46235    -5.46284 0.000131475
          41     -5.4613     -5.4628 0.000133543
          42    -5.46266     -5.4628 0.000130409
          43    -5.46364    -5.46282 0.000128835
          44    -5.46269    -5.46282  0.00012594
          45    -5.46394    -5.46284 0.000125566
          46    -5.46239    -5.46283 0.000123213
          47    -5.46431    -5.46286 0.000124523
          48    -5.46364    -5.46288 0.000122983
          49    -5.46103    -5.46284  0.00012614
          50     -5.4624    -5.46283 0.000123933
          51    -5.46335    -5.46284 0.000121911
          52    -5.46322    -5.46285 0.000119782
          53    -5.46308    -5.46286 0.000117597
          54    -5.46264    -5.46285 0.000115484
          55    -5.46349    -5.46286 0.000113975
          56    -5.46367    -5.46288 0.000112854
          57    -5.46218    -5.46286  0.00011154
          58    -5.46289    -5.46287 0.000109617
          59    -5.46242    -5.46286  0.00010802
          60    -5.46254    -5.46285 0.000106349
          61    -5.46229    -5.46284 0.000105002
          62    -5.46285    -5.46284 0.000103309
          63     -5.4632    -5.46285 0.000101822
          64    -5.46263    -5.46285 0.000100291
          65    -5.46158    -5.46283 0.000100616
          66    -5.46251    -5.46282 9.92049e-05
          67    -5.46324    -5.46283 9.79184e-05
          68    -5.46312    -5.46283 9.65718e-05
          69    -5.46305    -5.46283 9.52257e-05
          70    -5.46221    -5.46283 9.42825e-05
          71    -5.46492    -5.46286 9.74429e-05
          72    -5.46356    -5.46287 9.65747e-05
          73    -5.46237    -5.46286 9.54858e-05
          74    -5.46332    -5.46286 9.44021e-05
          75    -5.46092    -5.46284 9.66361e-05
          76    -5.46224    -5.46283 9.56857e-05
          77    -5.46157    -5.46281 9.58331e-05
          78    -5.46284    -5.46281  9.4605e-05
          79    -5.46253    -5.46281 9.34764e-05
          80     -5.4626    -5.46281 9.23462e-05
          81    -5.46218     -5.4628  9.1527e-05
          82    -5.46363    -5.46281 9.09664e-05
          83    -5.46325    -5.46282 9.00226e-05
          84    -5.46325    -5.46282 8.91016e-05
          85    -5.46303    -5.46282 8.80861e-05
          86    -5.46339    -5.46283 8.73097e-05
          87    -5.46235    -5.46283 8.64777e-05
          88    -5.46302    -5.46283 8.55228e-05
          89    -5.46293    -5.46283  8.4569e-05
          90    -5.46292    -5.46283 8.36356e-05
          91    -5.46227    -5.46282 8.29387e-05
          92    -5.46298    -5.46282 8.20549e-05
          93    -5.46326    -5.46283 8.13053e-05
          94    -5.46234    -5.46282 8.06074e-05
          95    -5.46114    -5.46281 8.16868e-05
          96    -5.46087    -5.46279  8.3285e-05
          97    -5.46346    -5.46279 8.27111e-05
          98    -5.46237    -5.46279  8.1981e-05
          99    -5.46302    -5.46279 8.11864e-05
         100    -5.46325     -5.4628 8.05049e-05
