TEMPERATURE:	 	FINAL_M:		ERROR:
         2.5    0.887681   0.0105633
       2.475    0.904822   0.0104293
        2.45    0.922708   0.0104101
       2.425    0.938614   0.0105735
         2.4    0.954298   0.0106844
       2.375    0.972461   0.0106572
        2.35     0.99226   0.0107492
       2.325     1.01162   0.0106637
         2.3     1.03205   0.0107781
       2.275      1.0552   0.0110338
        2.25     1.07759   0.0108097
       2.225     1.10216   0.0112283
         2.2     1.12708    0.011555
       2.175     1.15027   0.0116921
        2.15      1.1807    0.011615
       2.125     1.20969    0.011935
         2.1     1.23873   0.0120192
       2.075     1.26604   0.0121499
        2.05     1.29678   0.0120204
       2.025     1.33145   0.0127946
           2     1.36528   0.0129408
       1.975      1.3971   0.0122895
        1.95      1.4393   0.0131425
       1.925     1.47518   0.0131934
         1.9     1.51146   0.0136213
       1.875     1.55354    0.013735
        1.85     1.60294   0.0134544
       1.825     1.64617   0.0142971
         1.8     1.69506   0.0152079
       1.775     1.74795   0.0156523
        1.75     1.80138   0.0163332
       1.725     1.85903   0.0177616
         1.7     1.91397   0.0181851
       1.675     1.97191    0.018814
        1.65     2.03471   0.0195591
       1.625     2.10214   0.0201374
         1.6     2.16867   0.0212917
       1.575     2.23693   0.0220842
        1.55     2.32169   0.0232861
       1.525     2.41451   0.0243969
         1.5     2.50726   0.0246183
       1.475     2.60869   0.0241671
        1.45     2.70913   0.0245929
       1.425      2.8247   0.0249503
         1.4       2.936    0.025828
       1.375     3.06178   0.0283006
        1.35     3.19541   0.0298481
       1.325     3.34481      0.0311
         1.3     3.51806   0.0323268
       1.275     3.69559   0.0347713
        1.25     3.89614   0.0378432
       1.225     4.12967   0.0376416
         1.2     4.37108   0.0386885
       1.175     4.62451    0.042164
        1.15     4.89678   0.0462648
       1.125      5.1982   0.0494632
         1.1     5.54885   0.0498042
       1.075     5.92864   0.0538977
        1.05     6.35255   0.0560977
       1.025     6.78393   0.0602808
           1      7.3118   0.0684176
       0.975     7.90005   0.0690756
        0.95     8.58872   0.0622723
       0.925     9.29628   0.0719682
         0.9     10.1074    0.077315
       0.875     11.0656   0.0853932
        0.85     12.1729   0.0908041
       0.825     13.2082   0.0983734
         0.8     14.6875    0.118882
       0.775     16.2726    0.120936
        0.75      17.952    0.140826
       0.725     20.0161    0.160073
         0.7     22.3149    0.173167
       0.675     25.0317    0.179318
        0.65     27.7272    0.173868
       0.625      30.696    0.194983
         0.6     33.8382    0.223466
       0.575     36.5904    0.285702
        0.55     39.6006    0.259318
       0.525     42.2202    0.239306
         0.5     44.2992    0.236477
