TEMPERATURE:	 	FINAL_M:		ERROR:
           3     4.97699  0.00312667
        2.98      5.0386  0.00342144
        2.96      5.1004  0.00362107
        2.94     5.16166  0.00367149
        2.92     5.22547  0.00365131
         2.9     5.28861  0.00364323
        2.88      5.3531  0.00357341
        2.86     5.41957  0.00373927
        2.84     5.48751  0.00368157
        2.82     5.55562   0.0037461
         2.8     5.62574  0.00386114
        2.78     5.69574  0.00383232
        2.76     5.76848  0.00392411
        2.74     5.84186  0.00390418
        2.72     5.91658  0.00393492
         2.7     5.99393  0.00394763
        2.68     6.07195  0.00407137
        2.66     6.15101  0.00434721
        2.64      6.2313  0.00414846
        2.62     6.31189  0.00415502
         2.6     6.39599  0.00412475
        2.58     6.48242  0.00410022
        2.56     6.56822  0.00406411
        2.54     6.65801  0.00417632
        2.52     6.74786  0.00426894
         2.5     6.83968  0.00442702
        2.48      6.9346   0.0044864
        2.46     7.02951  0.00447118
        2.44     7.12739  0.00482023
        2.42     7.22601  0.00491403
         2.4     7.32721  0.00507827
        2.38     7.43104  0.00529878
        2.36     7.53743  0.00531025
        2.34      7.6447   0.0053784
        2.32     7.75392  0.00592395
         2.3     7.86572  0.00637714
        2.28     7.97805  0.00623999
        2.26     8.09382  0.00636456
        2.24     8.21367  0.00646185
        2.22     8.33374  0.00686744
         2.2     8.45529  0.00691224
        2.18     8.57874  0.00707296
        2.16     8.70679  0.00705441
        2.14     8.83609  0.00716033
        2.12     8.96832   0.0071996
         2.1     9.10319  0.00704599
        2.08     9.24156  0.00708503
        2.06     9.38464  0.00741164
        2.04     9.52707  0.00756834
        2.02      9.6721  0.00763895
           2     9.81778  0.00777698
        1.98     9.96992   0.0077713
        1.96     10.1271  0.00759343
        1.94      10.283   0.0078108
        1.92     10.4454  0.00793011
         1.9     10.6081  0.00798564
        1.88     10.7743  0.00820629
        1.86     10.9416  0.00823125
        1.84     11.1185  0.00797085
        1.82     11.2976  0.00827878
         1.8     11.4787  0.00841069
        1.78     11.6648  0.00918371
        1.76     11.8534  0.00880522
        1.74     12.0436  0.00887638
        1.72     12.2452  0.00874694
         1.7     12.4479   0.0093648
        1.68     12.6507  0.00965805
        1.66     12.8613   0.0092963
        1.64     13.0672  0.00980967
        1.62     13.2861  0.00941092
         1.6     13.5095  0.00977645
        1.58     13.7372   0.0106488
        1.56       13.96   0.0108527
        1.54     14.1878   0.0116413
        1.52     14.4179   0.0109083
         1.5     14.6553   0.0121503
        1.48     14.9041   0.0135958
        1.46      15.149   0.0142513
        1.44     15.3932   0.0141241
        1.42     15.6396   0.0138737
         1.4     15.8888   0.0136426
        1.38     16.1486   0.0143276
        1.36     16.4025   0.0149396
        1.34      16.669   0.0145148
        1.32     16.9425   0.0141366
         1.3     17.2174   0.0150741
        1.28     17.4897   0.0148992
        1.26     17.7566   0.0152846
        1.24     18.0138   0.0140214
        1.22     18.2819   0.0128784
         1.2      18.556   0.0134376
        1.18     18.8227   0.0142417
        1.16     19.0805   0.0146267
        1.14     19.3453   0.0156009
        1.12     19.5883   0.0172705
         1.1     19.8291   0.0186101
        1.08     20.0734   0.0190809
        1.06     20.3219    0.020602
        1.04     20.5534   0.0233058
        1.02      20.773   0.0256747
           1     20.9839    0.025137
        0.98     21.1775   0.0282593
        0.96     21.3746    0.030405
        0.94     21.5343   0.0325164
        0.92     21.6694   0.0340641
         0.9     21.7831   0.0335095
        0.88     21.8414    0.033454
        0.86     21.9151   0.0334347
        0.84      21.983   0.0359449
        0.82     22.0042   0.0420316
         0.8     21.9772   0.0414069
        0.78     21.9327   0.0441219
        0.76     21.8925   0.0469241
        0.74     21.8472   0.0558927
        0.72     21.7098   0.0675742
         0.7     21.6466   0.0658612
        0.68      21.669   0.0662485
        0.66     21.5789   0.0663947
        0.64     21.4444   0.0754182
        0.62     21.2721   0.0727207
         0.6     21.1216   0.0621146
        0.58     20.7107   0.0622374
        0.56     20.1869   0.0670592
        0.54     19.3229   0.0759169
        0.52     18.0252    0.104839
         0.5     16.3228    0.132571
        0.48     14.3113    0.173999
        0.46     11.9181    0.204738
        0.44     9.42423    0.200783
        0.42     7.09952    0.200271
         0.4     5.16274    0.202623
        0.38       3.103    0.169917
        0.36     2.10359    0.139799
        0.34     1.35666    0.127876
        0.32    0.775202   0.0900218
         0.3    0.375301   0.0613404
        0.28    0.209325   0.0547462
        0.26    0.048765   0.0241658
        0.24   0.0444218   0.0264253
        0.22   0.0051534  0.00483883
         0.2           0           0
