TEMPERATURE:	 	FINAL_M:		ERROR:
         2.5     44.4949   0.0545443
       2.475     45.3172   0.0528906
        2.45     46.1529   0.0543764
       2.425     47.0063   0.0567073
         2.4     47.8985   0.0570585
       2.375     48.8252   0.0582114
        2.35     49.7847   0.0594915
       2.325     50.7798   0.0618469
         2.3     51.8189   0.0617582
       2.275      52.878   0.0633618
        2.25     54.0111   0.0652139
       2.225      55.174   0.0669563
         2.2     56.3666   0.0676715
       2.175     57.6093   0.0694735
        2.15     58.9132   0.0728645
       2.125     60.2585   0.0728399
         2.1     61.6862   0.0746711
       2.075     63.1799   0.0813674
        2.05     64.7016   0.0883073
       2.025     66.2847   0.0907791
           2     67.9615   0.0936846
       1.975     69.7341   0.0966298
        1.95     71.5482   0.0989371
       1.925     73.4219    0.104539
         1.9     75.4311    0.110951
       1.875     77.4706    0.115982
        1.85     79.6456    0.117848
       1.825     81.9247    0.118656
         1.8     84.3711    0.121004
       1.775     86.8783    0.124122
        1.75     89.4956     0.12826
       1.725     92.3321    0.140937
         1.7     95.2932    0.144407
       1.675     98.4284    0.146605
        1.65     101.829    0.145016
       1.625     105.384    0.153854
         1.6     109.039    0.163273
       1.575     112.973     0.17311
        1.55     117.193    0.185081
       1.525     121.477    0.187196
         1.5     126.265    0.203288
       1.475     131.425    0.212442
        1.45     136.845    0.223584
       1.425     142.585    0.231102
         1.4     148.907     0.22252
       1.375     155.611    0.251424
        1.35     162.896    0.264602
       1.325     170.658    0.243481
         1.3     179.333    0.248342
       1.275       188.3    0.309482
        1.25     198.157      0.3433
       1.225     208.887    0.397109
         1.2     220.529     0.43471
       1.175     233.291    0.456968
        1.15     247.409    0.497424
       1.125     262.817    0.533521
         1.1      280.19     0.59353
       1.075     298.571    0.669268
        1.05      319.77    0.696985
       1.025     343.397    0.797635
           1     370.118    0.877129
       0.975     399.269     1.07501
        0.95     432.871     1.31543
       0.925     470.435      1.5558
         0.9     512.155     1.72173
       0.875     560.468     1.67327
        0.85     616.772     2.18413
       0.825     683.278     2.44211
         0.8      762.41     2.90581
       0.775     854.513     3.10907
        0.75     962.851     3.79199
       0.725     1088.04     4.57158
         0.7     1241.59     5.85773
       0.675     1432.42     7.61561
        0.65     1653.36     9.83011
       0.625     1907.97     11.0187
         0.6      2225.8     11.7803
       0.575     2581.41     12.5737
        0.55     3004.49     12.8203
       0.525      3456.1     14.7104
         0.5     3962.86     16.0427
