TEMPERATURE:	 	FINAL_TE:	ERROR:
         2.5   -0.379958 8.06518e-05
       2.475   -0.383478 7.78124e-05
        2.45   -0.386995 7.60296e-05
       2.425   -0.390548 7.68126e-05
         2.4   -0.394181 7.60764e-05
       2.375    -0.39787  7.7004e-05
        2.35   -0.401631  7.9166e-05
       2.325   -0.405462 7.81778e-05
         2.3   -0.409376 7.80794e-05
       2.275   -0.413347 7.76842e-05
        2.25   -0.417356 8.14817e-05
       2.225   -0.421499 8.17932e-05
         2.2   -0.425697 7.86925e-05
       2.175   -0.429965 7.76476e-05
        2.15   -0.434305 7.72415e-05
       2.125    -0.43876 7.83618e-05
         2.1   -0.443286 7.94822e-05
       2.075   -0.447852 8.06498e-05
        2.05   -0.452562 7.81875e-05
       2.025   -0.457313 8.08066e-05
           2   -0.462196 7.63447e-05
       1.975   -0.467187  7.7594e-05
        1.95   -0.472249 8.34979e-05
       1.925   -0.477397 8.38109e-05
         1.9   -0.482675  8.4652e-05
       1.875   -0.488015 8.10438e-05
        1.85   -0.493466 7.77838e-05
       1.825   -0.499022 8.01442e-05
         1.8   -0.504736  8.0838e-05
       1.775   -0.510558  9.0271e-05
        1.75   -0.516495 8.45356e-05
       1.725   -0.522541 8.59533e-05
         1.7   -0.528711 9.02278e-05
       1.675   -0.534993 8.79622e-05
        1.65   -0.541434 8.57189e-05
       1.625   -0.547973 7.99919e-05
         1.6   -0.554643 7.74405e-05
       1.575   -0.561461 7.99755e-05
        1.55   -0.568374  7.9928e-05
       1.525   -0.575458 7.92933e-05
         1.5   -0.582744 7.74521e-05
       1.475    -0.59014  7.4036e-05
        1.45   -0.597724 7.15234e-05
       1.425   -0.605459 7.25625e-05
         1.4   -0.613344 8.25736e-05
       1.375   -0.621359 7.67533e-05
        1.35    -0.62954 8.25239e-05
       1.325   -0.637892 9.44068e-05
         1.3   -0.646474 9.23539e-05
       1.275   -0.655107 9.45567e-05
        1.25   -0.664004 0.000103292
       1.225   -0.673031 0.000103889
         1.2   -0.682213  9.4759e-05
       1.175   -0.691616 8.96128e-05
        1.15   -0.701135 9.77819e-05
       1.125    -0.71086 9.87252e-05
         1.1   -0.720679 0.000105501
       1.075   -0.730734 0.000110801
        1.05   -0.740847  0.00010881
       1.025   -0.751174 0.000105626
           1   -0.761649 0.000116815
       0.975   -0.772095 0.000118192
        0.95   -0.782833 0.000120631
       0.925   -0.793576 0.000138221
         0.9   -0.804411 0.000138692
       0.875   -0.815456 0.000136948
        0.85   -0.826317 0.000141488
       0.825   -0.837276 0.000122476
         0.8   -0.848411 0.000153808
       0.775   -0.859578 0.000170949
        0.75   -0.870584 0.000163748
       0.725   -0.881393 0.000174289
         0.7    -0.89224 0.000188958
       0.675   -0.903291 0.000219431
        0.65   -0.914033 0.000270057
       0.625   -0.924595 0.000298911
         0.6   -0.935401 0.000313098
       0.575   -0.945745 0.000305329
        0.55   -0.956048 0.000298709
       0.525   -0.965459 0.000324075
         0.5   -0.974359 0.000328541
