#	 N_BLOCK:	ACCEPTANCE:
           1    1.88e-05
           2    1.16e-05
           3 1.30667e-05
           4    1.04e-05
           5    8.64e-06
           6    1.04e-05
           7     9.2e-06
           8     8.1e-06
           9 1.87111e-05
          10   1.864e-05
          11 1.72364e-05
          12    1.59e-05
          13 1.67692e-05
          14 1.56286e-05
          15 1.52267e-05
          16  1.4425e-05
          17 1.38118e-05
          18 1.35556e-05
          19 1.44842e-05
          20   1.388e-05
          21 1.34095e-05
          22    1.28e-05
          23 1.24174e-05
          24 1.30333e-05
          25  1.2528e-05
          26 1.20462e-05
          27 1.30963e-05
          28 1.26429e-05
          29  1.3131e-05
          30 1.47733e-05
          31 1.46968e-05
          32   1.445e-05
          33 1.47273e-05
          34 1.53647e-05
          35 1.49829e-05
          36 1.71111e-05
          37  1.9027e-05
          38 1.85684e-05
          39 1.85538e-05
          40   1.839e-05
          41 1.79707e-05
          42 1.85238e-05
          43 1.81395e-05
          44 1.81545e-05
          45 1.77867e-05
          46 1.74522e-05
          47 1.70979e-05
          48 1.67917e-05
          49 1.65224e-05
          50  1.6192e-05
