TEMPERATURE:	 	FINAL_M:		ERROR:
         2.5    0.882592  0.00910775
       2.475     0.90227  0.00829738
        2.45    0.915464  0.00866864
       2.425    0.939855  0.00856048
         2.4    0.948625  0.00960595
       2.375    0.975488  0.00905647
        2.35    0.989563   0.0109083
       2.325     1.01576   0.0105976
         2.3     1.03566    0.009484
       2.275     1.06079  0.00854512
        2.25     1.08326   0.0098679
       2.225      1.1198   0.0115097
         2.2     1.13169   0.0100519
       2.175     1.14809    0.010422
        2.15     1.17871   0.0128145
       2.125     1.20598   0.0124688
         2.1     1.23572   0.0123628
       2.075     1.25427  0.00992234
        2.05     1.29206   0.0112533
       2.025     1.33087   0.0113447
           2     1.37214   0.0106503
       1.975      1.4038   0.0110577
        1.95     1.43098   0.0107584
       1.925     1.46016  0.00976901
         1.9     1.51352   0.0143217
       1.875     1.55134    0.012063
        1.85     1.58784   0.0119504
       1.825      1.6403   0.0104288
         1.8     1.69318   0.0116766
       1.775      1.7485   0.0123348
        1.75     1.78991   0.0117621
       1.725     1.85897   0.0127739
         1.7     1.91181   0.0151295
       1.675     1.97483   0.0142134
        1.65      2.0397   0.0164371
       1.625     2.12584   0.0183792
         1.6     2.19218   0.0159598
       1.575     2.27809   0.0157635
        1.55     2.35946   0.0179835
       1.525      2.4382   0.0150379
         1.5     2.55405   0.0168985
       1.475     2.65604   0.0186483
        1.45      2.7001   0.0174298
       1.425     2.83798   0.0202161
         1.4      2.9432   0.0183733
       1.375     3.09102   0.0211789
        1.35     3.24066   0.0213319
       1.325     3.38172   0.0254147
         1.3     3.53118   0.0248391
       1.275     3.72111   0.0261777
        1.25     3.98516   0.0254937
       1.225     4.15227   0.0277421
         1.2     4.39299   0.0255164
       1.175     4.67279   0.0323178
        1.15     4.92554   0.0342298
       1.125     5.24326   0.0328098
         1.1     5.56317   0.0365524
       1.075     5.95083   0.0377909
        1.05     6.32808    0.038978
       1.025     6.77775   0.0521698
           1     7.30632   0.0460565
       0.975     7.91215   0.0507055
        0.95     8.48061   0.0478184
       0.925     9.18118   0.0583606
         0.9      10.039    0.061466
       0.875     10.8747   0.0693591
        0.85     11.9326   0.0834715
       0.825     13.0369   0.0895597
         0.8     14.4595   0.0906446
       0.775     16.1063   0.0901048
        0.75     17.8936    0.106069
       0.725      19.883    0.128044
         0.7     22.2527    0.139624
       0.675     24.6291      0.1404
        0.65     27.4276    0.140539
       0.625     30.3475    0.162719
         0.6     33.5827    0.199462
       0.575     36.7915    0.197105
        0.55     39.6861    0.182555
       0.525     42.1737    0.181186
         0.5     44.4608    0.179225
