TEMPERATURE:	 	FINAL_M:		ERROR:
         2.5     6.84118  0.00473603
       2.475     6.96308   0.0040753
        2.45     7.08385  0.00463426
       2.425     7.20481  0.00517167
         2.4     7.32926  0.00449405
       2.375     7.45904  0.00463711
        2.35      7.5934  0.00473596
       2.325     7.72825  0.00454067
         2.3     7.86386  0.00491232
       2.275     8.00829  0.00511469
        2.25     8.15514  0.00560151
       2.225     8.31053  0.00516319
         2.2      8.4614  0.00564727
       2.175     8.62188  0.00563568
        2.15     8.77391  0.00621287
       2.125     8.94483  0.00579052
         2.1     9.11082   0.0067807
       2.075      9.2847  0.00658601
        2.05     9.46943  0.00712499
       2.025      9.6504  0.00660232
           2     9.83611  0.00480545
       1.975     10.0165  0.00662538
        1.95     10.2163  0.00668747
       1.925     10.4108  0.00631602
         1.9     10.6157  0.00649592
       1.875      10.839  0.00748511
        1.85     11.0538  0.00878739
       1.825     11.2806  0.00746266
         1.8     11.4935  0.00821742
       1.775      11.731  0.00866904
        1.75      11.969  0.00910277
       1.725     12.2084  0.00853332
         1.7     12.4515  0.00820123
       1.675      12.701  0.00806164
        1.65     12.9704   0.0091107
       1.625       13.24  0.00832799
         1.6       13.52   0.0104376
       1.575     13.7845    0.012173
        1.55     14.0809   0.0115704
       1.525     14.3602   0.0134471
         1.5     14.6637   0.0125736
       1.475     14.9588   0.0140541
        1.45     15.2746   0.0120567
       1.425     15.5891   0.0159068
         1.4      15.907   0.0144852
       1.375     16.2422   0.0134163
        1.35     16.5758   0.0159604
       1.325     16.9059   0.0169701
         1.3     17.2526   0.0164441
       1.275     17.5661    0.016377
        1.25     17.9117   0.0158547
       1.225     18.2499   0.0153808
         1.2      18.558   0.0167043
       1.175     18.9233   0.0178151
        1.15     19.2383   0.0186002
       1.125     19.5456   0.0155175
         1.1      19.869   0.0192646
       1.075     20.1475    0.021016
        1.05     20.4784   0.0238046
       1.025     20.7353   0.0226018
           1     21.0175   0.0185433
       0.975      21.242   0.0228667
        0.95     21.4303   0.0209715
       0.925     21.6274   0.0250211
         0.9     21.8012   0.0287081
       0.875     21.8886   0.0298124
        0.85     22.0051   0.0356804
       0.825     22.0173   0.0350769
         0.8     21.9919   0.0363551
       0.775     21.9447    0.039161
        0.75     21.8353    0.047443
       0.725      21.751   0.0438766
         0.7     21.5938    0.043795
       0.675     21.5481   0.0494225
        0.65     21.4834   0.0537553
       0.625     21.3929   0.0573642
         0.6     21.1284   0.0509722
       0.575     20.7017   0.0432951
        0.55     19.8905   0.0482454
       0.525     18.4491   0.0587487
         0.5     16.4233   0.0907422
