TEMPERATURE:	 	FINAL_M:		ERROR:
         2.5     44.5308   0.0340487
       2.475     45.2788   0.0374396
        2.45     46.1014   0.0433678
       2.425     46.9897   0.0478465
         2.4     47.8845   0.0441967
       2.375     48.9092   0.0452018
        2.35      49.809   0.0446141
       2.325     50.9124   0.0526054
         2.3      51.929   0.0449116
       2.275     52.9307   0.0605932
        2.25     54.0206   0.0523147
       2.225     55.2319   0.0482805
         2.2     56.3869   0.0427054
       2.175     57.6567   0.0465694
        2.15     58.9604   0.0581457
       2.125     60.2834   0.0572724
         2.1     61.6582   0.0547628
       2.075     63.1553    0.049134
        2.05     64.6985   0.0617724
       2.025     66.3116    0.052433
           2     68.0081   0.0596655
       1.975     69.7522   0.0625464
        1.95     71.5362   0.0741627
       1.925     73.5002   0.0896502
         1.9     75.4275   0.0795583
       1.875     77.4681   0.0711003
        1.85     79.7172   0.0711025
       1.825     81.9096   0.0673976
         1.8     84.4507   0.0863532
       1.775      86.928   0.0987806
        1.75     89.6508   0.0805899
       1.725     92.4208   0.0922683
         1.7     95.2652   0.0985392
       1.675     98.3541    0.126578
        1.65     101.937    0.132677
       1.625     105.343     0.15327
         1.6     108.996    0.150911
       1.575     113.104    0.147536
        1.55     117.311    0.140258
       1.525     121.841    0.159725
         1.5     126.472    0.161974
       1.475     131.341     0.18153
        1.45     137.073    0.179238
       1.425     142.549    0.190751
         1.4     148.677    0.207069
       1.375     155.608    0.208004
        1.35     163.292    0.211691
       1.325     170.307    0.243153
         1.3     179.012    0.264279
       1.275     188.459    0.287621
        1.25     198.591    0.250855
       1.225     209.429    0.293141
         1.2     220.416    0.336744
       1.175     233.596    0.396709
        1.15     247.395    0.484995
       1.125     262.773     0.52526
         1.1     280.046    0.546403
       1.075     299.126    0.614129
        1.05      321.59    0.641997
       1.025     342.173    0.704459
           1      369.21    0.783867
       0.975     399.265    0.867099
        0.95     432.725     1.06074
       0.925      469.88     1.14148
         0.9     513.234     1.41967
       0.875     562.788     1.46581
        0.85     619.907     1.84624
       0.825     684.652     2.12022
         0.8     759.864     2.50491
       0.775     848.892     2.68067
        0.75     955.904     3.59907
       0.725     1081.46     3.64855
         0.7     1230.01     4.08557
       0.675     1420.81      4.9516
        0.65     1637.23      5.7746
       0.625     1909.96     7.17493
         0.6     2216.48     8.22337
       0.575     2580.85     8.58287
        0.55     3001.31     10.7799
       0.525        3466     8.93698
         0.5     3955.55      10.648
