TEMPERATURE:	 	FINAL_TE:	ERROR:
         2.5   -0.380473 7.80901e-05
       2.475   -0.383722 7.44457e-05
        2.45   -0.387317 7.54424e-05
       2.425   -0.390826 7.10731e-05
         2.4   -0.394588 7.04872e-05
       2.375   -0.398275 7.75017e-05
        2.35   -0.402078 7.56073e-05
       2.325   -0.405945 7.88598e-05
         2.3   -0.409831 7.87678e-05
       2.275   -0.413812 7.80171e-05
        2.25   -0.417913  7.2762e-05
       2.225   -0.422031 8.32565e-05
         2.2   -0.426213 7.61608e-05
       2.175   -0.430501 7.56751e-05
        2.15   -0.434839 7.77205e-05
       2.125   -0.439299 7.51886e-05
         2.1   -0.443925 6.81508e-05
       2.075   -0.448493 7.91034e-05
        2.05   -0.453233 7.00205e-05
       2.025   -0.457996 7.23123e-05
           2   -0.462918 7.09275e-05
       1.975   -0.467964 6.26479e-05
        1.95   -0.472977 6.98349e-05
       1.925   -0.478126 6.48805e-05
         1.9   -0.483392 7.04548e-05
       1.875   -0.488796 6.47926e-05
        1.85   -0.494304 7.55647e-05
       1.825   -0.499926 6.40557e-05
         1.8   -0.505655 7.09447e-05
       1.775   -0.511521 7.14835e-05
        1.75   -0.517481 7.47073e-05
       1.725   -0.523661 7.76259e-05
         1.7   -0.529781 8.07611e-05
       1.675   -0.536118 7.08207e-05
        1.65   -0.542578 7.37798e-05
       1.625   -0.549255 7.74208e-05
         1.6   -0.556045  7.8858e-05
       1.575   -0.562932 7.49862e-05
        1.55   -0.569931 7.89015e-05
       1.525   -0.577128 8.33388e-05
         1.5   -0.584406 7.77793e-05
       1.475   -0.591879 8.72619e-05
        1.45   -0.599459 8.76302e-05
       1.425   -0.607283 9.29607e-05
         1.4    -0.61525 9.08605e-05
       1.375   -0.623411 9.28905e-05
        1.35   -0.631757 9.71189e-05
       1.325   -0.640294 9.25775e-05
         1.3   -0.648846 9.19743e-05
       1.275   -0.657668 8.36434e-05
        1.25   -0.666855 8.02089e-05
       1.225   -0.676124 7.55263e-05
         1.2   -0.685439 8.45209e-05
       1.175   -0.694994 9.72187e-05
        1.15    -0.70485 0.000101343
       1.125   -0.714829 0.000109479
         1.1   -0.725056 0.000114479
       1.075   -0.735268 9.15858e-05
        1.05   -0.745709 0.000105128
       1.025   -0.756551 0.000116494
           1    -0.76749 0.000109649
       0.975   -0.778663 0.000122039
        0.95   -0.789744 0.000114766
       0.925   -0.801145 0.000125267
         0.9   -0.812752 0.000129744
       0.875   -0.824496 0.000173568
        0.85   -0.836652 0.000171813
       0.825   -0.848615 0.000205756
         0.8   -0.861138 0.000205563
       0.775   -0.873936 0.000176931
        0.75   -0.886528 0.000225988
       0.725   -0.899335 0.000244055
         0.7   -0.912473 0.000249485
       0.675   -0.925548 0.000258375
        0.65   -0.938864 0.000226192
       0.625   -0.951803 0.000252807
         0.6   -0.964531 0.000302831
       0.575   -0.976459 0.000268662
        0.55    -0.98689 0.000265227
       0.525   -0.996133 0.000220045
         0.5    -1.00365  0.00017546
