# DISTANCE:		AVE_GOFR:	 ERROR:
           0           0           0
           1           0           0
           2           0           0
           3           0           0
           4           0           0
           5           0           0
           6           0           0
           7           0           0
           8           0           0
           9           0           0
          10           0           0
          11           0           0
          12           0           0
          13           0           0
          14           0           0
          15           0           0
          16           0           0
          17           0           0
          18           0           0
          19           0           0
          20           0           0
          21           0           0
          22           0           0
          23           0           0
          24           0           0
          25           0           0
          26           0           0
          27           0           0
          28           0           0
          29           0           0
          30           0           0
          31           0           0
          32           0           0
          33           0           0
          34           0           0
          35           0           0
          36           0           0
          37           0           0
          38           0           0
          39           0           0
          40           0           0
          41           0           0
          42           0           0
          43           0           0
          44           0           0
          45           0           0
          46           0           0
          47           0           0
          48           0           0
          49           0           0
          50           0           0
          51           0           0
          52           0           0
          53           0           0
          54           0           0
          55           0           0
          56           0           0
          57           0           0
          58           0           0
          59           0           0
          60           0           0
          61           0           0
          62           0           0
          63           0           0
          64           0           0
          65           0           0
          66           0           0
          67           0           0
          68           0           0
          69           0           0
          70           0           0
          71           0           0
          72           0           0
          73           0           0
          74           0           0
          75           0           0
          76           0           0
          77           0           0
          78           0           0
          79           0           0
          80           0           0
          81           0           0
          82           0           0
          83           0           0
          84           0           0
          85           0           0
          86           0           0
          87           0           0
          88           0           0
          89           0           0
          90           0           0
          91           0           0
          92           0           0
          93           0           0
          94           0           0
          95           0           0
          96           0           0
          97           0           0
          98           0           0
          99           0           0
         100           0           0
         101           0           0
         102           0           0
         103           0           0
         104           0           0
         105           0           0
         106           0           0
         107           0           0
         108           0           0
         109           0           0
         110           0           0
         111           0           0
         112           0           0
         113           0           0
         114           0           0
         115           0           0
         116           0           0
         117           0           0
         118           0           0
         119           0           0
         120           0           0
         121           0           0
         122           0           0
         123           0           0
         124           0           0
         125           0           0
         126           0           0
         127           0           0
         128           0           0
         129           0           0
         130           0           0
         131           0           0
         132           0           0
         133           0           0
         134 6.03415e-05 2.69854e-05
         135  0.00014269 4.11905e-05
         136 0.000328083 6.20001e-05
         137 0.000981531 0.000106453
         138   0.0021283 0.000155608
         139  0.00453235  0.00022596
         140   0.0102301 0.000337142
         141   0.0178386 0.000442464
         142   0.0311143 0.000578101
         143    0.051515 0.000738935
         144   0.0818581 0.000924516
         145    0.119976  0.00111305
         146    0.170283  0.00131492
         147    0.233388  0.00153286
         148    0.312515  0.00175854
         149    0.405551  0.00199404
         150    0.500643  0.00219689
         151    0.612412  0.00241522
         152    0.733176  0.00262444
         153    0.854401  0.00281482
         154    0.993528   0.0030141
         155     1.11127  0.00316695
         156     1.23649  0.00332134
         157     1.36421  0.00346094
         158     1.48971  0.00360135
         159     1.60359  0.00372052
         160     1.70762  0.00380778
         161     1.80751  0.00389293
         162     1.88625   0.0039538
         163     1.97037  0.00401318
         164     2.04812  0.00406709
         165     2.09849  0.00409813
         166     2.13996  0.00410736
         167     2.19498  0.00412959
         168     2.22398  0.00414914
         169     2.24252     0.00413
         170     2.25732  0.00412508
         171     2.27898  0.00411257
         172     2.27711  0.00408291
         173     2.29258  0.00407169
         174     2.28266  0.00404467
         175      2.2693  0.00401927
         176     2.26939  0.00399082
         177     2.25835  0.00396784
         178     2.22354  0.00390343
         179     2.21461  0.00387878
         180     2.19545  0.00384892
         181     2.17893  0.00379675
         182     2.14537  0.00374458
         183     2.11701  0.00369392
         184     2.09842  0.00366929
         185     2.07656  0.00363169
         186     2.05296  0.00359147
         187     2.02347  0.00354453
         188     2.00035  0.00350544
         189      1.9726  0.00346588
         190     1.95677  0.00343556
         191     1.92853  0.00338839
         192     1.89726  0.00334305
         193     1.86948  0.00330213
         194     1.85115  0.00327639
         195       1.824  0.00323335
         196     1.80979  0.00319925
         197     1.76957  0.00315532
         198     1.74325  0.00310925
         199     1.72729  0.00307589
         200     1.70773  0.00304584
         201     1.68186  0.00300469
         202     1.66503  0.00298276
         203     1.64897  0.00295314
         204     1.62518  0.00291985
         205     1.60018  0.00287937
         206     1.59157   0.0028608
         207     1.56884  0.00281943
         208     1.55655  0.00280145
         209     1.53793  0.00276608
         210     1.51995  0.00273354
         211      1.5082  0.00271533
         212     1.49643  0.00269516
         213     1.47434  0.00265846
         214     1.45851  0.00263248
         215     1.45078  0.00260494
         216     1.43138  0.00258332
         217     1.41678  0.00256488
         218     1.40398  0.00253403
         219      1.3924  0.00251283
         220     1.37702  0.00248494
         221     1.37108  0.00246951
         222     1.35548  0.00244828
         223     1.34865  0.00242838
         224     1.33779  0.00241041
         225     1.32696  0.00239358
         226     1.31659  0.00237197
         227     1.31392  0.00235536
         228     1.30206  0.00233745
         229     1.29866  0.00231949
         230     1.27666  0.00229172
         231     1.27112   0.0022761
         232     1.26987  0.00226607
         233     1.25844   0.0022433
         234     1.25849  0.00223602
         235     1.24695  0.00221606
         236     1.23725  0.00219632
         237     1.23163  0.00218501
         238     1.22464   0.0021683
         239     1.21409  0.00215218
         240     1.20992  0.00213694
         241     1.21206  0.00212569
         242     1.20173  0.00211367
         243     1.19133  0.00209445
         244     1.19116  0.00208548
         245     1.18239  0.00207372
         246     1.17921  0.00205699
         247      1.1745  0.00204655
         248     1.16819  0.00203518
         249       1.167  0.00202439
         250     1.16265   0.0020119
         251      1.1575  0.00199725
         252     1.15865  0.00199074
         253     1.14958  0.00197502
         254     1.15025  0.00196648
         255     1.13833  0.00195117
         256     1.13848  0.00194367
         257      1.1287   0.0019261
         258     1.13253  0.00192442
         259     1.12438  0.00190965
         260     1.12332  0.00190467
         261     1.12147  0.00189033
         262     1.12035  0.00188979
         263     1.11758   0.0018717
         264     1.11383  0.00186067
         265     1.10619  0.00184922
         266     1.10659  0.00184374
         267     1.10163  0.00183564
         268     1.10763  0.00183319
         269     1.10264  0.00182365
         270     1.10132  0.00181511
         271     1.09838  0.00180439
         272     1.09283  0.00178964
         273     1.09635  0.00178994
         274     1.09172  0.00178086
         275     1.09102  0.00176924
         276     1.08358  0.00176029
         277     1.08633  0.00175547
         278     1.07901  0.00174389
         279     1.07865  0.00173329
         280       1.077  0.00172593
         281     1.07756  0.00172378
         282     1.07986  0.00171824
         283     1.07208   0.0017067
         284     1.07537  0.00170367
         285     1.07652   0.0016999
         286     1.07381  0.00168999
         287     1.07582  0.00168834
         288     1.07402  0.00167731
         289     1.07033  0.00167323
         290     1.06823  0.00166289
         291     1.06477  0.00165664
         292     1.06473  0.00164873
         293     1.06557  0.00164275
         294     1.06803   0.0016418
         295     1.06207  0.00163084
         296      1.0659   0.0016293
         297     1.06181  0.00161813
         298      1.0603  0.00161129
         299      1.0621  0.00161034
         300     1.06417  0.00160779
         301     1.05872   0.0015966
         302     1.06154  0.00159327
         303     1.06215   0.0015858
         304     1.06049  0.00157974
         305      1.0607  0.00157564
         306      1.0614  0.00156901
         307     1.05791  0.00156664
         308     1.05608  0.00155559
