#	 N_BLOCK:	ACCEPTANCE:
           1    0.617113
           2    0.616744
           3    0.616433
           4    0.616459
           5    0.616174
           6    0.616124
           7    0.616326
           8    0.616266
           9    0.616345
          10    0.616227
          11    0.616168
          12    0.616149
          13    0.616169
          14    0.616143
          15    0.616182
          16    0.616171
          17    0.616186
          18    0.616188
          19    0.616218
          20    0.616207
          21    0.616207
          22    0.616181
          23    0.616235
          24    0.616237
          25     0.61625
          26    0.616273
          27    0.616287
          28    0.616292
          29    0.616322
          30    0.616323
          31     0.61631
          32    0.616308
          33    0.616307
          34    0.616291
          35    0.616289
          36    0.616303
          37    0.616314
          38    0.616342
          39    0.616348
          40    0.616361
          41    0.616334
          42    0.616325
          43    0.616334
          44    0.616345
          45     0.61634
          46    0.616352
          47    0.616335
          48    0.616325
          49    0.616336
          50     0.61632
          51    0.616295
          52    0.616295
          53    0.616305
          54    0.616298
          55      0.6163
          56    0.616301
          57    0.616281
          58    0.616275
          59    0.616289
          60    0.616281
          61    0.616277
          62    0.616296
          63    0.616301
          64    0.616295
          65    0.616281
          66    0.616281
          67    0.616283
          68    0.616269
          69    0.616255
          70    0.616281
          71    0.616295
          72    0.616278
          73    0.616281
          74    0.616258
          75    0.616245
          76    0.616252
          77    0.616266
          78    0.616267
          79    0.616269
          80    0.616264
          81    0.616262
          82     0.61626
          83    0.616268
          84    0.616259
          85    0.616259
          86    0.616267
          87    0.616269
          88    0.616277
          89    0.616273
          90    0.616278
          91    0.616272
          92    0.616271
          93    0.616265
          94    0.616265
          95    0.616264
          96    0.616272
          97    0.616271
          98    0.616264
          99    0.616254
         100    0.616267
