# DISTANCE:		AVE_GOFR:	 ERROR:
           0           0           0
           1           0           0
           2           0           0
           3           0           0
           4           0           0
           5           0           0
           6           0           0
           7           0           0
           8           0           0
           9           0           0
          10           0           0
          11           0           0
          12           0           0
          13           0           0
          14           0           0
          15           0           0
          16           0           0
          17           0           0
          18           0           0
          19           0           0
          20           0           0
          21           0           0
          22           0           0
          23           0           0
          24           0           0
          25           0           0
          26           0           0
          27           0           0
          28           0           0
          29           0           0
          30           0           0
          31           0           0
          32           0           0
          33           0           0
          34           0           0
          35           0           0
          36           0           0
          37           0           0
          38           0           0
          39           0           0
          40           0           0
          41           0           0
          42           0           0
          43           0           0
          44           0           0
          45           0           0
          46           0           0
          47           0           0
          48           0           0
          49           0           0
          50           0           0
          51           0           0
          52           0           0
          53           0           0
          54           0           0
          55           0           0
          56           0           0
          57           0           0
          58           0           0
          59           0           0
          60           0           0
          61           0           0
          62           0           0
          63           0           0
          64           0           0
          65           0           0
          66           0           0
          67           0           0
          68           0           0
          69           0           0
          70           0           0
          71           0           0
          72           0           0
          73           0           0
          74           0           0
          75           0           0
          76           0           0
          77           0           0
          78           0           0
          79           0           0
          80           0           0
          81           0           0
          82           0           0
          83           0           0
          84           0           0
          85           0           0
          86           0           0
          87           0           0
          88           0           0
          89           0           0
          90           0           0
          91           0           0
          92           0           0
          93           0           0
          94           0           0
          95           0           0
          96           0           0
          97           0           0
          98           0           0
          99           0           0
         100           0           0
         101           0           0
         102           0           0
         103           0           0
         104           0           0
         105           0           0
         106           0           0
         107           0           0
         108           0           0
         109           0           0
         110           0           0
         111           0           0
         112           0           0
         113           0           0
         114           0           0
         115           0           0
         116           0           0
         117           0           0
         118           0           0
         119           0           0
         120           0           0
         121           0           0
         122           0           0
         123           0           0
         124           0           0
         125           0           0
         126           0           0
         127           0           0
         128           0           0
         129           0           0
         130           0           0
         131           0           0
         132           0           0
         133           0           0
         134 4.82732e-05 2.20556e-05
         135 0.000136745 4.01964e-05
         136 0.000345659 4.54525e-05
         137  0.00107968 8.58926e-05
         138   0.0023104 0.000141197
         139  0.00501476 0.000209856
         140   0.0102633 0.000293581
         141    0.018422  0.00037577
         142   0.0320281 0.000476356
         143   0.0517112 0.000515227
         144   0.0824279 0.000794088
         145    0.119801  0.00100419
         146     0.16951  0.00111459
         147    0.233158   0.0012982
         148    0.311486  0.00162554
         149    0.403099  0.00168506
         150    0.501887   0.0020604
         151     0.61324  0.00212472
         152    0.729838  0.00244404
         153    0.854142  0.00247029
         154    0.985996  0.00258997
         155     1.11783    0.003397
         156     1.24146  0.00371613
         157     1.36599   0.0041555
         158     1.48951  0.00404306
         159     1.60287  0.00394895
         160     1.70414  0.00471433
         161     1.80862  0.00446505
         162     1.89078  0.00485143
         163     1.97157  0.00504918
         164     2.04946  0.00555849
         165     2.10203  0.00565459
         166     2.14442  0.00517696
         167     2.19255  0.00496611
         168     2.22669  0.00612346
         169     2.24979  0.00625974
         170     2.25891  0.00543691
         171     2.28894  0.00579151
         172      2.2884  0.00582025
         173      2.2916  0.00560629
         174     2.28619  0.00522489
         175     2.27191  0.00521838
         176     2.26932  0.00482682
         177     2.24824  0.00537967
         178     2.22683  0.00519504
         179     2.21767  0.00571179
         180     2.20245  0.00470746
         181      2.1794  0.00403461
         182     2.15238  0.00479576
         183      2.1202  0.00474209
         184     2.10143  0.00504581
         185     2.07608  0.00426816
         186     2.05252  0.00490103
         187     2.02174  0.00406407
         188      1.9969  0.00400428
         189     1.97407  0.00418421
         190     1.94933  0.00437574
         191     1.92553  0.00418591
         192     1.89243  0.00380867
         193     1.87003  0.00371297
         194     1.84654  0.00386819
         195     1.82736  0.00372755
         196     1.80372  0.00406574
         197     1.77247  0.00391787
         198     1.74669  0.00403548
         199     1.72891  0.00360967
         200     1.70996  0.00294021
         201     1.68258  0.00345564
         202     1.66638   0.0035677
         203     1.64439  0.00339199
         204     1.62281  0.00341351
         205     1.60157  0.00331115
         206     1.59372  0.00295698
         207     1.56872  0.00327772
         208     1.55285  0.00346675
         209     1.53825  0.00367221
         210     1.51923  0.00313941
         211      1.5075  0.00320996
         212     1.48904  0.00347138
         213     1.47396  0.00295812
         214     1.46016  0.00274367
         215     1.44662  0.00270803
         216     1.43575  0.00273969
         217      1.4206   0.0027339
         218     1.40968  0.00272934
         219     1.39291  0.00288936
         220     1.38195  0.00305022
         221     1.37016  0.00285325
         222     1.35683  0.00260459
         223       1.352  0.00287819
         224     1.33548  0.00236117
         225     1.32851  0.00245855
         226     1.31444  0.00281843
         227     1.31395  0.00236756
         228     1.29941  0.00232728
         229     1.29423  0.00232876
         230     1.27966  0.00225526
         231     1.27201  0.00209789
         232     1.26811  0.00235829
         233     1.26071  0.00203855
         234     1.25736  0.00234773
         235     1.24269  0.00264311
         236     1.23794  0.00205628
         237     1.23274  0.00257824
         238     1.22405  0.00222736
         239     1.21318  0.00243153
         240     1.21114  0.00249054
         241     1.20826  0.00223069
         242      1.2001  0.00227306
         243     1.19526   0.0020714
         244     1.19276  0.00209565
         245     1.18501  0.00243569
         246     1.17965  0.00216319
         247     1.17425  0.00216085
         248     1.16974   0.0021568
         249     1.16698  0.00209074
         250     1.16308  0.00191274
         251     1.15788   0.0021609
         252     1.15648  0.00219911
         253     1.14464  0.00192371
         254      1.1481  0.00193026
         255     1.14031   0.0018667
         256     1.13992  0.00222104
         257     1.13169  0.00204272
         258     1.13339   0.0020955
         259     1.12708  0.00230287
         260     1.12505  0.00173279
         261     1.12147  0.00198653
         262     1.11823  0.00193532
         263     1.11812   0.0018181
         264     1.11502  0.00212726
         265     1.10961  0.00172975
         266     1.10716  0.00185511
         267     1.10349  0.00191301
         268     1.10568   0.0018374
         269     1.10315  0.00207732
         270     1.09801  0.00196919
         271      1.0977  0.00167409
         272     1.09235    0.001932
         273     1.09454  0.00146562
         274     1.09083  0.00150607
         275     1.09152  0.00205633
         276      1.0859  0.00180932
         277     1.08654   0.0017458
         278     1.07808  0.00165514
         279     1.07971  0.00168337
         280     1.07776  0.00189309
         281      1.0807  0.00166608
         282      1.0802  0.00170262
         283     1.07578  0.00206364
         284     1.07458  0.00144534
         285     1.07499  0.00167493
         286     1.07382  0.00165976
         287     1.07277  0.00176523
         288     1.07168  0.00161229
         289     1.06846  0.00184034
         290     1.06998  0.00160791
         291     1.06747  0.00169047
         292     1.06639  0.00191438
         293     1.06585  0.00176608
         294       1.066  0.00160403
         295     1.06274  0.00164595
         296     1.06334  0.00161331
         297     1.06296   0.0015116
         298      1.0618  0.00154024
         299     1.06048  0.00185052
         300     1.06263  0.00147852
         301      1.0597  0.00160007
         302      1.0619  0.00146188
         303     1.06078  0.00137456
         304     1.06003  0.00158817
         305     1.05977  0.00153376
         306      1.0609  0.00154724
         307     1.05857  0.00163997
         308     1.05612  0.00169777
