#		 BLOCK:	 ACTUAL_KE:		KE_AVE:			ERROR:
           1         1.8         1.8           0
           2         1.8         1.8           0
           3         1.8         1.8           0
           4         1.8         1.8           0
           5         1.8         1.8           0
           6         1.8         1.8           0
           7         1.8         1.8 1.12642e-08
           8         1.8         1.8 1.05367e-08
           9         1.8         1.8           0
          10         1.8         1.8           0
          11         1.8         1.8 6.35388e-09
          12         1.8         1.8 6.08337e-09
          13         1.8         1.8           0
          14         1.8         1.8 7.96501e-09
          15         1.8         1.8 5.44113e-09
          16         1.8         1.8 5.26836e-09
          17         1.8         1.8 5.11106e-09
          18         1.8         1.8 7.02447e-09
          19         1.8         1.8           0
          20         1.8         1.8 4.71216e-09
          21         1.8         1.8  4.5986e-09
          22         1.8         1.8           0
          23         1.8         1.8           0
          24         1.8         1.8           0
          25         1.8         1.8           0
          26         1.8         1.8 5.84472e-09
          27         1.8         1.8 5.73546e-09
          28         1.8         1.8  3.9825e-09
          29         1.8         1.8 3.91324e-09
          30         1.8         1.8 3.84746e-09
          31         1.8         1.8  3.7849e-09
          32         1.8         1.8 3.72529e-09
          33         1.8         1.8 3.66841e-09
          34         1.8         1.8 3.61406e-09
          35         1.8         1.8 3.56206e-09
          36         1.8         1.8 3.51224e-09
          37         1.8         1.8 3.46445e-09
          38         1.8         1.8 3.41856e-09
          39         1.8         1.8  6.7489e-09
          40         1.8         1.8 7.45058e-09
          41         1.8         1.8 7.35916e-09
          42         1.8         1.8 8.60319e-09
          43         1.8         1.8 9.08962e-09
          44         1.8         1.8 8.98574e-09
          45         1.8         1.8 9.93411e-09
          46         1.8         1.8 9.82553e-09
          47         1.8         1.8 1.06482e-08
          48         1.8         1.8 1.05367e-08
          49         1.8         1.8 1.12642e-08
          50         1.8         1.8  1.1151e-08
          51         1.8         1.8 1.18035e-08
          52         1.8         1.8 1.20492e-08
          53         1.8         1.8  1.1935e-08
          54         1.8         1.8 1.21667e-08
          55         1.8         1.8 1.20556e-08
          56         1.8         1.8 1.25938e-08
          57         1.8         1.8 1.24828e-08
          58         1.8         1.8 1.23747e-08
          59         1.8         1.8 1.28683e-08
          60         1.8         1.8 1.27606e-08
          61         1.8         1.8 1.26556e-08
          62         1.8         1.8 1.25531e-08
          63         1.8         1.8 1.30068e-08
          64         1.8         1.8 1.29048e-08
          65         1.8         1.8 1.28051e-08
          66         1.8         1.8 1.32266e-08
          67         1.8         1.8 1.31276e-08
          68         1.8         1.8 1.30307e-08
          69         1.8         1.8 1.29359e-08
          70         1.8         1.8 1.28432e-08
          71         1.8         1.8 1.29953e-08
          72         1.8         1.8 1.26636e-08
          73         1.8         1.8 1.20831e-08
          74         1.8         1.8 1.20012e-08
          75         1.8         1.8 1.14134e-08
          76         1.8         1.8 1.08104e-08
          77         1.8         1.8   1.074e-08
          78         1.8         1.8 1.01233e-08
          79         1.8         1.8 1.00591e-08
          80         1.8         1.8 9.71437e-09
          81         1.8         1.8 9.65422e-09
          82         1.8         1.8 8.70747e-09
          83         1.8         1.8 8.34003e-09
          84         1.8         1.8 7.27102e-09
          85         1.8         1.8 7.22812e-09
          86         1.8         1.8 6.01222e-09
          87         1.8         1.8 5.53415e-09
          88         1.8         1.8 4.49287e-09
          89         1.8         1.8 3.86902e-09
          90         1.8         1.8 2.22133e-09
          91         1.8         1.8  2.2091e-09
          92         1.8         1.8           0
          93         1.8         1.8 3.09036e-09
          94         1.8         1.8 3.76471e-09
          95         1.8         1.8 4.83458e-09
          96         1.8         1.8 5.26836e-09
          97         1.8         1.8 5.66107e-09
          98         1.8         1.8 6.38621e-09
          99         1.8         1.8 6.69757e-09
         100         1.8         1.8   6.664e-09
