#		 BLOCK:	 ACTUAL_P:		 P_AVE:			 ERROR:
           1   0.0493088   0.0493088           0
           2   0.0493211    0.049315 4.35517e-06
           3   0.0494548   0.0493616 3.81553e-05
           4   0.0494411   0.0493815 3.34008e-05
           5   0.0492754   0.0493602 3.27692e-05
           6   0.0493687   0.0493616 2.73377e-05
           7   0.0494796   0.0493785 2.81518e-05
           8   0.0493569   0.0493758 2.47616e-05
           9   0.0495607   0.0493963 2.93167e-05
          10   0.0494713   0.0494038 2.73265e-05
          11   0.0493882   0.0494024  2.4879e-05
          12   0.0492696   0.0493914 2.51492e-05
          13   0.0495727   0.0494053 2.68041e-05
          14   0.0493071   0.0493983 2.57907e-05
          15   0.0495604   0.0494091 2.62393e-05
          16   0.0490765   0.0493883 3.17858e-05
          17   0.0492399   0.0493796 3.10915e-05
          18   0.0492687   0.0493734  2.9968e-05
          19   0.0494932   0.0493797 2.90468e-05
          20   0.0491991   0.0493707 2.89637e-05
          21    0.049439   0.0493739 2.77665e-05
          22   0.0492958   0.0493704 2.67308e-05
          23   0.0492783   0.0493664 2.58666e-05
          24   0.0492306   0.0493607 2.54001e-05
          25   0.0490881   0.0493498 2.66227e-05
          26   0.0493138   0.0493484 2.56348e-05
          27   0.0492963   0.0493465 2.47581e-05
          28   0.0492925   0.0493446 2.39489e-05
          29   0.0492404    0.049341 2.33912e-05
          30    0.049138   0.0493342 2.35695e-05
          31   0.0493052   0.0493333 2.28279e-05
          32   0.0492455   0.0493305 2.22789e-05
          33   0.0494094   0.0493329 2.17315e-05
          34    0.049313   0.0493323 2.11002e-05
          35   0.0493623   0.0493332 2.05147e-05
          36   0.0494193   0.0493356 2.00838e-05
          37   0.0493849   0.0493369 1.95852e-05
          38   0.0495341   0.0493421 1.97455e-05
          39   0.0492198    0.049339 1.94866e-05
          40   0.0492839   0.0493376  1.9048e-05
          41   0.0494475   0.0493403  1.8771e-05
          42   0.0493939   0.0493416 1.83674e-05
          43   0.0495598   0.0493466 1.86282e-05
          44    0.049361    0.049347 1.82077e-05
          45   0.0491924   0.0493435 1.81241e-05
          46    0.049234   0.0493411 1.78859e-05
          47   0.0493276   0.0493409 1.75077e-05
          48   0.0493656   0.0493414 1.71505e-05
          49    0.049424   0.0493431 1.68833e-05
          50   0.0494151   0.0493445 1.66069e-05
          51   0.0492022   0.0493417 1.65141e-05
          52    0.049313   0.0493412 1.62058e-05
          53   0.0496131   0.0493463 1.66926e-05
          54   0.0493211   0.0493458   1.639e-05
          55   0.0493424   0.0493458 1.60922e-05
          56   0.0495034   0.0493486  1.6049e-05
          57    0.049288   0.0493475 1.58026e-05
          58   0.0493399   0.0493474 1.55307e-05
          59   0.0493883   0.0493481 1.52829e-05
          60   0.0492592   0.0493466 1.50999e-05
          61   0.0493425   0.0493465 1.48525e-05
          62   0.0493172    0.049346 1.46205e-05
          63   0.0493991   0.0493469 1.44127e-05
          64   0.0492755   0.0493458 1.42305e-05
          65   0.0493617    0.049346 1.40137e-05
          66   0.0493703   0.0493464 1.38062e-05
          67   0.0495805   0.0493499 1.40355e-05
          68   0.0490892   0.0493461  1.4343e-05
          69   0.0493286   0.0493458 1.41373e-05
          70    0.049227   0.0493441 1.40369e-05
          71   0.0494119   0.0493451 1.38716e-05
          72   0.0494744   0.0493469 1.37948e-05
          73   0.0493924   0.0493475 1.36199e-05
          74   0.0492835   0.0493466 1.34633e-05
          75   0.0493852   0.0493471 1.32936e-05
          76   0.0494621   0.0493486 1.32044e-05
          77    0.049141   0.0493459 1.33055e-05
          78   0.0495375   0.0493484 1.33595e-05
          79   0.0491921   0.0493464 1.33362e-05
          80    0.049275   0.0493455 1.31993e-05
          81   0.0492464   0.0493443  1.3093e-05
          82   0.0493539   0.0493444 1.29338e-05
          83   0.0492432   0.0493432 1.28354e-05
          84   0.0494574   0.0493446 1.27545e-05
          85   0.0493386   0.0493445 1.26046e-05
          86   0.0495793   0.0493472 1.27502e-05
          87   0.0494803   0.0493487  1.2695e-05
          88   0.0494042   0.0493494 1.25664e-05
          89   0.0495184   0.0493513  1.2568e-05
          90   0.0494765   0.0493527 1.25051e-05
          91   0.0492599   0.0493517 1.24092e-05
          92    0.049252   0.0493506 1.23215e-05
          93   0.0493835   0.0493509 1.21941e-05
          94   0.0494918   0.0493524 1.21562e-05
          95   0.0493679   0.0493526 1.20293e-05
          96   0.0494277   0.0493534 1.19295e-05
          97    0.049281   0.0493526 1.18298e-05
          98   0.0492984   0.0493521  1.1722e-05
          99     0.04934   0.0493519 1.16043e-05
         100   0.0492937   0.0493514 1.15028e-05
