#		 BLOCK:	ACTUAL_PE:		 PE_AVE:			ERROR:
           1   -0.413942   -0.413942           0
           2   -0.414193   -0.414067  8.8708e-05
           3    -0.41429   -0.414141 8.46183e-05
           4   -0.413185   -0.413902 0.000216595
           5   -0.415031   -0.414128 0.000266102
           6   -0.415476   -0.414353 0.000302069
           7   -0.411876   -0.413999 0.000417551
           8   -0.414107   -0.414012 0.000365576
           9   -0.413564   -0.413963 0.000328329
          10   -0.414189   -0.413985 0.000296274
          11   -0.414033    -0.41399 0.000269371
          12   -0.413722   -0.413967 0.000247847
          13   -0.413617    -0.41394 0.000230239
          14   -0.414934   -0.414011 0.000224474
          15   -0.412345     -0.4139 0.000235394
          16   -0.415452   -0.413997 0.000239832
          17   -0.413394   -0.413962 0.000228331
          18   -0.413747    -0.41395 0.000215957
          19   -0.413024   -0.413901 0.000210013
          20   -0.415779   -0.413995  0.00021949
          21   -0.414502   -0.414019  0.00021036
          22   -0.414731   -0.414052 0.000203268
          23   -0.413864   -0.414043 0.000194594
          24   -0.414179   -0.414049 0.000186567
          25   -0.415417   -0.414104 0.000186957
          26   -0.413739    -0.41409 0.000180291
          27   -0.414313   -0.414098 0.000173803
          28   -0.413198   -0.414066 0.000170541
          29   -0.413596    -0.41405 0.000165429
          30   -0.413866   -0.414043 0.000160028
          31    -0.41531   -0.414084 0.000159994
          32   -0.414036   -0.414083 0.000155001
          33   -0.413276   -0.414058 0.000152218
          34   -0.415465     -0.4141  0.00015326
          35   -0.413928   -0.414095  0.00014896
          36   -0.413689   -0.414084 0.000145249
          37   -0.413356   -0.414064 0.000142647
          38   -0.410856   -0.413979 0.000161964
          39   -0.414395    -0.41399 0.000158161
          40    -0.41382   -0.413986 0.000154263
          41   -0.414529   -0.413999 0.000151069
          42   -0.412969   -0.413975 0.000149448
          43   -0.412851   -0.413948  0.00014824
          44   -0.414096   -0.413952 0.000144909
          45   -0.414892   -0.413973 0.000143186
          46    -0.41312   -0.413954 0.000141268
          47   -0.414592   -0.413968 0.000138914
          48   -0.414746   -0.413984 0.000136964
          49   -0.414719   -0.413999 0.000134987
          50   -0.415458   -0.414028 0.000135406
          51   -0.417027   -0.414087 0.000144961
          52   -0.412208   -0.414051 0.000146606
          53   -0.412271   -0.414017 0.000147635
          54   -0.413933   -0.414016 0.000144909
          55   -0.414446   -0.414024 0.000142486
          56   -0.413292    -0.41401 0.000140538
          57   -0.415233   -0.414032 0.000139701
          58    -0.41388   -0.414029 0.000137317
          59    -0.41256   -0.414004  0.00013723
          60   -0.415798   -0.414034  0.00013816
          61   -0.415332   -0.414056 0.000137523
          62    -0.41318   -0.414041 0.000136029
          63   -0.414648   -0.414051 0.000134209
          64   -0.414382   -0.414056 0.000132212
          65   -0.416364   -0.414092 0.000134859
          66   -0.413847   -0.414088 0.000132867
          67   -0.413738   -0.414083 0.000130987
          68   -0.414414   -0.414088 0.000129151
          69   -0.415719   -0.414111 0.000129425
          70   -0.412016   -0.414081  0.00013099
          71   -0.413833   -0.414078 0.000129192
          72   -0.414745   -0.414087  0.00012773
          73     -0.4161   -0.414115 0.000128921
          74   -0.416271   -0.414144 0.000130429
          75   -0.416432   -0.414174 0.000132211
          76   -0.413601   -0.414167 0.000130686
          77    -0.41311   -0.414153 0.000129707
          78   -0.414222   -0.414154 0.000128047
          79   -0.414384   -0.414157 0.000126459
          80   -0.414131   -0.414157 0.000124879
          81   -0.413229   -0.414145 0.000123861
          82   -0.414649   -0.414151 0.000122503
          83   -0.413912   -0.414148 0.000121061
          84   -0.413934   -0.414146 0.000119647
          85   -0.413333   -0.414136  0.00011862
          86   -0.413739   -0.414132 0.000117331
          87   -0.415098   -0.414143 0.000116507
          88   -0.412883   -0.414128  0.00011606
          89   -0.413827   -0.414125 0.000114805
          90   -0.411856     -0.4141 0.000116264
          91   -0.414946   -0.414109 0.000115357
          92   -0.414693   -0.414115 0.000114278
          93   -0.415003   -0.414125 0.000113447
          94   -0.414174   -0.414126 0.000112241
          95   -0.413427   -0.414118   0.0001113
          96   -0.413553   -0.414112 0.000110296
          97   -0.414129   -0.414112 0.000109159
          98   -0.414854    -0.41412 0.000108307
          99   -0.415517   -0.414134 0.000108128
         100   -0.414357   -0.414136  0.00010707
