#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1         1.2         1.2           0
           2         1.2         1.2           0
           3         1.2         1.2           0
           4         1.2         1.2           0
           5         1.2         1.2           0
           6         1.2         1.2           0
           7         1.2         1.2           0
           8         1.2         1.2           0
           9         1.2         1.2           0
          10         1.2         1.2           0
          11         1.2         1.2           0
          12         1.2         1.2           0
          13         1.2         1.2 4.13284e-09
          14         1.2         1.2  3.9825e-09
          15         1.2         1.2 3.84746e-09
          16         1.2         1.2 3.72529e-09
          17         1.2         1.2 3.61406e-09
          18         1.2         1.2 4.96705e-09
          19         1.2         1.2 4.83458e-09
          20         1.2         1.2 4.71216e-09
          21         1.2         1.2  4.5986e-09
          22         1.2         1.2 5.50262e-09
          23         1.2         1.2 5.38167e-09
          24         1.2         1.2 5.26836e-09
          25         1.2         1.2 5.16191e-09
          26         1.2         1.2 5.06167e-09
          27         1.2         1.2 4.96705e-09
          28         1.2         1.2 6.29689e-09
          29         1.2         1.2 6.18737e-09
          30         1.2         1.2 6.08337e-09
          31         1.2         1.2 5.98445e-09
          32         1.2         1.2  5.8902e-09
          33         1.2         1.2 5.80027e-09
          34         1.2         1.2 5.71433e-09
          35         1.2         1.2 5.63211e-09
          36         1.2         1.2 5.55333e-09
          37         1.2         1.2 5.47778e-09
          38         1.2         1.2 5.40522e-09
          39         1.2         1.2 5.84472e-09
          40         1.2         1.2 5.77119e-09
          41         1.2         1.2 5.70038e-09
          42         1.2         1.2 5.63211e-09
          43         1.2         1.2 5.56623e-09
          44         1.2         1.2 5.50262e-09
          45         1.2         1.2 5.44113e-09
          46         1.2         1.2 5.81286e-09
          47         1.2         1.2 5.75069e-09
          48         1.2         1.2 6.08337e-09
          49         1.2         1.2 6.38621e-09
          50         1.2         1.2 6.32203e-09
          51         1.2         1.2 6.59835e-09
          52         1.2         1.2 6.53459e-09
          53         1.2         1.2 6.78857e-09
          54         1.2         1.2 6.72542e-09
          55         1.2         1.2 6.96032e-09
          56         1.2         1.2  6.8979e-09
          57         1.2         1.2 6.83712e-09
          58         1.2         1.2 7.05469e-09
          59         1.2         1.2 6.99465e-09
          60         1.2         1.2 7.19794e-09
          61         1.2         1.2  7.1387e-09
          62         1.2         1.2  7.0809e-09
          63         1.2         1.2 7.27102e-09
          64         1.2         1.2 7.21399e-09
          65         1.2         1.2 7.15829e-09
          66         1.2         1.2 7.33682e-09
          67         1.2         1.2 7.28187e-09
          68         1.2         1.2 7.22812e-09
          69         1.2         1.2 7.39639e-09
          70         1.2         1.2 7.34337e-09
          71         1.2         1.2 7.29148e-09
          72         1.2         1.2 7.24066e-09
          73         1.2         1.2 7.39937e-09
          74         1.2         1.2 7.34921e-09
          75         1.2         1.2 7.30005e-09
          76         1.2         1.2 7.25186e-09
          77         1.2         1.2 7.40204e-09
          78         1.2         1.2 7.35444e-09
          79         1.2         1.2 7.30774e-09
          80         1.2         1.2 7.26193e-09
          81         1.2         1.2 7.21696e-09
          82         1.2         1.2 7.35916e-09
          83         1.2         1.2 7.31469e-09
          84         1.2         1.2 7.27102e-09
          85         1.2         1.2 7.22812e-09
          86         1.2         1.2  7.7061e-09
          87         1.2         1.2 7.82647e-09
          88         1.2         1.2 7.78188e-09
          89         1.2         1.2 7.57511e-09
          90         1.2         1.2 7.53291e-09
          91         1.2         1.2 7.65253e-09
          92         1.2         1.2 7.61083e-09
          93         1.2         1.2  7.5698e-09
          94         1.2         1.2 7.52942e-09
          95         1.2         1.2 7.48969e-09
          96         1.2         1.2 7.45058e-09
          97         1.2         1.2 7.41208e-09
          98         1.2         1.2 7.52622e-09
          99         1.2         1.2 7.48812e-09
         100         1.2         1.2 7.45058e-09
