#		 BLOCK:	 ACTUAL_TE:		TE_AVE:			ERROR:
           1     1.38606     1.38606           0
           2     1.38581     1.38593  8.8708e-05
           3     1.38571     1.38586 8.46183e-05
           4     1.38682      1.3861 0.000216595
           5     1.38497     1.38587 0.000266102
           6     1.38452     1.38565 0.000302069
           7     1.38812       1.386 0.000417551
           8     1.38589     1.38599 0.000365576
           9     1.38644     1.38604 0.000328329
          10     1.38581     1.38601 0.000296274
          11     1.38597     1.38601 0.000269371
          12     1.38628     1.38603 0.000247847
          13     1.38638     1.38606 0.000230239
          14     1.38507     1.38599 0.000224474
          15     1.38765      1.3861 0.000235394
          16     1.38455       1.386 0.000239832
          17     1.38661     1.38604 0.000228331
          18     1.38625     1.38605 0.000215957
          19     1.38698      1.3861 0.000210013
          20     1.38422       1.386  0.00021949
          21      1.3855     1.38598  0.00021036
          22     1.38527     1.38595 0.000203268
          23     1.38614     1.38596 0.000194594
          24     1.38582     1.38595 0.000186567
          25     1.38458      1.3859 0.000186957
          26     1.38626     1.38591 0.000180291
          27     1.38569      1.3859 0.000173803
          28      1.3868     1.38593 0.000170541
          29      1.3864     1.38595 0.000165429
          30     1.38613     1.38596 0.000160028
          31     1.38469     1.38592 0.000159994
          32     1.38596     1.38592 0.000155001
          33     1.38672     1.38594 0.000152218
          34     1.38454      1.3859  0.00015326
          35     1.38607     1.38591  0.00014896
          36     1.38631     1.38592 0.000145249
          37     1.38664     1.38594 0.000142647
          38     1.38914     1.38602 0.000161964
          39     1.38561     1.38601 0.000158161
          40     1.38618     1.38601 0.000154263
          41     1.38547       1.386 0.000151069
          42     1.38703     1.38603 0.000149448
          43     1.38715     1.38605  0.00014824
          44      1.3859     1.38605 0.000144909
          45     1.38511     1.38603 0.000143186
          46     1.38688     1.38605 0.000141268
          47     1.38541     1.38603 0.000138914
          48     1.38525     1.38602 0.000136964
          49     1.38528       1.386 0.000134987
          50     1.38454     1.38597 0.000135406
          51     1.38297     1.38591 0.000144961
          52     1.38779     1.38595 0.000146606
          53     1.38773     1.38598 0.000147635
          54     1.38607     1.38598 0.000144909
          55     1.38555     1.38598 0.000142486
          56     1.38671     1.38599 0.000140538
          57     1.38477     1.38597 0.000139701
          58     1.38612     1.38597 0.000137317
          59     1.38744       1.386  0.00013723
          60      1.3842     1.38597  0.00013816
          61     1.38467     1.38594 0.000137523
          62     1.38682     1.38596 0.000136029
          63     1.38535     1.38595 0.000134209
          64     1.38562     1.38594 0.000132212
          65     1.38364     1.38591 0.000134859
          66     1.38615     1.38591 0.000132867
          67     1.38626     1.38592 0.000130987
          68     1.38559     1.38591 0.000129151
          69     1.38428     1.38589 0.000129425
          70     1.38798     1.38592  0.00013099
          71     1.38617     1.38592 0.000129192
          72     1.38525     1.38591  0.00012773
          73      1.3839     1.38589 0.000128921
          74     1.38373     1.38586 0.000130429
          75     1.38357     1.38583 0.000132211
          76      1.3864     1.38583 0.000130686
          77     1.38689     1.38585 0.000129707
          78     1.38578     1.38585 0.000128047
          79     1.38562     1.38584 0.000126459
          80     1.38587     1.38584 0.000124879
          81     1.38677     1.38585 0.000123861
          82     1.38535     1.38585 0.000122503
          83     1.38609     1.38585 0.000121061
          84     1.38607     1.38585 0.000119647
          85     1.38667     1.38586  0.00011862
          86     1.38626     1.38587 0.000117331
          87      1.3849     1.38586 0.000116507
          88     1.38712     1.38587  0.00011606
          89     1.38617     1.38587 0.000114805
          90     1.38814      1.3859 0.000116264
          91     1.38505     1.38589 0.000115357
          92     1.38531     1.38588 0.000114278
          93       1.385     1.38587 0.000113447
          94     1.38583     1.38587 0.000112241
          95     1.38657     1.38588   0.0001113
          96     1.38645     1.38589 0.000110296
          97     1.38587     1.38589 0.000109159
          98     1.38515     1.38588 0.000108307
          99     1.38448     1.38587 0.000108128
         100     1.38564     1.38586  0.00010707
