# DISTANCE:		AVE_GOFR:	 ERROR:
           0           0           0
           1           0           0
           2           0           0
           3           0           0
           4           0           0
           5           0           0
           6           0           0
           7           0           0
           8           0           0
           9           0           0
          10           0           0
          11           0           0
          12           0           0
          13           0           0
          14           0           0
          15           0           0
          16           0           0
          17           0           0
          18           0           0
          19           0           0
          20           0           0
          21           0           0
          22           0           0
          23           0           0
          24           0           0
          25           0           0
          26           0           0
          27           0           0
          28           0           0
          29           0           0
          30           0           0
          31           0           0
          32           0           0
          33           0           0
          34           0           0
          35           0           0
          36           0           0
          37           0           0
          38           0           0
          39           0           0
          40           0           0
          41           0           0
          42           0           0
          43           0           0
          44           0           0
          45           0           0
          46           0           0
          47           0           0
          48           0           0
          49           0           0
          50           0           0
          51           0           0
          52           0           0
          53           0           0
          54           0           0
          55           0           0
          56           0           0
          57           0           0
          58           0           0
          59           0           0
          60           0           0
          61           0           0
          62           0           0
          63           0           0
          64           0           0
          65           0           0
          66           0           0
          67           0           0
          68           0           0
          69           0           0
          70           0           0
          71           0           0
          72           0           0
          73           0           0
          74           0           0
          75           0           0
          76           0           0
          77           0           0
          78           0           0
          79           0           0
          80           0           0
          81           0           0
          82           0           0
          83           0           0
          84           0           0
          85           0           0
          86           0           0
          87           0           0
          88           0           0
          89           0           0
          90           0           0
          91           0           0
          92           0           0
          93           0           0
          94           0           0
          95           0           0
          96           0           0
          97           0           0
          98           0           0
          99           0           0
         100           0           0
         101           0           0
         102           0           0
         103           0           0
         104           0           0
         105           0           0
         106           0           0
         107           0           0
         108           0           0
         109           0           0
         110           0           0
         111           0           0
         112           0           0
         113           0           0
         114           0           0
         115           0           0
         116           0           0
         117           0           0
         118           0           0
         119           0           0
         120           0           0
         121           0           0
         122           0           0
         123           0           0
         124           0           0
         125           0           0
         126           0           0
         127           0           0
         128           0           0
         129           0           0
         130           0           0
         131           0           0
         132           0           0
         133           0           0
         134           0           0
         135 0.000249707 0.000174997
         136 0.000193334 0.000112099
         137 0.000796773 0.000255585
         138  0.00211123 0.000519397
         139  0.00488013 0.000715472
         140  0.00936192  0.00106043
         141   0.0167373  0.00127384
         142   0.0306627  0.00167308
         143   0.0525434  0.00243849
         144    0.080802    0.003536
         145    0.122234  0.00421592
         146    0.174916  0.00492352
         147    0.240774  0.00524931
         148    0.321584  0.00557548
         149    0.409189  0.00703139
         150    0.503347  0.00870364
         151    0.609059   0.0084612
         152    0.737724  0.00881985
         153    0.853604  0.00945259
         154    0.980879   0.0106161
         155     1.10963   0.0119214
         156     1.25356   0.0132331
         157      1.3771   0.0129679
         158     1.49897   0.0147752
         159     1.59755   0.0154424
         160      1.6861     0.01703
         161     1.77788   0.0165115
         162       1.844   0.0168302
         163     1.91186   0.0191271
         164     1.99402   0.0176259
         165      2.0431   0.0202047
         166     2.10099   0.0201663
         167     2.12496    0.020855
         168     2.16874   0.0230503
         169     2.20694    0.022216
         170     2.21308   0.0240535
         171     2.21951   0.0242014
         172     2.21255   0.0270314
         173     2.21133    0.029647
         174     2.23213   0.0279622
         175     2.20955   0.0309717
         176     2.20205   0.0295875
         177     2.19554   0.0284331
         178     2.18546   0.0264445
         179     2.15673   0.0258639
         180     2.13972   0.0245329
         181      2.1234    0.025137
         182     2.09534   0.0243685
         183       2.069    0.022805
         184     2.06519   0.0227311
         185     2.04169    0.022644
         186     2.00315    0.022934
         187     1.98313   0.0219783
         188     1.96845   0.0221045
         189       1.936   0.0235639
         190     1.89998   0.0204673
         191      1.8586   0.0188825
         192     1.85277   0.0185867
         193     1.83655   0.0198138
         194     1.81052    0.017675
         195     1.78923   0.0176137
         196     1.75337   0.0178802
         197     1.74348   0.0168356
         198     1.72529   0.0160094
         199     1.69338   0.0157755
         200     1.68142   0.0157366
         201     1.66902   0.0158824
         202     1.64161   0.0149901
         203     1.61988   0.0137183
         204     1.59661   0.0135116
         205     1.57718   0.0136498
         206     1.57475   0.0138536
         207      1.5461   0.0136936
         208     1.54988   0.0137737
         209     1.52149   0.0136557
         210     1.50825   0.0137667
         211     1.48184   0.0128868
         212     1.47529    0.013109
         213     1.45254   0.0132406
         214     1.44253   0.0131491
         215     1.43764   0.0143115
         216     1.42894   0.0149782
         217     1.40439   0.0140248
         218     1.38972   0.0140453
         219     1.36803   0.0139539
         220      1.3503   0.0127101
         221     1.34813   0.0126069
         222     1.34226   0.0123567
         223     1.33457    0.011756
         224     1.31766   0.0122298
         225     1.30521   0.0125706
         226     1.29679   0.0119774
         227     1.27953    0.011813
         228      1.2695   0.0107978
         229      1.2698   0.0108216
         230     1.26118   0.0107962
         231     1.25568   0.0109896
         232     1.24847   0.0112993
         233     1.24131   0.0109286
         234     1.24021   0.0108964
         235     1.22322  0.00991209
         236     1.21897  0.00982886
         237     1.21998   0.0106661
         238     1.20592   0.0103199
         239     1.21241  0.00983278
         240     1.20439  0.00994635
         241      1.2026  0.00959777
         242      1.2015  0.00970498
         243     1.19086  0.00921025
         244     1.17727  0.00967184
         245     1.16749   0.0100028
         246     1.16817  0.00990869
         247     1.16112  0.00999945
         248     1.16201  0.00916979
         249     1.16355   0.0100015
         250     1.16154   0.0103024
         251     1.16125   0.0105686
         252     1.14668  0.00946774
         253     1.14073  0.00898583
         254      1.1423   0.0095585
         255     1.13706  0.00922503
         256     1.12803  0.00878421
         257     1.12288  0.00917622
         258     1.12132   0.0087501
         259       1.112  0.00868969
         260     1.11123  0.00863383
         261     1.11068  0.00879202
         262     1.10939  0.00889983
         263     1.11035  0.00888103
         264     1.11484  0.00957028
         265      1.1057  0.00889603
         266     1.10527  0.00896242
         267     1.10539  0.00930976
         268      1.1012  0.00952689
         269      1.0985   0.0090429
         270     1.10441  0.00908622
         271     1.09064  0.00894777
         272     1.09538  0.00961643
         273     1.08393  0.00926015
         274     1.07796  0.00913701
         275     1.08267  0.00959421
         276     1.07718  0.00901651
         277     1.08224  0.00886028
         278     1.08112  0.00871846
         279     1.08192  0.00902255
         280      1.0711  0.00832042
         281     1.07145  0.00795737
         282      1.0792  0.00816101
         283     1.07514  0.00779882
         284     1.07719  0.00760377
         285     1.06955  0.00777235
         286     1.06611  0.00786916
         287     1.06288  0.00670901
         288     1.06163  0.00705945
         289     1.06658  0.00773448
         290     1.06545  0.00776411
         291     1.06402  0.00795219
         292     1.06302  0.00788925
         293     1.05962  0.00788155
         294     1.05697  0.00802947
         295     1.05682  0.00820641
         296     1.05896  0.00901715
         297     1.05558  0.00943105
         298     1.04916  0.00801411
         299     1.05239  0.00803066
         300     1.05703  0.00848389
         301     1.05002  0.00848268
         302     1.04691  0.00825066
         303     1.04651  0.00828237
         304     1.04855  0.00831168
         305     1.05161  0.00804164
         306     1.05172  0.00849486
         307     1.05542  0.00867212
         308     1.05478  0.00866683
         309     1.05596  0.00828437
         310     1.05667  0.00808422
