#		 BLOCK:	 ACTUAL_KE:		KE_AVE:			ERROR:
           1     1.77707     1.77707           0
           2     1.80415     1.79061  0.00957288
           3     1.80467     1.79529  0.00744147
           4      1.7997      1.7964   0.0056622
           5     1.79465     1.79605  0.00454047
           6     1.78788     1.79469  0.00398275
           7     1.79575     1.79484  0.00341671
           8     1.78427     1.79352  0.00323496
           9       1.775     1.79146  0.00346866
          10     1.77166     1.78948  0.00364323
          11     1.80456     1.79085  0.00356075
          12     1.80996     1.79244  0.00360261
          13      1.8067     1.79354  0.00348842
          14     1.77656     1.79233   0.0034436
          15     1.76543     1.79053  0.00365134
          16     1.77079      1.7893  0.00362566
          17     1.79819     1.78982  0.00344985
          18     1.78962     1.78981  0.00325821
          19     1.81715     1.79125  0.00338952
          20     1.77484     1.79043  0.00331793
          21     1.74269     1.78816    0.003861
          22     1.79447     1.78844  0.00369616
          23       1.781     1.78812  0.00354961
          24     1.78376     1.78794  0.00340634
          25     1.76285     1.78694  0.00341467
          26     1.79962     1.78742  0.00331801
          27     1.76683     1.78666  0.00328159
          28     1.78897     1.78674  0.00316543
          29     1.83101     1.78827  0.00340445
          30     1.78851     1.78828  0.00329098
          31     1.78437     1.78815  0.00318724
          32       1.812      1.7889  0.00317359
          33     1.78173     1.78868  0.00308485
          34     1.77104     1.78816  0.00303744
          35     1.80883     1.78875  0.00300751
          36      1.8214     1.78966  0.00305769
          37      1.8102     1.79021  0.00302501
          38     1.78417     1.79005  0.00294959
          39     1.83253     1.79114  0.00306843
          40     1.79563     1.79126  0.00299377
          41     1.76925     1.79072  0.00296849
          42     1.82679     1.79158  0.00301949
          43     1.83545      1.7926  0.00311686
          44      1.7998     1.79276  0.00305031
          45     1.80079     1.79294  0.00298774
          46     1.79476     1.79298  0.00292305
          47     1.79894     1.79311  0.00286361
          48     1.80342     1.79332  0.00281199
          49      1.7973      1.7934  0.00275578
          50     1.76618     1.79286  0.00275392
          51     1.80519      1.7931  0.00271051
          52     1.76963     1.79265  0.00269571
          53      1.8053     1.79289   0.0026554
          54     1.78158     1.79268  0.00261448
          55     1.80065     1.79282  0.00257095
          56     1.80433     1.79303  0.00253325
          57     1.81104     1.79334  0.00250843
          58     1.79049     1.79329  0.00246566
          59     1.85511     1.79434  0.00263709
          60     1.77963      1.7941   0.0026045
          61     1.83587     1.79478  0.00265032
          62      1.8006     1.79488  0.00260923
          63     1.79005      1.7948  0.00256894
          64     1.77112     1.79443   0.0025553
          65     1.76403     1.79396  0.00255844
          66      1.8167     1.79431  0.00254277
          67     1.82022     1.79469  0.00253407
          68     1.78007     1.79448  0.00250592
          69     1.82936     1.79498  0.00252008
          70     1.87313      1.7961  0.00272016
          71     1.81202     1.79632  0.00269107
          72     1.74973     1.79568  0.00273041
          73     1.80125     1.79575  0.00269407
          74     1.82504     1.79615  0.00268658
          75     1.76868     1.79578  0.00267561
          76     1.78601     1.79565  0.00264349
          77     1.82451     1.79603  0.00263559
          78     1.81337     1.79625  0.00261116
          79     1.76765     1.79589  0.00260308
          80     1.81208     1.79609   0.0025784
          81     1.81408     1.79631  0.00255612
          82     1.74838     1.79573  0.00259093
          83     1.77275     1.79545  0.00257446
          84     1.78047     1.79527  0.00254998
          85     1.77218       1.795  0.00253442
          86     1.82915      1.7954  0.00253585
          87     1.78274     1.79525  0.00251088
          88     1.81693      1.7955   0.0024944
          89     1.81358      1.7957  0.00247463
          90     1.76465     1.79536  0.00247108
          91     1.82105     1.79564     0.00246
          92      1.8025     1.79571  0.00243438
          93     1.80694     1.79584   0.0024112
          94     1.83125     1.79621   0.0024148
          95     1.77919     1.79603  0.00239602
          96     1.78551     1.79592  0.00237357
          97     1.79025     1.79586  0.00234982
          98      1.8559     1.79648  0.00240437
          99     1.79406     1.79645   0.0023802
         100     1.77265     1.79621  0.00236828
