#		 BLOCK:	ACTUAL_PE:		 PE_AVE:			ERROR:
           1   -0.388228   -0.388228           0
           2   -0.415272    -0.40175  0.00956134
           3   -0.415954   -0.406485  0.00745484
           4   -0.410983   -0.407609   0.0056753
           5   -0.405886   -0.407265  0.00455069
           6    -0.39912   -0.405907  0.00398959
           7   -0.406969   -0.406059  0.00342253
           8   -0.395562   -0.404747  0.00323644
           9   -0.386243   -0.402691  0.00346894
          10    -0.38295   -0.400717  0.00364068
          11   -0.415874   -0.402095  0.00356094
          12   -0.421218   -0.403688  0.00360318
          13   -0.417924   -0.404783  0.00348846
          14   -0.387777   -0.403569  0.00344429
          15    -0.37662   -0.401772  0.00365328
          16   -0.382042   -0.400539   0.0036271
          17   -0.409374   -0.401059  0.00345077
          18   -0.400922   -0.401051  0.00325907
          19   -0.428471   -0.402494  0.00339206
          20   -0.386017    -0.40167    0.003321
          21    -0.35391   -0.399396  0.00386391
          22   -0.405726   -0.399684  0.00369897
          23   -0.392183   -0.399358   0.0035525
          24   -0.394971   -0.399175  0.00340917
          25   -0.374079   -0.398171   0.0034174
          26    -0.41082   -0.398658  0.00332041
          27   -0.378035   -0.397894  0.00328411
          28   -0.400151   -0.397974  0.00316781
          29   -0.442238   -0.399501  0.00340649
          30   -0.399779    -0.39951  0.00329296
          31     -0.3958    -0.39939  0.00318891
          32   -0.423246   -0.400136   0.0031752
          33   -0.392963   -0.399918  0.00308641
          34   -0.382327   -0.399401  0.00303869
          35   -0.420086   -0.399992   0.0030088
          36   -0.432817   -0.400904  0.00306026
          37   -0.421473    -0.40146  0.00302763
          38   -0.395406     -0.4013  0.00295214
          39    -0.44387   -0.402392  0.00307162
          40    -0.40692   -0.402505  0.00299691
          41   -0.380465   -0.401968  0.00297164
          42    -0.43804   -0.402826  0.00302245
          43   -0.446651   -0.403846  0.00311926
          44   -0.410954   -0.404007  0.00305255
          45   -0.412012   -0.404185   0.0029899
          46   -0.406015   -0.404225  0.00292516
          47   -0.410219   -0.404352   0.0028657
          48   -0.414682   -0.404568  0.00281407
          49   -0.408542   -0.404649  0.00275781
          50    -0.37742   -0.404104   0.0027559
          51   -0.416377   -0.404345  0.00271234
          52   -0.380781   -0.403892  0.00269777
          53    -0.41659   -0.404131  0.00265749
          54   -0.392791   -0.403921  0.00261656
          55   -0.411841   -0.404065  0.00257295
          56    -0.41552    -0.40427  0.00253512
          57   -0.422277   -0.404586  0.00251025
          58   -0.401806   -0.404538  0.00246743
          59   -0.466429   -0.405587  0.00263919
          60   -0.390753   -0.405339  0.00260676
          61   -0.447025   -0.406023  0.00265209
          62   -0.411942   -0.406118  0.00261103
          63   -0.401294   -0.406042  0.00257071
          64   -0.382259    -0.40567  0.00255726
          65   -0.375252   -0.405202  0.00256037
          66   -0.427922   -0.405546  0.00254462
          67   -0.431479   -0.405933   0.0025359
          68   -0.391355   -0.405719  0.00250765
          69   -0.440626   -0.406225  0.00252183
          70   -0.484291    -0.40734  0.00272124
          71   -0.423144   -0.407563    0.002692
          72   -0.360906   -0.406915  0.00273149
          73   -0.412462   -0.406991  0.00269513
          74    -0.43634   -0.407387  0.00268774
          75   -0.379908   -0.407021  0.00267676
          76   -0.397263   -0.406893  0.00264462
          77   -0.435868   -0.407269  0.00263691
          78   -0.424699   -0.407492  0.00261255
          79   -0.378868    -0.40713  0.00260449
          80   -0.423353   -0.407333  0.00257981
          81   -0.425422   -0.407556  0.00255761
          82   -0.359553   -0.406971  0.00259255
          83   -0.383925   -0.406693  0.00257614
          84   -0.391675   -0.406514  0.00255167
          85   -0.383452   -0.406243  0.00253603
          86   -0.440518   -0.406641  0.00253767
          87   -0.393966   -0.406496  0.00251268
          88   -0.428083   -0.406741  0.00249607
          89    -0.42488   -0.406945  0.00247633
          90   -0.375904     -0.4066  0.00247272
          91   -0.432316   -0.406883  0.00246164
          92   -0.413758   -0.406957  0.00243602
          93   -0.418311   -0.407079  0.00241288
          94    -0.44256   -0.407457  0.00241655
          95   -0.390443   -0.407278  0.00239774
          96   -0.396747   -0.407168  0.00237528
          97   -0.401385   -0.407108  0.00235154
          98   -0.467149   -0.407721  0.00240603
          99    -0.40522   -0.407696  0.00238186
         100   -0.383812   -0.407457  0.00236998
