#		 BLOCK:	 ACTUAL_P:		 P_AVE:			 ERROR:
           1    0.049757    0.049757           0
           2   0.0479218   0.0488394  0.00064884
           3   0.0495395   0.0490728 0.000472668
           4    0.049261   0.0491198 0.000356836
           5   0.0490276   0.0491014 0.000285945
           6    0.049759    0.049211 0.000258439
           7   0.0499376   0.0493148 0.000241467
           8   0.0497009   0.0493631 0.000216054
           9   0.0490777   0.0493314  0.00019436
          10   0.0492065   0.0493189 0.000175324
          11   0.0494292   0.0493289 0.000159673
          12   0.0507943    0.049451 0.000187329
          13    0.049494   0.0494543 0.000172948
          14   0.0489384   0.0494175 0.000164475
          15   0.0485376   0.0493588 0.000163636
          16   0.0492081   0.0493494  0.00015368
          17    0.049212   0.0493413 0.000144852
          18   0.0487391   0.0493079 0.000140616
          19   0.0510048   0.0493972 0.000159068
          20   0.0489569   0.0493751 0.000152631
          21   0.0503501   0.0494216  0.00015226
          22   0.0499044   0.0494435 0.000146912
          23   0.0509169   0.0495076 0.000153859
          24   0.0494395   0.0495047 0.000147474
          25   0.0509241   0.0495615 0.000152112
          26   0.0502009   0.0495861 0.000148237
          27   0.0493835   0.0495786 0.000142936
          28   0.0503618   0.0496066 0.000140541
          29   0.0497636    0.049612 0.000135799
          30   0.0475586   0.0495435 0.000147518
          31   0.0501575   0.0495634 0.000144082
          32   0.0488344   0.0495406 0.000141369
          33    0.048024   0.0494946 0.000144362
          34   0.0485773   0.0494676 0.000142615
          35   0.0483409   0.0494354 0.000142128
          36   0.0491965   0.0494288 0.000138335
          37   0.0505834     0.04946  0.00013807
          38   0.0491742   0.0494525 0.000134642
          39   0.0499444   0.0494651 0.000131779
          40   0.0508694   0.0495002 0.000133079
          41   0.0489239   0.0494862 0.000130573
          42   0.0491217   0.0494775 0.000127752
          43   0.0496055   0.0494805 0.000124816
          44   0.0490892   0.0494716 0.000122295
          45   0.0494441    0.049471 0.000119579
          46   0.0511061   0.0495065 0.000122149
          47   0.0491447   0.0494988 0.000119792
          48    0.049915   0.0495075  0.00011761
          49   0.0493385    0.049504 0.000115261
          50   0.0488973   0.0494919 0.000113592
          51   0.0488191   0.0494787 0.000112128
          52   0.0475162    0.049441  0.00011615
          53   0.0495632   0.0494433 0.000113981
          54   0.0484532   0.0494249 0.000113336
          55   0.0512125   0.0494574 0.000115841
          56   0.0495471    0.049459 0.000113784
          57   0.0498654   0.0494662 0.000112011
          58   0.0494092   0.0494652 0.000110084
          59   0.0495812   0.0494671 0.000108236
          60   0.0497591    0.049472 0.000106541
          61   0.0496045   0.0494742 0.000104817
          62   0.0492849   0.0494711  0.00010317
          63   0.0479689   0.0494473 0.000104252
          64   0.0496562   0.0494505 0.000102674
          65   0.0498108   0.0494561 0.000101244
          66   0.0506157   0.0494737 0.000101223
          67   0.0491258   0.0494685  9.9845e-05
          68   0.0486181    0.049456 9.91568e-05
          69   0.0496159   0.0494583 9.77469e-05
          70   0.0506555   0.0494754 9.78354e-05
          71   0.0500228   0.0494831 9.67608e-05
          72   0.0470841   0.0494498 0.000100991
          73   0.0491815   0.0494461 9.96742e-05
          74   0.0496034   0.0494482 9.83499e-05
          75   0.0482016   0.0494316 9.84332e-05
          76   0.0479526   0.0494121 9.90431e-05
          77   0.0488245   0.0494045 9.80504e-05
          78   0.0502012   0.0494147 9.73239e-05
          79   0.0491404   0.0494113 9.61539e-05
          80   0.0496004   0.0494136  9.4981e-05
          81   0.0504006   0.0494258 9.45867e-05
          82   0.0506775   0.0494411  9.4657e-05
          83   0.0495618   0.0494425 9.35277e-05
          84   0.0494581   0.0494427 9.24145e-05
          85   0.0478215   0.0494236 9.32748e-05
          86   0.0495799   0.0494255 9.22079e-05
          87   0.0512108    0.049446 9.34036e-05
          88    0.049443   0.0494459 9.23422e-05
          89   0.0499719   0.0494518 9.14936e-05
          90   0.0502248   0.0494604 9.08791e-05
          91   0.0502879   0.0494695 9.03342e-05
          92   0.0492101   0.0494667 8.93964e-05
          93   0.0501842   0.0494744 8.87674e-05
          94    0.049775   0.0494776 8.78806e-05
          95   0.0467422   0.0494488 9.15511e-05
          96   0.0510457   0.0494655 9.20963e-05
          97    0.049526   0.0494661 9.11489e-05
          98   0.0502446    0.049474 9.05644e-05
          99   0.0496802   0.0494761 8.96736e-05
         100   0.0483815   0.0494652 8.94424e-05
