#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1     1.18471     1.18471           0
           2     1.20276     1.19374  0.00638192
           3     1.20311     1.19686  0.00496098
           4      1.1998      1.1976   0.0037748
           5     1.19644     1.19737  0.00302698
           6     1.19192     1.19646  0.00265517
           7     1.19717     1.19656  0.00227781
           8     1.18951     1.19568  0.00215664
           9     1.18333     1.19431  0.00231244
          10     1.18111     1.19299  0.00242882
          11     1.20304      1.1939  0.00237383
          12     1.20664     1.19496  0.00240174
          13     1.20447     1.19569  0.00232561
          14     1.18438     1.19489  0.00229573
          15     1.17695     1.19369  0.00243423
          16     1.18053     1.19287  0.00241711
          17     1.19879     1.19322   0.0022999
          18     1.19308     1.19321  0.00217214
          19     1.21143     1.19417  0.00225968
          20     1.18322     1.19362  0.00221195
          21     1.16179      1.1921    0.002574
          22     1.19632      1.1923  0.00246411
          23     1.18733     1.19208  0.00236641
          24     1.18918     1.19196   0.0022709
          25     1.17524     1.19129  0.00227644
          26     1.19975     1.19162  0.00221201
          27     1.17789     1.19111  0.00218773
          28     1.19265     1.19116  0.00211028
          29     1.22067     1.19218  0.00226964
          30     1.19234     1.19219  0.00219399
          31     1.18958      1.1921  0.00212482
          32       1.208      1.1926  0.00211573
          33     1.18782     1.19245  0.00205657
          34     1.18069     1.19211  0.00202496
          35     1.20588      1.1925    0.002005
          36     1.21427     1.19311  0.00203846
          37      1.2068     1.19348  0.00201667
          38     1.18945     1.19337  0.00196639
          39     1.22169      1.1941  0.00204562
          40     1.19709     1.19417  0.00199585
          41      1.1795     1.19381    0.001979
          42     1.21786     1.19438    0.002013
          43     1.22363     1.19506   0.0020779
          44     1.19986     1.19517  0.00203354
          45     1.20053     1.19529  0.00199183
          46     1.19651     1.19532   0.0019487
          47     1.19929      1.1954  0.00190907
          48     1.20228     1.19555  0.00187466
          49      1.1982      1.1956  0.00183719
          50     1.17745     1.19524  0.00183594
          51     1.20346      1.1954  0.00180701
          52     1.17975      1.1951  0.00179714
          53     1.20353     1.19526  0.00177027
          54     1.18772     1.19512  0.00174299
          55     1.20043     1.19521  0.00171397
          56     1.20289     1.19535  0.00168883
          57     1.20736     1.19556  0.00167228
          58     1.19366     1.19553  0.00164377
          59     1.23674     1.19623  0.00175806
          60     1.18642     1.19606  0.00173634
          61     1.22392     1.19652  0.00176688
          62      1.2004     1.19658  0.00173949
          63     1.19337     1.19653  0.00171263
          64     1.18075     1.19629  0.00170354
          65     1.17602     1.19597  0.00170563
          66     1.21113      1.1962  0.00169518
          67     1.21348     1.19646  0.00168938
          68     1.18671     1.19632  0.00167061
          69     1.21957     1.19666  0.00168006
          70     1.24875      1.1974  0.00181344
          71     1.20801     1.19755  0.00179404
          72     1.16648     1.19712  0.00182027
          73     1.20084     1.19717  0.00179605
          74     1.21669     1.19743  0.00179105
          75     1.17912     1.19719  0.00178374
          76     1.19067      1.1971  0.00176233
          77     1.21634     1.19735  0.00175706
          78     1.20891      1.1975  0.00174077
          79     1.17843     1.19726  0.00173539
          80     1.20806     1.19739  0.00171893
          81     1.20939     1.19754  0.00170408
          82     1.16559     1.19715  0.00172729
          83     1.18183     1.19697  0.00171631
          84     1.18698     1.19685  0.00169999
          85     1.18145     1.19667  0.00168961
          86     1.21943     1.19693  0.00169057
          87     1.18849     1.19684  0.00167392
          88     1.21129       1.197  0.00166293
          89     1.20905     1.19714  0.00164976
          90     1.17643     1.19691  0.00164738
          91     1.21403     1.19709     0.00164
          92     1.20166     1.19714  0.00162292
          93     1.20463     1.19722  0.00160747
          94     1.22083     1.19747  0.00160987
          95     1.18613     1.19736  0.00159734
          96     1.19034     1.19728  0.00158238
          97      1.1935     1.19724  0.00156654
          98     1.23727     1.19765  0.00160291
          99     1.19604     1.19764   0.0015868
         100     1.18177     1.19748  0.00157885
