#		 BLOCK:	 ACTUAL_TE:		TE_AVE:			ERROR:
           1     1.38884     1.38884           0
           2     1.38887     1.38886 1.15374e-05
           3     1.38871     1.38881 3.94043e-05
           4     1.38872     1.38879 3.50951e-05
           5     1.38877     1.38878 2.82862e-05
           6     1.38876     1.38878 2.39174e-05
           7     1.38879     1.38878 2.05167e-05
           8     1.38871     1.38877 1.98515e-05
           9     1.38876     1.38877 1.77057e-05
          10     1.38871     1.38876  1.6811e-05
          11     1.38869     1.38876 1.65515e-05
          12     1.38875     1.38876 1.52031e-05
          13     1.38878     1.38876 1.41174e-05
          14     1.38879     1.38876 1.32512e-05
          15      1.3888     1.38876 1.27019e-05
          16     1.38875     1.38876 1.19394e-05
          17     1.38881     1.38876 1.15871e-05
          18      1.3887     1.38876 1.15375e-05
          19     1.38868     1.38876 1.17579e-05
          20     1.38882     1.38876 1.15791e-05
          21     1.38878     1.38876 1.10635e-05
          22     1.38875     1.38876 1.05773e-05
          23     1.38882     1.38876 1.03884e-05
          24     1.38879     1.38876 1.00327e-05
          25     1.38878     1.38876 9.64224e-06
          26      1.3888     1.38877 9.38282e-06
          27      1.3888     1.38877 9.11379e-06
          28     1.38882     1.38877 8.97769e-06
          29     1.38877     1.38877 8.66825e-06
          30     1.38873     1.38877 8.46356e-06
          31     1.38857     1.38876 1.03839e-05
          32     1.38876     1.38876 1.00607e-05
          33     1.38876     1.38876 9.75623e-06
          34     1.38871     1.38876 9.58103e-06
          35     1.38874     1.38876 9.32175e-06
          36     1.38859     1.38875  1.0202e-05
          37     1.38872     1.38875 9.96129e-06
          38     1.38876     1.38875 9.70147e-06
          39     1.38866     1.38875 9.76057e-06
          40     1.38871     1.38875   9.574e-06
          41     1.38878     1.38875 9.36859e-06
          42     1.38875     1.38875 9.14566e-06
          43     1.38879     1.38875 8.98982e-06
          44     1.38884     1.38875 9.01327e-06
          45     1.38878     1.38875 8.82969e-06
          46     1.38875     1.38875 8.63869e-06
          47     1.38872     1.38875 8.47997e-06
          48     1.38873     1.38875 8.31273e-06
          49     1.38876     1.38875 8.14405e-06
          50     1.38876     1.38875 7.98255e-06
          51     1.38881     1.38875  7.9097e-06
          52     1.38885     1.38876 7.94925e-06
          53     1.38871     1.38876  7.8424e-06
          54     1.38878     1.38876 7.71596e-06
          55      1.3888     1.38876  7.6257e-06
          56     1.38881     1.38876 7.55481e-06
          57     1.38876     1.38876 7.42232e-06
          58     1.38868     1.38876 7.41518e-06
          59     1.38868     1.38876 7.40332e-06
          60     1.38888     1.38876 7.56939e-06
          61     1.38885     1.38876 7.59092e-06
          62     1.38865     1.38876 7.65487e-06
          63     1.38876     1.38876 7.53361e-06
          64     1.38886     1.38876 7.58699e-06
          65     1.38877     1.38876 7.47404e-06
          66     1.38878     1.38876 7.36694e-06
          67     1.38875     1.38876 7.25965e-06
          68     1.38871     1.38876 7.18409e-06
          69     1.38874     1.38876 7.08743e-06
          70     1.38884     1.38876 7.08588e-06
          71     1.38887     1.38876 7.16738e-06
          72     1.38882     1.38876 7.11425e-06
          73     1.38879     1.38876 7.02794e-06
          74      1.3887     1.38876 6.98465e-06
          75     1.38877     1.38876 6.89235e-06
          76     1.38875     1.38876 6.80479e-06
          77     1.38864     1.38876 6.89504e-06
          78     1.38867     1.38876 6.90748e-06
          79     1.38878     1.38876 6.82591e-06
          80     1.38873     1.38876 6.75034e-06
          81     1.38866     1.38876 6.78145e-06
          82     1.38882     1.38876 6.74786e-06
          83     1.38882     1.38876 6.71333e-06
          84      1.3888     1.38876 6.64865e-06
          85     1.38873     1.38876 6.58102e-06
          86     1.38863     1.38876 6.67649e-06
          87     1.38878     1.38876 6.60325e-06
          88     1.38885     1.38876  6.6123e-06
          89      1.3887     1.38876 6.56922e-06
          90     1.38874     1.38876 6.49809e-06
          91     1.38873     1.38876 6.43291e-06
          92     1.38874     1.38876 6.36678e-06
          93     1.38863     1.38876 6.44001e-06
          94     1.38869     1.38876 6.41424e-06
          95     1.38875     1.38876 6.34716e-06
          96     1.38876     1.38876 6.28124e-06
          97     1.38886     1.38876  6.3161e-06
          98     1.38875     1.38876 6.25188e-06
          99     1.38884     1.38876 6.24215e-06
         100     1.38884     1.38876 6.23053e-06
