#		 BLOCK:	ACTUAL_PE:		 PE_AVE:			ERROR:
           1    -5.47201    -5.47201           0
           2    -5.47187    -5.47194 5.03559e-05
           3    -5.46515    -5.46968  0.00184751
           4    -5.46841    -5.46936  0.00141268
           5    -5.46827    -5.46914  0.00114702
           6    -5.46588     -5.4686  0.00107679
           7    -5.46539    -5.46814  0.00101561
           8    -5.46036    -5.46717  0.00127162
           9    -5.46793    -5.46725   0.0011331
          10    -5.46269     -5.4668  0.00110799
          11    -5.46647    -5.46677  0.00100766
          12    -5.46365    -5.46651 0.000956489
          13     -5.4665    -5.46651 0.000882913
          14    -5.46111    -5.46612 0.000900084
          15    -5.46764    -5.46622 0.000845759
          16    -5.46671    -5.46625 0.000793455
          17    -5.47506    -5.46677 0.000900047
          18    -5.45958    -5.46637 0.000934557
          19    -5.46052    -5.46606 0.000934748
          20    -5.45585    -5.46555  0.00101811
          21    -5.46748    -5.46564 0.000973752
          22    -5.45997    -5.46539 0.000963022
          23    -5.46884    -5.46554 0.000932772
          24    -5.46932    -5.46569 0.000907105
          25    -5.45941    -5.46544 0.000904994
          26    -5.46632    -5.46548 0.000870814
          27    -5.47018    -5.46565   0.0008558
          28      -5.463    -5.46556  0.00083047
          29    -5.46934    -5.46569 0.000812023
          30    -5.45882    -5.46546 0.000816597
          31    -5.46322    -5.46539 0.000793448
          32    -5.46577     -5.4654 0.000768746
          33    -5.46372    -5.46535 0.000747129
          34    -5.47641    -5.46567 0.000792856
          35    -5.46025    -5.46552 0.000785201
          36    -5.46477     -5.4655 0.000763666
          37    -5.45804    -5.46529 0.000769163
          38    -5.46225    -5.46521 0.000753073
          39    -5.46746    -5.46527 0.000735968
          40    -5.46786    -5.46534 0.000720412
          41    -5.46785     -5.4654 0.000705443
          42    -5.46461    -5.46538 0.000688898
          43    -5.46259    -5.46531 0.000675921
          44     -5.4602     -5.4652 0.000670465
          45    -5.45765    -5.46503 0.000676201
          46    -5.46767    -5.46509 0.000663929
          47    -5.47467    -5.46529 0.000680412
          48    -5.45957    -5.46517 0.000676596
          49    -5.45999    -5.46507 0.000670992
          50    -5.46573    -5.46508 0.000657701
          51    -5.46129    -5.46501 0.000648992
          52    -5.46965     -5.4651 0.000642626
          53    -5.46323    -5.46506 0.000631462
          54    -5.46451    -5.46505  0.00061985
          55    -5.45997    -5.46496 0.000615412
          56    -5.46666    -5.46499 0.000605171
          57    -5.46321    -5.46496 0.000595354
          58    -5.45274    -5.46475  0.00062124
          59    -5.46413    -5.46474 0.000610799
          60    -5.45494    -5.46457  0.00062207
          61    -5.46031     -5.4645 0.000615792
          62    -5.46947    -5.46458 0.000611058
          63    -5.47417    -5.46473 0.000620036
          64    -5.46272     -5.4647 0.000611144
          65    -5.46555    -5.46472 0.000601878
          66    -5.46675    -5.46475  0.00059355
          67    -5.46182     -5.4647 0.000586298
          68    -5.47068    -5.46479 0.000584218
          69    -5.47653    -5.46496 0.000599995
          70    -5.46171    -5.46491 0.000593222
          71    -5.46539    -5.46492 0.000584905
          72    -5.46784    -5.46496 0.000578185
          73    -5.45997    -5.46489   0.0005743
          74    -5.46524     -5.4649 0.000566559
          75    -5.45726     -5.4648 0.000568079
          76    -5.46212    -5.46476 0.000561697
          77    -5.46582    -5.46478  0.00055457
          78    -5.46749    -5.46481 0.000548547
          79    -5.45587     -5.4647 0.000553142
          80    -5.46942    -5.46476 0.000549368
          81    -5.47215    -5.46485 0.000550108
          82    -5.45422    -5.46472 0.000558466
          83    -5.47128     -5.4648 0.000557306
          84    -5.46245    -5.46477 0.000551369
          85    -5.46115    -5.46473 0.000546524
          86    -5.46467    -5.46473 0.000540169
          87    -5.46839    -5.46477 0.000535603
          88    -5.46944    -5.46482 0.000532146
          89    -5.46096    -5.46478 0.000527933
          90    -5.46792    -5.46481  0.00052322
          91    -5.46948    -5.46486 0.000519981
          92    -5.47583    -5.46498 0.000527807
          93    -5.46291    -5.46496 0.000522602
          94    -5.46679    -5.46498 0.000517405
          95    -5.45389    -5.46486 0.000524954
          96    -5.46544    -5.46487  0.00051952
          97    -5.46068    -5.46483 0.000515952
          98    -5.46583    -5.46484 0.000510789
          99    -5.46583    -5.46485 0.000505728
         100    -5.46408    -5.46484 0.000500728
