#	 N_BLOCK:	ACCEPTANCE:
           1    0.511756
           2    0.511201
           3    0.510856
           4    0.510668
           5    0.510476
           6    0.510303
           7    0.510368
           8    0.510228
           9     0.51027
          10    0.510171
          11    0.510201
          12    0.510245
          13    0.510251
          14    0.510151
          15    0.510134
          16    0.510122
          17    0.510256
          18    0.510248
          19    0.510217
          20    0.510113
          21    0.510137
          22    0.510097
          23    0.510119
          24    0.510168
          25    0.510138
          26     0.51011
          27    0.510171
          28    0.510165
          29    0.510181
          30     0.51014
          31    0.510122
          32    0.510108
          33    0.510102
          34    0.510166
          35    0.510125
          36    0.510139
          37    0.510104
          38    0.510093
          39    0.510117
          40    0.510115
          41    0.510107
          42    0.510103
          43      0.5101
          44    0.510077
          45    0.510034
          46     0.51002
          47     0.51004
          48    0.510026
          49    0.510019
          50    0.510025
          51    0.509999
          52    0.510028
          53    0.510058
          54    0.510053
          55    0.510064
          56    0.510064
          57    0.510066
          58    0.510035
          59    0.510037
          60    0.510024
          61    0.510019
          62    0.510021
          63    0.510018
          64    0.510009
          65    0.510017
          66    0.510008
          67    0.510006
          68    0.510005
          69    0.510012
          70    0.510004
          71    0.510004
          72    0.509996
          73    0.509993
          74     0.50999
          75     0.50997
          76    0.509968
          77    0.509974
          78    0.509968
          79    0.509953
          80    0.509948
          81    0.509955
          82    0.509942
          83     0.50995
          84    0.509949
          85    0.509947
          86    0.509946
          87    0.509955
          88    0.509961
          89     0.50996
          90     0.50996
          91    0.509971
          92    0.509975
          93    0.509976
          94    0.509985
          95    0.509984
          96    0.509988
          97    0.509977
          98    0.509974
          99    0.509978
         100    0.509985
