#		 BLOCK:	 ACTUAL_KE:		KE_AVE:			ERROR:
           1        1.65        1.65           0
           2        1.65        1.65           0
           3        1.65        1.65           0
           4        1.65        1.65           0
           5        1.65        1.65           0
           6        1.65        1.65           0
           7        1.65        1.65 7.96501e-09
           8        1.65        1.65 7.45058e-09
           9        1.65        1.65 7.02447e-09
          10        1.65        1.65   6.664e-09
          11        1.65        1.65 1.27078e-08
          12        1.65        1.65 8.60319e-09
          13        1.65        1.65 5.84472e-09
          14        1.65        1.65 5.63211e-09
          15        1.65        1.65 5.44113e-09
          16        1.65        1.65 5.26836e-09
          17        1.65        1.65 5.11106e-09
          18        1.65        1.65 8.60319e-09
          19        1.65        1.65 8.37373e-09
          20        1.65        1.65  8.1617e-09
          21        1.65        1.65 7.96501e-09
          22        1.65        1.65 8.98574e-09
          23        1.65        1.65 8.78823e-09
          24        1.65        1.65 8.60319e-09
          25        1.65        1.65 9.42432e-09
          26        1.65        1.65 9.24131e-09
          27        1.65        1.65 9.93411e-09
          28        1.65        1.65 1.12642e-08
          29        1.65        1.65 1.17397e-08
          30        1.65        1.65 1.15424e-08
          31        1.65        1.65 1.19689e-08
          32        1.65        1.65 1.17804e-08
          33        1.65        1.65 1.16005e-08
          34        1.65        1.65 1.19865e-08
          35        1.65        1.65  1.1814e-08
          36        1.65        1.65 1.16488e-08
          37        1.65        1.65 1.14903e-08
          38        1.65        1.65 1.18422e-08
          39        1.65        1.65  1.2626e-08
          40        1.65        1.65 1.15424e-08
          41        1.65        1.65 1.04074e-08
          42        1.65        1.65 1.02828e-08
          43        1.65        1.65 1.01625e-08
          44        1.65        1.65 8.98574e-09
          45        1.65        1.65 8.88534e-09
          46        1.65        1.65 7.61083e-09
          47        1.65        1.65 8.13271e-09
          48        1.65        1.65 6.80142e-09
          49        1.65        1.65 6.73166e-09
          50        1.65        1.65 4.21468e-09
          51        1.65        1.65 4.17316e-09
          52        1.65        1.65 2.92236e-09
          53        1.65        1.65 2.89466e-09
          54        1.65        1.65 4.96705e-09
          55        1.65        1.65 4.92169e-09
          56        1.65        1.65 4.87755e-09
          57        1.65        1.65 6.83712e-09
          58        1.65        1.65 6.77792e-09
          59        1.65        1.65 6.72024e-09
          60        1.65        1.65  8.1617e-09
          61        1.65        1.65 8.09453e-09
          62        1.65        1.65 8.02898e-09
          63        1.65        1.65 8.80565e-09
          64        1.65        1.65 8.73658e-09
          65        1.65        1.65 8.66912e-09
          66        1.65        1.65 9.70571e-09
          67        1.65        1.65   9.633e-09
          68        1.65        1.65 9.56191e-09
          69        1.65        1.65 9.49237e-09
          70        1.65        1.65  1.0075e-08
          71        1.65        1.65 1.00038e-08
          72        1.65        1.65 9.93411e-09
          73        1.65        1.65 9.86583e-09
          74        1.65        1.65 9.79894e-09
          75        1.65        1.65 1.06067e-08
          76        1.65        1.65 1.05367e-08
          77        1.65        1.65 1.04681e-08
          78        1.65        1.65 1.04007e-08
          79        1.65        1.65 1.03347e-08
          80        1.65        1.65  1.1051e-08
          81        1.65        1.65 1.09826e-08
          82        1.65        1.65 1.09154e-08
          83        1.65        1.65 1.08494e-08
          84        1.65        1.65 1.07847e-08
          85        1.65        1.65  1.0721e-08
          86        1.65        1.65 1.11325e-08
          87        1.65        1.65 1.10683e-08
          88        1.65        1.65 1.10052e-08
          89        1.65        1.65 1.09432e-08
          90        1.65        1.65 1.08823e-08
          91        1.65        1.65 1.08223e-08
          92        1.65        1.65 1.07633e-08
          93        1.65        1.65 1.13547e-08
          94        1.65        1.65 1.12941e-08
          95        1.65        1.65 1.10245e-08
          96        1.65        1.65  1.0967e-08
          97        1.65        1.65 1.06984e-08
          98        1.65        1.65 1.06437e-08
          99        1.65        1.65 1.03758e-08
         100        1.65        1.65 1.03238e-08
