#		 BLOCK:	 ACTUAL_P:		 P_AVE:			 ERROR:
           1     2.03716     2.03716           0
           2     2.03101     2.03408  0.00217254
           3     2.06392     2.04403  0.00824893
           4     2.07209     2.05105  0.00867144
           5     2.05495     2.05183  0.00697228
           6     2.07842     2.05626  0.00708005
           7     2.05928     2.05669  0.00608176
           8     2.10838     2.06315  0.00805256
           9     2.07322     2.06427  0.00723514
          10     2.10189     2.06803  0.00742531
          11     2.07268     2.06846  0.00676229
          12     2.07435     2.06895  0.00621658
          13     2.05545     2.06791  0.00582438
          14     2.09952     2.07017  0.00582966
          15     2.06727     2.06997  0.00544422
          16     2.09032     2.07125  0.00525035
          17     2.00522     2.06736  0.00621423
          18     2.10163     2.06927  0.00615377
          19      2.1042      2.0711  0.00609834
          20      2.1259     2.07384  0.00637925
          21     2.05882     2.07313  0.00611547
          22     2.11223     2.07491  0.00609028
          23     2.04851     2.07376  0.00593259
          24     2.04988     2.07276   0.0057682
          25     2.10528     2.07406  0.00568226
          26     2.07809     2.07422  0.00546582
          27     2.03671     2.07283  0.00543702
          28     2.08556     2.07328  0.00526183
          29     2.06217      2.0729  0.00509433
          30     2.10395     2.07394  0.00502856
          31     2.09479     2.07461  0.00491114
          32     2.06418     2.07428  0.00476846
          33      2.0809     2.07448  0.00462818
          34     2.01204     2.07265  0.00484275
          35     2.10292     2.07351  0.00478102
          36     2.06501     2.07328  0.00465404
          37     2.11998     2.07454  0.00469634
          38     2.10013     2.07521  0.00462079
          39     2.07405     2.07518   0.0045024
          40     2.05656     2.07472  0.00441386
          41     2.05649     2.07427  0.00432853
          42     2.07734     2.07434  0.00422609
          43     2.08275     2.07454  0.00413233
          44     2.12019     2.07558   0.0041666
          45     2.11379     2.07643  0.00415965
          46     2.06535     2.07619  0.00407619
          47     2.02383     2.07507  0.00413889
          48     2.08388     2.07526  0.00405672
          49     2.09146     2.07559  0.00398739
          50     2.07777     2.07563  0.00390788
          51     2.09601     2.07603  0.00385163
          52     2.04292     2.07539  0.00382985
          53      2.0867     2.07561  0.00376352
          54     2.09053     2.07588  0.00370397
          55     2.10117     2.07634  0.00366504
          56     2.07039     2.07624  0.00360114
          57     2.08292     2.07635  0.00353986
          58     2.14259      2.0775   0.0036584
          59     2.07346     2.07743  0.00359703
          60     2.13334     2.07836  0.00365581
          61     2.09964     2.07871  0.00361248
          62     2.06207     2.07844  0.00356417
          63     2.05097       2.078  0.00353416
          64     2.08763     2.07815  0.00348214
          65     2.07825     2.07816  0.00342856
          66     2.06509     2.07796  0.00338233
          67      2.0815     2.07801  0.00333226
          68     2.04961     2.07759  0.00330932
          69     2.03771     2.07701  0.00331145
          70     2.10275     2.07738   0.0032845
          71     2.05748      2.0771  0.00325017
          72     2.08092     2.07715  0.00320546
          73     2.09331     2.07738  0.00316918
          74     2.08267     2.07745  0.00312716
          75     2.12489     2.07808   0.0031488
          76     2.09873     2.07835  0.00311906
          77     2.07605     2.07832   0.0030787
          78     2.07022     2.07822  0.00304098
          79     2.12534     2.07881  0.00306042
          80     2.07654     2.07879  0.00302229
          81      2.0539     2.07848  0.00300056
          82       2.129      2.0791  0.00302657
          83     2.04111     2.07864   0.0030245
          84     2.08826     2.07875  0.00299067
          85     2.09983       2.079  0.00296575
          86     2.06962     2.07889  0.00293327
          87     2.05975     2.07867  0.00290779
          88       2.052     2.07837   0.0028905
          89     2.09315     2.07853  0.00286279
          90      2.0605     2.07833  0.00283798
          91     2.05073     2.07803  0.00282296
          92     2.02881      2.0775  0.00284251
          93     2.08974     2.07763  0.00281499
          94     2.06095     2.07745  0.00279063
          95     2.12004      2.0779  0.00279703
          96     2.05677     2.07768  0.00277653
          97     2.10035     2.07791  0.00275773
          98     2.07095     2.07784   0.0027305
          99     2.06616     2.07772  0.00270547
         100     2.09227     2.07787  0.00268232
