#		 BLOCK:	 ACTUAL_TE:		TE_AVE:			ERROR:
           1    -3.82201    -3.82201           0
           2    -3.82187    -3.82194 5.03559e-05
           3    -3.81515    -3.81968  0.00184751
           4    -3.81841    -3.81936  0.00141268
           5    -3.81827    -3.81914  0.00114702
           6    -3.81588     -3.8186  0.00107679
           7    -3.81539    -3.81814  0.00101561
           8    -3.81036    -3.81717  0.00127162
           9    -3.81793    -3.81725   0.0011331
          10    -3.81269     -3.8168  0.00110799
          11    -3.81647    -3.81677  0.00100766
          12    -3.81365    -3.81651 0.000956489
          13     -3.8165    -3.81651 0.000882913
          14    -3.81111    -3.81612 0.000900084
          15    -3.81764    -3.81622 0.000845759
          16    -3.81671    -3.81625 0.000793455
          17    -3.82506    -3.81677 0.000900047
          18    -3.80958    -3.81637 0.000934557
          19    -3.81052    -3.81606 0.000934748
          20    -3.80585    -3.81555  0.00101811
          21    -3.81748    -3.81564 0.000973752
          22    -3.80997    -3.81539 0.000963022
          23    -3.81884    -3.81554 0.000932772
          24    -3.81932    -3.81569 0.000907105
          25    -3.80941    -3.81544 0.000904994
          26    -3.81632    -3.81548 0.000870814
          27    -3.82018    -3.81565   0.0008558
          28      -3.813    -3.81556  0.00083047
          29    -3.81934    -3.81569 0.000812023
          30    -3.80882    -3.81546 0.000816597
          31    -3.81322    -3.81539 0.000793448
          32    -3.81577     -3.8154 0.000768746
          33    -3.81372    -3.81535 0.000747129
          34    -3.82641    -3.81567 0.000792856
          35    -3.81025    -3.81552 0.000785201
          36    -3.81477     -3.8155 0.000763666
          37    -3.80804    -3.81529 0.000769163
          38    -3.81225    -3.81521 0.000753073
          39    -3.81746    -3.81527 0.000735968
          40    -3.81786    -3.81534 0.000720412
          41    -3.81785     -3.8154 0.000705443
          42    -3.81461    -3.81538 0.000688898
          43    -3.81259    -3.81531 0.000675921
          44     -3.8102     -3.8152 0.000670465
          45    -3.80765    -3.81503 0.000676201
          46    -3.81767    -3.81509 0.000663929
          47    -3.82467    -3.81529 0.000680412
          48    -3.80957    -3.81517 0.000676596
          49    -3.80999    -3.81507 0.000670992
          50    -3.81573    -3.81508 0.000657701
          51    -3.81129    -3.81501 0.000648992
          52    -3.81965     -3.8151 0.000642626
          53    -3.81323    -3.81506 0.000631462
          54    -3.81451    -3.81505  0.00061985
          55    -3.80997    -3.81496 0.000615412
          56    -3.81666    -3.81499 0.000605171
          57    -3.81321    -3.81496 0.000595354
          58    -3.80274    -3.81475  0.00062124
          59    -3.81413    -3.81474 0.000610799
          60    -3.80494    -3.81457  0.00062207
          61    -3.81031     -3.8145 0.000615792
          62    -3.81947    -3.81458 0.000611058
          63    -3.82417    -3.81473 0.000620036
          64    -3.81272     -3.8147 0.000611144
          65    -3.81555    -3.81472 0.000601878
          66    -3.81675    -3.81475  0.00059355
          67    -3.81182     -3.8147 0.000586298
          68    -3.82068    -3.81479 0.000584218
          69    -3.82653    -3.81496 0.000599995
          70    -3.81171    -3.81491 0.000593222
          71    -3.81539    -3.81492 0.000584905
          72    -3.81784    -3.81496 0.000578185
          73    -3.80997    -3.81489   0.0005743
          74    -3.81524     -3.8149 0.000566559
          75    -3.80726     -3.8148 0.000568079
          76    -3.81212    -3.81476 0.000561697
          77    -3.81582    -3.81478  0.00055457
          78    -3.81749    -3.81481 0.000548547
          79    -3.80587     -3.8147 0.000553142
          80    -3.81942    -3.81476 0.000549368
          81    -3.82215    -3.81485 0.000550108
          82    -3.80422    -3.81472 0.000558466
          83    -3.82128     -3.8148 0.000557306
          84    -3.81245    -3.81477 0.000551369
          85    -3.81115    -3.81473 0.000546524
          86    -3.81467    -3.81473 0.000540169
          87    -3.81839    -3.81477 0.000535603
          88    -3.81944    -3.81482 0.000532146
          89    -3.81096    -3.81478 0.000527933
          90    -3.81792    -3.81481  0.00052322
          91    -3.81948    -3.81486 0.000519981
          92    -3.82583    -3.81498 0.000527807
          93    -3.81291    -3.81496 0.000522602
          94    -3.81679    -3.81498 0.000517405
          95    -3.80389    -3.81486 0.000524954
          96    -3.81544    -3.81487  0.00051952
          97    -3.81068    -3.81483 0.000515952
          98    -3.81583    -3.81484 0.000510789
          99    -3.81583    -3.81485 0.000505728
         100    -3.81408    -3.81484 0.000500728
