# DISTANCE:		AVE_GOFR:	 ERROR:
           0           0           0
           1           0           0
           2           0           0
           3           0           0
           4           0           0
           5           0           0
           6           0           0
           7           0           0
           8           0           0
           9           0           0
          10           0           0
          11           0           0
          12           0           0
          13           0           0
          14           0           0
          15           0           0
          16           0           0
          17           0           0
          18           0           0
          19           0           0
          20           0           0
          21           0           0
          22           0           0
          23           0           0
          24           0           0
          25           0           0
          26           0           0
          27           0           0
          28           0           0
          29           0           0
          30           0           0
          31           0           0
          32           0           0
          33           0           0
          34           0           0
          35           0           0
          36           0           0
          37           0           0
          38           0           0
          39           0           0
          40           0           0
          41           0           0
          42           0           0
          43           0           0
          44           0           0
          45           0           0
          46           0           0
          47           0           0
          48           0           0
          49           0           0
          50           0           0
          51           0           0
          52           0           0
          53           0           0
          54           0           0
          55           0           0
          56           0           0
          57           0           0
          58           0           0
          59           0           0
          60           0           0
          61           0           0
          62           0           0
          63           0           0
          64           0           0
          65           0           0
          66           0           0
          67           0           0
          68           0           0
          69           0           0
          70           0           0
          71           0           0
          72           0           0
          73           0           0
          74           0           0
          75           0           0
          76           0           0
          77           0           0
          78           0           0
          79           0           0
          80           0           0
          81           0           0
          82           0           0
          83           0           0
          84           0           0
          85           0           0
          86           0           0
          87           0           0
          88           0           0
          89           0           0
          90           0           0
          91           0           0
          92           0           0
          93           0           0
          94           0           0
          95           0           0
          96           0           0
          97           0           0
          98           0           0
          99           0           0
         100           0           0
         101           0           0
         102           0           0
         103           0           0
         104           0           0
         105           0           0
         106           0           0
         107           0           0
         108           0           0
         109           0           0
         110           0           0
         111           0           0
         112           0           0
         113           0           0
         114           0           0
         115           0           0
         116           0           0
         117           0           0
         118           0           0
         119           0           0
         120           0           0
         121           0           0
         122           0           0
         123           0           0
         124           0           0
         125           0           0
         126           0           0
         127           0           0
         128           0           0
         129           0           0
         130           0           0
         131           0           0
         132           0           0
         133           0           0
         134           0           0
         135           0           0
         136           0           0
         137           0           0
         138           0           0
         139           0           0
         140           0           0
         141           0           0
         142           0           0
         143           0           0
         144           0           0
         145           0           0
         146           0           0
         147           0           0
         148           0           0
         149           0           0
         150           0           0
         151           0           0
         152           0           0
         153           0           0
         154           0           0
         155           0           0
         156           0           0
         157           0           0
         158           0           0
         159           0           0
         160           0           0
         161           0           0
         162           0           0
         163           0           0
         164           0           0
         165           0           0
         166           0           0
         167           0           0
         168           0           0
         169           0           0
         170           0           0
         171           0           0
         172           0           0
         173           0           0
         174           0           0
         175           0           0
         176           0           0
         177           0           0
         178           0           0
         179           0           0
         180           0           0
         181           0           0
         182           0           0
         183           0           0
         184           0           0
         185           0           0
         186           0           0
         187           0           0
         188           0           0
         189           0           0
         190           0           0
         191           0           0
         192           0           0
         193           0           0
         194           0           0
         195           0           0
         196           0           0
         197           0           0
         198           0           0
         199           0           0
         200           0           0
         201           0           0
         202           0           0
         203           0           0
         204           0           0
         205           0           0
         206           0           0
         207           0           0
         208           0           0
         209           0           0
         210           0           0
         211           0           0
         212           0           0
         213           0           0
         214           0           0
         215           0           0
         216           0           0
         217           0           0
         218           0           0
         219           0           0
         220           0           0
         221           0           0
         222           0           0
         223           0           0
         224           0           0
         225           0           0
         226           0           0
         227           0           0
         228           0           0
         229           0           0
         230           0           0
         231           0           0
         232           0           0
         233           0           0
         234           0           0
         235           0           0
         236           0           0
         237           0           0
         238           0           0
         239           0           0
         240           0           0
         241           0           0
         242           0           0
         243           0           0
         244           0           0
         245           0           0
         246           0           0
         247           0           0
         248           0           0
         249           0           0
         250           0           0
         251           0           0
         252           0           0
         253           0           0
         254           0           0
         255           0           0
         256           0           0
         257           0           0
         258           0           0
         259           0           0
         260           0           0
         261           0           0
         262           0           0
         263           0           0
         264           0           0
         265           0           0
         266           0           0
         267           0           0
         268           0           0
         269           0           0
         270           0           0
         271           0           0
         272           0           0
         273           0           0
         274           0           0
         275           0           0
         276           0           0
         277           0           0
         278           0           0
         279           0           0
         280           0           0
         281           0           0
         282           0           0
         283           0           0
         284           0           0
         285           0           0
         286           0           0
         287           0           0
         288           0           0
         289           0           0
         290           0           0
         291           0           0
         292           0           0
         293           0           0
         294           0           0
         295           0           0
         296           0           0
         297           0           0
         298           0           0
         299           0           0
         300           0           0
         301           0           0
         302           0           0
         303           0           0
         304           0           0
         305           0           0
         306           0           0
         307           0           0
         308           0           0
         309           0           0
         310           0           0
         311           0           0
         312           0           0
         313           0           0
         314           0           0
         315           0           0
         316           0           0
         317           0           0
         318           0           0
         319           0           0
         320           0           0
         321           0           0
         322           0           0
         323           0           0
         324           0           0
         325           0           0
         326           0           0
         327           0           0
         328           0           0
         329           0           0
         330           0           0
         331           0           0
         332           0           0
         333           0           0
         334           0           0
         335           0           0
         336           0           0
         337           0           0
         338 0.000152428 0.000114099
         339 0.000142061 0.000101452
         340 0.000169473  9.7282e-05
         341 0.000140402 8.71798e-05
         342 0.000418749   0.0001811
         343 0.000619846  0.00019584
         344  0.00104855  0.00026785
         345  0.00106992 0.000283352
         346   0.0013456 0.000279783
         347  0.00191641 0.000372777
         348  0.00276826 0.000487617
         349  0.00419122 0.000611834
         350   0.0054291 0.000607854
         351  0.00673235 0.000642936
         352    0.010586  0.00103271
         353   0.0140116  0.00113513
         354    0.019848  0.00135457
         355   0.0239256  0.00153476
         356   0.0296321  0.00183526
         357   0.0387336  0.00205366
         358   0.0475293   0.0022223
         359   0.0586002   0.0020651
         360   0.0704379  0.00240037
         361   0.0830461  0.00295281
         362   0.0999752  0.00303934
         363    0.121335  0.00303608
         364    0.143717  0.00329465
         365    0.166358  0.00362814
         366    0.195358  0.00423845
         367    0.225446  0.00444988
         368    0.254378  0.00454322
         369     0.29812  0.00476851
         370     0.34145  0.00530552
         371    0.384192  0.00569222
         372    0.424079  0.00553077
         373    0.476296  0.00608488
         374    0.532839  0.00599569
         375    0.592999  0.00663121
         376    0.650181  0.00741101
         377    0.698668  0.00766847
         378    0.770049   0.0073043
         379    0.831657  0.00774194
         380    0.902575  0.00809983
         381    0.966064  0.00818636
         382     1.03621  0.00886501
         383     1.10758  0.00971985
         384      1.1948   0.0098862
         385     1.26291  0.00977377
         386     1.33599   0.0104647
         387     1.38701   0.0102462
         388     1.45932   0.0119832
         389     1.51523   0.0107381
         390     1.58805   0.0109537
         391     1.66223   0.0113119
         392     1.72728   0.0118316
         393     1.78984   0.0116105
         394     1.85163   0.0128435
         395      1.9049    0.013454
         396     1.96001   0.0123519
         397     2.01354   0.0131678
         398     2.07596   0.0144696
         399     2.12911   0.0140274
         400     2.16927   0.0143154
         401      2.2193   0.0136304
         402     2.27031   0.0139466
         403     2.28844     0.01502
         404     2.33359   0.0137827
         405     2.35732   0.0127192
         406     2.39393   0.0140663
         407     2.42406   0.0143623
         408     2.45671   0.0146626
         409     2.47217   0.0122435
         410     2.48655   0.0141031
