#		 BLOCK:	ACTUAL_PE:		 PE_AVE:			ERROR:
           1     -5.4555     -5.4555           0
           2    -5.44221    -5.44885  0.00469976
           3    -5.48547    -5.46106   0.0104472
           4    -5.49379    -5.46924   0.0105653
           5      -5.409    -5.45719   0.0136958
           6    -5.48283    -5.46147   0.0120613
           7    -5.45383    -5.46038   0.0103875
           8    -5.45393    -5.45957  0.00912027
           9    -5.41846      -5.455  0.00917967
          10    -5.45442    -5.45494  0.00826189
          11    -5.48544    -5.45772  0.00796229
          12    -5.45923    -5.45784  0.00729977
          13    -5.40537    -5.45381   0.0077745
          14    -5.41175     -5.4508  0.00777788
          15    -5.39072     -5.4468  0.00822628
          16     -5.4365    -5.44615  0.00773729
          17     -5.4315    -5.44529  0.00733003
          18    -5.44799    -5.44544  0.00692434
          19    -5.45296    -5.44584  0.00657122
          20    -5.46787    -5.44694  0.00633436
          21    -5.49751    -5.44935  0.00647434
          22    -5.45377    -5.44955  0.00618317
          23    -5.45309     -5.4497  0.00591626
          24    -5.47458    -5.45074  0.00575981
          25    -5.43702    -5.45019  0.00555549
          26    -5.47676    -5.45121  0.00543502
          27    -5.43258    -5.45052  0.00527735
          28    -5.44741    -5.45041  0.00509004
          29    -5.47589    -5.45129  0.00498975
          30    -5.44172    -5.45097  0.00483362
          31    -5.41403    -5.44978  0.00482236
          32    -5.45222    -5.44985  0.00467226
          33    -5.46954    -5.45045  0.00456859
          34    -5.48841    -5.45157  0.00456857
          35    -5.44431    -5.45136  0.00444274
          36    -5.47316    -5.45197  0.00436041
          37    -5.42883    -5.45134  0.00428717
          38     -5.4849    -5.45222  0.00426432
          39    -5.45814    -5.45238  0.00415767
          40    -5.46022    -5.45257  0.00405835
          41    -5.44253    -5.45233  0.00396675
          42    -5.47025    -5.45275   0.0038952
          43    -5.45037     -5.4527  0.00380501
          44    -5.42542    -5.45208  0.00376868
          45    -5.47259    -5.45253  0.00371241
          46     -5.4522    -5.45253  0.00363171
          47     -5.4959    -5.45345  0.00366979
          48    -5.44596    -5.45329  0.00359665
          49    -5.46217    -5.45347  0.00352781
          50    -5.42861    -5.45298  0.00349212
          51    -5.42008    -5.45233   0.0034827
          52     -5.4766     -5.4528  0.00344686
          53    -5.45211    -5.45279  0.00338185
          54    -5.47598    -5.45322  0.00334639
          55    -5.42213    -5.45265  0.00333294
          56    -5.47112    -5.45298  0.00328971
          57    -5.44257     -5.4528  0.00323706
          58    -5.48848    -5.45341  0.00323918
          59    -5.43799    -5.45315  0.00319481
          60     -5.4504    -5.45311   0.0031419
          61    -5.46487     -5.4533   0.0030963
          62    -5.49537    -5.45398  0.00311984
          63    -5.46479    -5.45415  0.00307503
          64    -5.41898     -5.4536  0.00307569
          65     -5.4489    -5.45353  0.00302923
          66    -5.40711    -5.45282  0.00306388
          67    -5.49206    -5.45341   0.0030736
          68    -5.45544    -5.45344  0.00302855
          69    -5.46469     -5.4536  0.00298904
          70    -5.44408    -5.45347  0.00294943
          71    -5.45695    -5.45352   0.0029083
          72      -5.418    -5.45302  0.00290944
          73    -5.45064    -5.45299  0.00286977
          74     -5.4942    -5.45355  0.00288452
          75    -5.45364    -5.45355  0.00284606
          76    -5.46103    -5.45365  0.00281032
          77    -5.39145    -5.45284  0.00288757
          78    -5.53195    -5.45385  0.00302344
          79    -5.44938     -5.4538   0.0029857
          80    -5.47084    -5.45401  0.00295597
          81      -5.475    -5.45427  0.00293082
          82    -5.46035    -5.45434  0.00289601
          83    -5.46013    -5.45441  0.00286196
          84    -5.44801    -5.45434   0.0028289
          85    -5.46876    -5.45451  0.00280071
          86    -5.41884    -5.45409  0.00279868
          87    -5.48263    -5.45442  0.00278567
          88    -5.48199    -5.45473  0.00277158
          89    -5.43285    -5.45449  0.00275132
          90    -5.48428    -5.45482   0.0027406
          91     -5.4772    -5.45506   0.0027215
          92    -5.39112    -5.45437  0.00277925
          93    -5.38544    -5.45363  0.00284649
          94    -5.44913    -5.45358  0.00281661
          95    -5.41053    -5.45313  0.00282318
          96    -5.45608    -5.45316  0.00279394
          97    -5.45269    -5.45315  0.00276514
          98    -5.47134    -5.45334  0.00274315
          99    -5.50333    -5.45384  0.00276153
         100    -5.45111    -5.45382  0.00273405
