#	 N_BLOCK:	ACCEPTANCE:
           1    0.546299
           2    0.546744
           3    0.546473
           4    0.546535
           5    0.546378
           6    0.546242
           7    0.546208
           8    0.546194
           9    0.546226
          10     0.54619
          11    0.546228
          12    0.546277
          13    0.546262
          14     0.54622
          15    0.546283
          16    0.546323
          17    0.546325
          18    0.546359
          19    0.546322
          20    0.546301
          21    0.546308
          22    0.546297
          23    0.546296
          24    0.546293
          25    0.546285
          26    0.546268
          27    0.546256
          28    0.546231
          29     0.54623
          30    0.546203
          31    0.546203
          32    0.546177
          33    0.546192
          34    0.546216
          35    0.546219
          36    0.546242
          37    0.546243
          38    0.546258
          39     0.54625
          40    0.546238
          41    0.546233
          42    0.546217
          43    0.546219
          44    0.546215
          45    0.546201
          46     0.54621
          47    0.546201
          48     0.54618
          49    0.546186
          50    0.546184
          51    0.546174
          52     0.54619
          53    0.546197
          54    0.546191
          55    0.546197
          56    0.546177
          57    0.546184
          58    0.546169
          59    0.546173
          60    0.546171
          61    0.546176
          62    0.546181
          63    0.546169
          64    0.546149
          65    0.546153
          66    0.546143
          67    0.546145
          68    0.546135
          69    0.546131
          70    0.546135
          71    0.546123
          72    0.546111
          73    0.546103
          74    0.546105
          75    0.546105
          76    0.546107
          77    0.546117
          78    0.546113
          79    0.546112
          80    0.546114
          81    0.546116
          82    0.546121
          83    0.546122
          84    0.546119
          85    0.546123
          86    0.546133
          87    0.546139
          88    0.546139
          89    0.546145
          90    0.546151
          91    0.546155
          92    0.546161
          93    0.546165
          94    0.546163
          95    0.546167
          96    0.546164
          97     0.54616
          98    0.546157
          99    0.546159
         100    0.546163
