#		 BLOCK:	ACTUAL_PE:		 PE_AVE:			ERROR:
           1     -7.5475     -7.5475           0
           2    -7.54759    -7.54754 3.26364e-05
           3    -7.53895    -7.54468  0.00233921
           4    -7.55092    -7.54624  0.00221538
           5     -7.5469    -7.54637  0.00177624
           6    -7.54207    -7.54565  0.00161831
           7    -7.54977    -7.54624  0.00149028
           8    -7.54904    -7.54659  0.00134429
           9    -7.55215    -7.54721   0.0013292
          10    -7.54294    -7.54678  0.00126305
          11     -7.5454    -7.54666  0.00115443
          12    -7.55185    -7.54709  0.00113633
          13    -7.54714    -7.54709  0.00104893
          14    -7.54665    -7.54706 0.000974482
          15    -7.55049    -7.54729 0.000936002
          16     -7.5472    -7.54728 0.000877517
          17    -7.54959    -7.54742 0.000836326
          18    -7.54538    -7.54731 0.000797544
          19    -7.54225    -7.54704 0.000798665
          20    -7.54702    -7.54704 0.000758733
          21    -7.55454     -7.5474 0.000802325
          22    -7.54503    -7.54729 0.000773027
          23    -7.54392    -7.54714 0.000753181
          24     -7.5488    -7.54721 0.000724962
          25    -7.53608    -7.54677 0.000821477
          26    -7.54503     -7.5467 0.000792608
          27    -7.54676     -7.5467 0.000763255
          28      -7.549    -7.54678 0.000740393
          29    -7.55261    -7.54699 0.000741611
          30    -7.54706    -7.54699 0.000716895
          31    -7.53991    -7.54676 0.000729263
          32    -7.54951    -7.54685 0.000711515
          33    -7.55479    -7.54709 0.000729531
          34    -7.55249    -7.54724 0.000725208
          35     -7.5453    -7.54719 0.000706624
          36    -7.54855    -7.54723  0.00068801
          37    -7.54539    -7.54718 0.000671197
          38    -7.55019    -7.54726 0.000658184
          39    -7.54253    -7.54714 0.000652353
          40    -7.54469    -7.54707 0.000638911
          41    -7.54466    -7.54702  0.00062603
          42    -7.54893    -7.54706 0.000612789
          43    -7.55371    -7.54722 0.000617726
          44    -7.54268    -7.54711 0.000612212
          45    -7.54899    -7.54715 0.000600025
          46    -7.55452    -7.54731 0.000607946
          47     -7.5445    -7.54725 0.000597957
          48    -7.54431    -7.54719 0.000588645
          49    -7.54373    -7.54712 0.000580849
          50     -7.5455    -7.54709 0.000570143
          51    -7.54879    -7.54712 0.000559941
          52    -7.54535    -7.54709 0.000550215
          53    -7.54867    -7.54712 0.000540646
          54     -7.5468    -7.54711 0.000530666
          55    -7.54763    -7.54712   0.0005211
          56    -7.54356    -7.54706 0.000515661
          57    -7.55362    -7.54717 0.000519319
          58    -7.54214    -7.54709 0.000517565
          59    -7.54556    -7.54706  0.00050944
          60    -7.54831    -7.54708 0.000501375
          61    -7.54767    -7.54709 0.000493247
          62    -7.54439    -7.54705 0.000487216
          63    -7.54012    -7.54694 0.000491742
          64    -7.54446     -7.5469 0.000485583
          65     -7.5453    -7.54687 0.000478739
          66    -7.54982    -7.54692 0.000473558
          67    -7.54835    -7.54694 0.000466968
          68    -7.55282    -7.54703 0.000468039
          69     -7.5454      -7.547 0.000461848
          70    -7.54274    -7.54694 0.000459256
          71    -7.54397     -7.5469 0.000454687
          72    -7.55001    -7.54694 0.000450412
          73    -7.54276    -7.54689 0.000447881
          74    -7.54632    -7.54688 0.000441895
          75    -7.54341    -7.54683 0.000438412
          76    -7.54833    -7.54685 0.000433088
          77    -7.55073     -7.5469 0.000430385
          78     -7.5489    -7.54693 0.000425628
          79    -7.54461     -7.5469 0.000421248
          80    -7.54767    -7.54691 0.000416093
          81    -7.54143    -7.54684 0.000416419
          82    -7.54654    -7.54684 0.000411357
          83    -7.54532    -7.54682 0.000406807
          84    -7.54999    -7.54686 0.000403715
          85    -7.55048     -7.5469 0.000401207
          86    -7.54852    -7.54692 0.000396982
          87    -7.55667    -7.54703  0.00040795
          88    -7.54262    -7.54698 0.000406376
          89    -7.55185    -7.54704 0.000405478
          90    -7.54843    -7.54705 0.000401268
          91    -7.54636    -7.54704  0.00039693
          92    -7.54714    -7.54704 0.000392617
          93    -7.54645    -7.54704 0.000388448
          94    -7.53627    -7.54692 0.000400844
          95    -7.54879    -7.54694 0.000397106
          96    -7.54839    -7.54696 0.000393255
          97    -7.54218    -7.54691  0.00039227
          98    -7.54811    -7.54692 0.000388459
          99    -7.55216    -7.54697 0.000388123
         100    -7.54754    -7.54698 0.000384283
