#		 BLOCK:	 ACTUAL_P:		 P_AVE:			 ERROR:
           1     9.48364     9.48364           0
           2     9.48021     9.48193  0.00121253
           3     9.52747     9.49711   0.0124208
           4     9.46114     9.48812   0.0121426
           5     9.48496     9.48748  0.00973052
           6     9.51181     9.49154  0.00891369
           7     9.46899     9.48832  0.00820198
           8     9.47386     9.48651  0.00737302
           9     9.45713     9.48325  0.00724053
          10     9.50526     9.48545   0.0068429
          11     9.49227     9.48607  0.00624886
          12     9.45726     9.48367  0.00617213
          13     9.48185     9.48353  0.00569893
          14     9.48678     9.48376  0.00529659
          15     9.46454     9.48248  0.00509615
          16     9.48373     9.48256  0.00477824
          17     9.46908     9.48176  0.00456245
          18     9.49237     9.48235  0.00434686
          19     9.50839     9.48372   0.0043287
          20      9.4829     9.48368  0.00411246
          21     9.44396     9.48179  0.00432975
          22     9.49522      9.4824  0.00417573
          23     9.50205     9.48326  0.00408067
          24     9.47512     9.48292  0.00392469
          25     9.54447     9.48538   0.0044738
          26     9.49318     9.48568  0.00431177
          27     9.48521     9.48566  0.00415211
          28     9.47346     9.48523  0.00402662
          29     9.45323     9.48412  0.00403612
          30     9.48332      9.4841  0.00390167
          31     9.52258     9.48534  0.00396837
          32     9.47171     9.48491  0.00386714
          33     9.44185     9.48361  0.00396395
          34     9.45373     9.48273  0.00394354
          35     9.49441     9.48306  0.00384496
          36     9.47584     9.48286  0.00374338
          37     9.49214     9.48311  0.00365061
          38     9.46683     9.48268  0.00357958
          39     9.50733     9.48332  0.00354314
          40     9.49398     9.48358  0.00346457
          41     9.49569     9.48388  0.00339264
          42     9.47292     9.48362  0.00332188
          43     9.44898     9.48281  0.00334083
          44     9.50744     9.48337  0.00331147
          45     9.47266     9.48313  0.00324642
          46     9.44398     9.48228  0.00328554
          47     9.49857     9.48263  0.00323387
          48      9.4982     9.48295  0.00318273
          49     9.50227     9.48335  0.00314211
          50     9.49121      9.4835   0.0030832
          51     9.47401     9.48332  0.00302835
          52     9.49315     9.48351  0.00297601
          53     9.47546     9.48336  0.00292374
          54     9.48494     9.48338  0.00286974
          55     9.48106     9.48334  0.00281787
          56     9.50405     9.48371  0.00279171
          57     9.44788     9.48308  0.00281261
          58     9.50936     9.48354  0.00280035
          59     9.49205     9.48368  0.00275661
          60     9.47846     9.48359  0.00271203
          61     9.48066     9.48355    0.002668
          62     9.50018     9.48381  0.00263842
          63     9.52136     9.48441  0.00266299
          64     9.49727     9.48461  0.00262895
          65     9.49475     9.48477  0.00259313
          66     9.46912     9.48453  0.00256465
          67     9.47596      9.4844  0.00252956
          68     9.45026      9.4839  0.00254169
          69     9.49245     9.48402  0.00250788
          70     9.50797     9.48437  0.00249527
          71     9.50119      9.4846  0.00247135
          72     9.46668     9.48435  0.00244953
          73     9.50807     9.48468  0.00243743
          74     9.48587     9.48469  0.00240454
          75     9.50362     9.48495  0.00238568
          76     9.47657     9.48484  0.00235684
          77     9.46265     9.48455  0.00234377
          78     9.47482     9.48442  0.00231704
          79     9.49677     9.48458  0.00229298
          80     9.48162     9.48454  0.00226462
          81     9.51392     9.48491  0.00226552
          82     9.48595     9.48492  0.00223793
          83     9.49231     9.48501  0.00221274
          84     9.46744      9.4848  0.00219625
          85     9.46434     9.48456  0.00218356
          86     9.47525     9.48445  0.00216085
          87     9.43029     9.48383  0.00222388
          88     9.50834     9.48411  0.00221599
          89     9.45586     9.48379   0.0022137
          90     9.47695     9.48371  0.00219041
          91     9.48799     9.48376  0.00216684
          92     9.48232     9.48374  0.00214335
          93     9.48628     9.48377  0.00212047
          94     9.54259      9.4844   0.0021883
          95     9.47363     9.48428   0.0021682
          96     9.47589      9.4842  0.00214737
          97     9.50855     9.48445  0.00213987
          98     9.47713     9.48437  0.00211933
          99     9.45529     9.48408  0.00211818
         100     9.48137     9.48405  0.00209717
