#		 BLOCK:	 ACTUAL_T:		 T_AVE:			 ERROR:
           1         0.8         0.8           0
           2         0.8         0.8           0
           3         0.8         0.8 8.60319e-09
           4         0.8         0.8           0
           5         0.8         0.8           0
           6         0.8         0.8 4.30159e-09
           7         0.8         0.8  3.9825e-09
           8         0.8         0.8 3.72529e-09
           9         0.8         0.8 3.51224e-09
          10         0.8         0.8   3.332e-09
          11         0.8         0.8 3.17694e-09
          12         0.8         0.8 3.04169e-09
          13         0.8         0.8 2.92236e-09
          14         0.8         0.8 2.81605e-09
          15         0.8         0.8 2.72057e-09
          16         0.8         0.8 2.63418e-09
          17         0.8         0.8 2.55553e-09
          18         0.8         0.8 2.48353e-09
          19         0.8         0.8 2.41729e-09
          20         0.8         0.8 2.35608e-09
          21         0.8         0.8  2.2993e-09
          22         0.8         0.8 3.89094e-09
          23         0.8         0.8 3.80541e-09
          24         0.8         0.8 4.30159e-09
          25         0.8         0.8 4.21468e-09
          26         0.8         0.8 5.06167e-09
          27         0.8         0.8 4.96705e-09
          28         0.8         0.8 5.26836e-09
          29         0.8         0.8 5.17673e-09
          30         0.8         0.8 5.08972e-09
          31         0.8         0.8 5.67735e-09
          32         0.8         0.8 5.58794e-09
          33         0.8         0.8 5.50262e-09
          34         0.8         0.8 5.99324e-09
          35         0.8         0.8 5.90701e-09
          36         0.8         0.8 5.82439e-09
          37         0.8         0.8 5.74514e-09
          38         0.8         0.8 5.66904e-09
          39         0.8         0.8 5.84472e-09
          40         0.8         0.8  5.5255e-09
          41         0.8         0.8 4.93667e-09
          42         0.8         0.8 4.87755e-09
          43         0.8         0.8 4.25128e-09
          44         0.8         0.8 4.20269e-09
          45         0.8         0.8 3.84746e-09
          46         0.8         0.8 3.80541e-09
          47         0.8         0.8 3.07387e-09
          48         0.8         0.8 3.04169e-09
          49         0.8         0.8 3.01049e-09
          50         0.8         0.8 2.58096e-09
          51         0.8         0.8 2.08658e-09
          52         0.8         0.8           0
          53         0.8         0.8 1.44733e-09
          54         0.8         0.8 2.02779e-09
          55         0.8         0.8 2.84154e-09
          56         0.8         0.8 3.14844e-09
          57         0.8         0.8  3.1207e-09
          58         0.8         0.8 3.38896e-09
          59         0.8         0.8 3.62934e-09
          60         0.8         0.8 3.59897e-09
          61         0.8         0.8  3.8158e-09
          62         0.8         0.8 4.23165e-09
          63         0.8         0.8 4.40282e-09
          64         0.8         0.8 4.36829e-09
          65         0.8         0.8 4.33456e-09
          66         0.8         0.8 4.49287e-09
          67         0.8         0.8  4.6413e-09
          68         0.8         0.8 4.60704e-09
          69         0.8         0.8 4.74618e-09
          70         0.8         0.8 4.71216e-09
          71         0.8         0.8 4.67886e-09
          72         0.8         0.8 5.11992e-09
          73         0.8         0.8 5.08473e-09
          74         0.8         0.8 5.05026e-09
          75         0.8         0.8 5.16191e-09
          76         0.8         0.8 5.12784e-09
          77         0.8         0.8 5.37001e-09
          78         0.8         0.8 5.33547e-09
          79         0.8         0.8 5.43252e-09
          80         0.8         0.8 5.13496e-09
          81         0.8         0.8 5.10316e-09
          82         0.8         0.8 5.33222e-09
          83         0.8         0.8     5.3e-09
          84         0.8         0.8 5.39233e-09
          85         0.8         0.8 5.36052e-09
          86         0.8         0.8 5.32926e-09
          87         0.8         0.8 5.29855e-09
          88         0.8         0.8 5.38676e-09
          89         0.8         0.8 5.35641e-09
          90         0.8         0.8 5.44113e-09
          91         0.8         0.8 5.41116e-09
          92         0.8         0.8 5.38167e-09
          93         0.8         0.8 5.35266e-09
          94         0.8         0.8 5.43389e-09
          95         0.8         0.8 5.40522e-09
          96         0.8         0.8 5.37699e-09
          97         0.8         0.8 5.34921e-09
          98         0.8         0.8 5.53062e-09
          99         0.8         0.8 5.50262e-09
         100         0.8         0.8  5.5755e-09
